system:index,NDMI,NDMI_1,NDMI_10,NDMI_11,NDMI_12,NDMI_13,NDMI_14,NDMI_15,NDMI_16,NDMI_17,NDMI_18,NDMI_19,NDMI_2,NDMI_20,NDMI_21,NDMI_22,NDMI_23,NDMI_24,NDMI_25,NDMI_26,NDMI_27,NDMI_28,NDMI_29,NDMI_3,NDMI_30,NDMI_31,NDMI_32,NDMI_4,NDMI_5,NDMI_6,NDMI_7,NDMI_8,NDMI_9,.geo
000000000000000000bf_0,0.41843393,0.44698372,0.45695662,0.470944,0.460543,0.4624851,0.43765283,0.44176626,0.46613318,0.4475937,0.45154443,0.46985734,0.42750534,0.43701953,0.46268657,0.44028103,0.43302563,0.5410695,0.4807652,0.4571488,0.50992364,0.45957798,0.48691294,0.4387755,0.46116084,0.4725326,0.49195877,0.43532446,0.46221098,0.43339017,0.44587883,0.5986842,0.46886122,
000000000000000000c0_0,0.3574183,0.40428212,0.40807882,0.4187717,0.42397532,0.38988516,0.40677965,1.1322314,0.4170892,0.420619,0.39199296,0.45328718,0.40575203,0.40613025,0.43698114,0.40635452,0.39403453,0.42480028,0.44866264,0.39935327,0.4040486,0.42176744,0.44027966,0.3849269,0.4445466,0.4311431,0.43849248,0.37931034,0.4212635,0.44130248,0.39447984,0.4269902,0.40512148,
000000000000000000c1_0,0.47625226,0.47855988,0.46439555,0.4553939,0.44141963,0.3832148,0.5321782,0.46749058,0.5030426,0.46779352,0.45063454,0.42683184,0.42387807,0.5777585,0.58066463,0.4411592,0.4235111,0.4754187,0.47998583,0.41862845,0.5742887,0.45163074,0.47395173,0.43281853,0.4696756,0.45867175,0.49313542,0.529976,0.42927364,0.45849907,0.41223192,0.42888743,0.47283018,
000000000000000000c2_0,0.53879625,0.58354324,0.6748387,0.6104513,0.5536723,0.5445545,0.6623616,0.5204403,0.4971385,0.5275862,0.54691356,0.56062424,0.5642458,0.5260907,0.57027465,0.5129771,0.45314685,0.53003,0.53880596,0.46384156,0.45335084,0.44903293,0.46226645,0.56534094,0.52565444,0.5014132,0.49239957,0.5198588,0.52556235,0.53723407,0.4854369,0.6127451,0.63844395,
000000000000000000c3_0,0.4166107,0.44273806,0.445067,0.48240578,0.4358122,0.42742884,0.45014808,0.4824962,0.46187365,0.43180335,0.45487446,0.4369645,0.45880973,0.5194611,0.45980528,0.47762927,0.43245372,0.46118546,0.47563177,0.4714528,0.45581803,0.4779412,0.4939498,0.42197308,0.45250165,0.47161847,0.4812443,0.45899504,0.43241987,0.4262462,0.44240078,0.4622093,0.4339113,
000000000000000000c4_0,0.42408645,0.41570625,0.4161519,0.4352227,0.46100917,0.39544514,0.41206747,0.4109109,0.49579126,0.42965558,0.4296104,0.40044126,0.402508,0.44424322,0.43890953,0.43619683,0.5463415,0.46012577,0.47115684,0.4229075,0.45420444,0.4462691,0.4327315,0.41163838,0.44791666,0.43243933,0.44979447,0.4355435,0.40377977,0.41604677,0.43963134,0.42150995,0.48641238,
000000000000000000c5_0,0.42798045,0.4314394,0.42900303,0.47873938,0.46589595,0.5146751,0.44165945,0.43266597,0.45491424,0.45645645,0.43690988,0.41845047,0.49082008,0.44761905,0.44334146,0.43739778,0.43549672,0.4541249,0.46178094,0.42936385,0.4527567,0.43685138,0.47794676,0.42297244,0.47760892,0.46276304,0.48540008,0.42763665,0.46912795,0.42496935,0.4435636,0.44735312,0.4346025,
000000000000000000c6_0,0.43937877,0.4998791,0.47873563,0.5284896,0.5015272,0.46395156,0.47439182,0.4740432,0.526732,0.4918167,0.48250905,0.5136748,0.47592318,0.5,0.5587334,0.4981796,0.46767107,0.5191095,0.5015916,0.4499078,0.67058825,0.47949082,0.48923472,0.46369517,0.47927392,0.50427353,0.5081127,0.49016204,0.53424656,0.4913295,0.46411735,0.46678883,0.50078005,
000000000000000000c7_0,0.45254692,0.4751936,0.44376528,0.47083467,0.4309064,0.4230176,0.42164263,0.43284512,0.4268526,0.43731844,0.40619308,0.46496814,0.46287057,0.45110023,0.4065282,0.47087535,0.44242424,0.47224927,0.43501025,0.43673623,0.57863504,0.42160493,0.452,0.47688243,0.49210706,0.5466999,0.45542592,0.4597528,0.47572815,0.49142858,0.4189453,0.43487346,0.45391414,
000000000000000000c8_0,0.41949153,0.44231224,0.4765235,0.44577608,0.55024254,0.42232844,0.4442214,0.4419564,0.4471803,0.4538867,0.43467462,0.43557048,0.45382506,0.4648712,0.45207033,0.46029216,0.43011722,0.45482948,0.47507787,0.41932142,0.42822087,0.45882353,0.48499614,0.44414333,0.47132662,0.47479597,0.4518795,0.46864974,0.5186396,0.46116164,0.40879798,0.47544563,0.45660806,
