system:index,Brightness,Brightness_1,Brightness_10,Brightness_11,Brightness_12,Brightness_13,Brightness_14,Brightness_15,Brightness_16,Brightness_17,Brightness_18,Brightness_19,Brightness_2,Brightness_20,Brightness_21,Brightness_22,Brightness_23,Brightness_24,Brightness_25,Brightness_26,Brightness_27,Brightness_28,Brightness_29,Brightness_3,Brightness_30,Brightness_31,Brightness_32,Brightness_4,Brightness_5,Brightness_6,Brightness_7,Brightness_8,Brightness_9,.geo
0000000000000000008a_0,700.9209,1352.8967,531.438,1042.1318,1264.7897,1313.0104,1013.4792,1180.487,1425.5782,1633.9238,1949.9608,1599.8899,623.1494,1257.0457,1102.5575,1480.3778,1372.5597,1161.136,1127.9634,1091.7874,1751.9791,791.1673,1767.2955,1977.0367,1889.7329,1418.6079,1445.402,1398.3336,1990.403,1268.4865,2674.2144,1943.9945,1849.09,
0000000000000000008b_0,3972.8506,3576.6445,3683.0776,3952.7114,3747.8494,3606.443,3663.8809,3661.2795,3679.1392,3666.6382,3762.5283,3614.7212,3867.0696,3676.415,3431.5789,3539.8623,3472.8816,3648.6206,3568.9836,3512.4224,3562.667,4182.9424,3843.3684,3794.2158,3925.641,3800.1562,3784.5332,3786.7363,3701.9692,4051.7593,3482.7244,3965.0286,3458.5989,
0000000000000000008c_0,2514.3267,2690.3823,2410.0889,2770.4985,2854.5188,2643.018,2765.7783,2842.441,2715.463,3052.4817,3001.8657,2966.353,2576.0737,2698.242,2549.8047,2693.4448,2531.8125,2669.627,2619.6892,2759.3633,2711.7002,3673.2737,3117.1191,2956.5396,3128.0059,2875.3943,2672.6372,2661.461,3213.3223,2947.7183,2843.6199,2774.282,2914.19,
0000000000000000008d_0,3111.31,2639.2388,2803.0369,3159.3442,2753.995,2711.082,2856.8774,2891.7903,3050.0962,3154.2563,2784.272,2857.8083,2825.4756,2881.0425,2835.5764,2991.998,2830.952,2792.24,2742.8523,2735.2637,2771.859,2975.6382,3010.994,2817.8596,2920.919,2977.9207,3092.261,3146.413,2908.381,3121.4028,3143.547,2399.63,2583.438,
0000000000000000008e_0,3002.5098,2973.1807,2949.0435,3086.646,2739.416,2767.3892,2952.9924,2964.666,3047.1758,3214.332,3013.5015,2806.6067,2883.5376,2916.2153,2925.4612,3107.539,2916.8438,3010.0164,2902.6765,2910.0522,3028.2163,3149.5183,3093.229,2960.576,3091.12,3203.165,3191.7893,2866.606,3286.9236,3247.124,3225.8862,2856.4463,2853.0144,
0000000000000000008f_0,2092.7974,2339.9346,2085.4614,1973.3064,1967.5281,2253.934,2584.933,2480.1006,2451.25,2413.8306,2808.774,2292.1658,1968.1609,2003.0029,2068.0588,2454.647,2379.0972,2113.2527,2188.3018,2268.9812,2373.335,2535.079,2642.2437,2559.352,2563.4136,2387.29,2504.3423,2583.7722,2622.963,2399.392,2678.045,2592.5273,2399.4563,
00000000000000000090_0,1417.0002,2025.8315,1217.0784,1908.419,1458.9967,1598.0044,2313.267,2065.422,1847.5386,2092.376,2151.7756,1820.8746,2176.352,1767.45,1510.4031,2024.0168,1856.6179,1745.3335,1724.4312,1650.4098,1946.2933,1406.7493,2195.7827,2182.7527,2209.7715,1803.2577,2227.3677,2066.39,2523.3818,2151.1138,2422.8525,2172.4966,2121.2715,
00000000000000000091_0,2396.6963,2082.5586,2307.606,2202.7476,2359.898,2299.5808,2432.0168,2419.2349,2423.6782,2491.0828,2577.8535,2372.9692,2206.267,2418.7644,2360.1711,2486.7363,2333.4285,2411.9172,2507.9556,2367.1042,2469.8452,2719.8943,2664.5664,2260.86,2713.891,2828.6238,2759.5176,2160.1763,2153.0054,2276.4583,2339.814,2305.2388,2163.2673,
00000000000000000092_0,2276.9514,2354.3599,1739.1719,2166.0464,2395.8032,1966.412,2211.5754,2166.9407,2175.695,2429.5898,2317.313,1928.1641,2332.872,2174.807,1948.2566,2433.3335,2234.9277,2336.3374,2203.4097,2252.9878,2426.2324,2373.133,2469.7466,2523.183,2568.5383,2538.8308,2344.928,2542.442,2749.2769,2480.2039,2325.8503,2417.332,2214.128,
00000000000000000093_0,3706.2563,3580.1665,3238.7217,3504.67,3553.8235,3238.4722,3210.435,3217.8433,3277.6382,3408.4026,3322.1748,3036.0576,3730.2622,3191.213,3063.65,3278.008,3010.7407,3165.4878,2955.3774,3137.2085,3177.367,3016.3772,3325.7058,3543.2727,3257.0557,3233.074,3272.6587,3768.9585,3863.8037,3558.7324,3764.247,3012.6824,3138.203,
