system:index,Greenness,Greenness_1,Greenness_10,Greenness_11,Greenness_12,Greenness_13,Greenness_14,Greenness_15,Greenness_16,Greenness_17,Greenness_18,Greenness_19,Greenness_2,Greenness_20,Greenness_21,Greenness_22,Greenness_23,Greenness_24,Greenness_25,Greenness_26,Greenness_27,Greenness_28,Greenness_29,Greenness_3,Greenness_30,Greenness_31,Greenness_32,Greenness_4,Greenness_5,Greenness_6,Greenness_7,Greenness_8,Greenness_9,.geo
000000000000000000a1_0,1081.5568,1321.7925,450.2823,719.8527,1626.1716,1150.508,1015.4564,1211.5171,1045.4967,1238.6292,1231.98,1142.2727,1294.9663,1218.3748,1068.5277,1116.1084,989.8966,1140.497,1346.02,1222.4739,938.52625,1211.2043,1666.9583,1499.0413,1519.0627,1700.8495,1741.0421,1431.7473,1721.5717,1074.5088,808.65564,357.13385,1668.3768,
000000000000000000a2_0,1254.202,1609.7931,1784.1141,1735.8363,2237.9978,1460.164,1257.5822,1535.0671,1373.9167,1736.9105,1552.1644,1248.7024,1712.7299,1354.5725,1225.0688,1416.4819,1518.8464,1289.6467,1700.305,1508.0586,1483.0741,1952.931,2180.9746,1888.0367,1780.2827,2351.6191,2006.4453,1925.5138,2632.3923,2472.1553,1847.287,1282.4993,2424.5305,
000000000000000000a3_0,297.2831,758.0635,224.56955,247.21045,637.6223,251.4423,468.21417,781.3823,703.0422,835.2606,822.9558,494.9893,507.0719,641.4324,502.0359,875.2972,876.1708,877.6412,930.7966,922.4393,719.6363,626.7899,1171.5054,860.8323,1101.626,1233.5276,1179.9565,801.3126,910.5511,573.24493,775.8117,332.3368,785.7569,
000000000000000000a4_0,1435.9904,1948.085,2197.8052,2166.246,2254.023,2226.8376,1927.9948,2051.9841,1954.5632,2015.9565,1970.2874,1764.0757,1893.1478,1853.1707,1892.1428,1905.1965,1871.3813,1927.2412,1937.6941,2016.5479,1862.6707,2226.9033,2586.338,2001.1099,2404.6934,2427.955,2435.4182,1920.2964,2331.1765,1879.3124,1833.23,1655.4209,2262.3777,
000000000000000000a5_0,2592.5886,2407.6724,2569.9045,2370.7947,2522.7107,2295.4617,1867.4259,2120.5728,1901.1355,1835.5085,2034.7087,1961.0024,2389.2617,2054.0352,2132.894,2104.4907,1899.4946,2174.287,2135.1443,2002.2644,1757.8398,2253.6274,2361.9424,2303.815,2317.5105,2444.7168,2570.9624,2398.3135,2462.4785,2404.981,2173.358,2348.922,2034.8322,
000000000000000000a6_0,871.5081,1194.211,936.3732,1000.4911,1389.4783,1226.4528,1049.1112,1230.2568,1084.3903,1287.495,1289.2173,1381.3347,1228.0597,1188.3604,1203.3665,1250.7809,1080.7867,1390.6001,1512.4308,1556.7185,1209.9832,1585.4688,1779.7085,1299.5956,1818.108,1901.5594,1869.677,1477.8325,1325.7,575.4104,1406.6489,1223.4308,1460.844,
000000000000000000a7_0,1416.524,1628.8983,1451.6447,1542.173,1744.815,1321.4437,1328.5415,1450.207,1358.8118,1658.1298,1689.0623,1579.7214,1642.5415,1296.1692,1343.4988,1464.8018,1544.808,1548.3491,1390.7112,1534.5964,1170.6074,1293.0966,1965.2954,1862.053,1894.6157,1362.3289,1642.3307,1814.6289,2203.5112,1417.114,1803.2421,1609.9617,1938.9553,
000000000000000000a8_0,1751.9587,2094.8887,1777.1475,1805.2012,2030.1562,1562.0968,1566.6886,1780.3312,1514.3162,1795.9315,1813.8346,1615.1665,1913.5303,1513.8037,1530.5905,1455.534,1637.4364,1680.7336,1802.4275,1748.8513,1431.5704,1525.9958,2215.627,2148.061,2021.7664,1807.2805,1883.7897,2059.1387,2372.3801,1642.4497,1373.8928,2042.6593,2014.1367,
000000000000000000a9_0,1089.7063,1579.9922,932.6262,1176.0465,1256.7921,1062.804,1008.6896,985.8634,833.151,1365.71,1445.5522,1134.2396,1184.9941,1016.4724,799.1078,1017.7752,1039.9935,1092.9044,1251.2009,1335.6445,1155.2378,1752.7281,1778.2336,1683.3673,2080.2114,1288.1768,1320.1469,1694.0306,2049.8562,867.666,1632.8495,1813.5482,1819.2134,
000000000000000000aa_0,2044.1289,2227.3552,2224.1692,2160.7256,2415.931,2013.8398,1928.2896,1787.3893,1666.605,1939.9275,1946.7903,1800.9578,2149.9563,1966.9689,1937.696,1817.6191,1823.8937,2114.6812,1952.0676,1932.6534,1588.3588,2135.8464,2240.064,2416.4482,2307.9834,2430.3994,2201.5647,2656.5857,2673.8567,2131.6892,2261.0867,2365.6223,2317.2896,
