system:index,NDVI,NDVI_1,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_2,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_3,NDVI_30,NDVI_31,NDVI_32,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,VALUE,.geo
00000000000000000035_0,0.7676847,0.7791411,0.7343838,0.7308917,0.7776753,0.70379007,0.7434321,0.7618032,0.80946565,0.7787167,0.7433557,0.7958841,0.751693,0.76605743,0.74115515,0.7635009,0.75750834,0.7718327,0.8137002,0.7806713,0.7644046,0.82338756,0.8379558,0.74311924,0.8396927,0.8440761,0.8509804,0.7406103,0.7911772,0.73773724,0.66885155,0.6445396,0.727786,1.0,
00000000000000000036_0,0.8266733,0.769186,0.69630075,0.7617284,0.7918191,0.7824726,0.7407294,0.7855834,0.7518248,0.7556441,0.8148268,0.7730314,0.80457103,0.74983925,0.6819365,0.7429433,0.7332976,0.6293132,0.63684213,0.6883186,0.65377015,0.57060444,0.7168327,0.74026626,0.7219834,0.68108284,0.80752474,0.7883942,0.72072804,0.71989995,0.71419096,0.7622812,0.7739374,1.0,
00000000000000000037_0,0.35945484,0.407465,0.38566554,0.34264585,0.39829707,0.45232558,0.3939914,0.44669604,0.34303737,0.46393442,0.5229068,0.5046481,0.37748346,0.536643,0.4516129,0.51097804,0.42620403,0.48732394,0.4924012,0.5248227,0.5245335,0.47459087,3.3789473,0.28880867,0.38365898,0.65554357,0.7097592,0.22627737,0.22413793,0.16442451,0.17058824,0.3221011,0.26482812,1.0,
00000000000000000038_0,0.73002017,0.78626513,0.6613204,0.6656848,0.7587574,0.58738786,0.71492535,0.6773376,0.68183446,0.6417547,0.6570654,0.56199306,0.78229755,0.6443031,0.6369697,0.6627289,0.60688955,0.7085869,0.72153544,0.7415695,0.6880734,0.5905395,0.7194305,0.7728837,0.75490963,0.8049096,0.7787295,0.7458478,0.7424183,0.6637931,0.55736434,0.5535714,0.5511811,1.0,
00000000000000000039_0,0.7055621,0.75764877,0.77748483,0.79503256,0.79145664,0.7846154,0.77397263,0.80139935,0.82268906,0.8417956,0.7489605,0.7556646,0.7676694,0.76912314,0.751434,0.7765363,0.7769732,0.82541174,0.79485065,0.85310733,0.6884328,0.6524741,0.82679206,0.77322286,0.8051382,0.79938924,0.80061275,0.7875911,0.72477067,0.66368604,0.5380385,0.5496368,0.72668463,1.0,
0000000000000000003a_0,0.86417145,0.86495864,0.7765293,0.7884078,0.8557377,0.8011019,0.8278995,0.87230045,0.8776394,0.8520626,0.8472182,0.83040273,0.8539611,0.81672776,0.82709324,0.8114959,0.858296,0.8202689,0.8312611,0.8556758,0.84878653,0.83512545,0.8559588,0.85529095,0.8234631,0.88049304,0.86854726,0.8551454,0.79876924,0.7812037,0.7356882,0.765301,0.8299165,1.0,
0000000000000000003b_0,0.8649817,0.8626717,0.68812394,0.7180851,0.74136007,0.6402925,0.75493485,0.6973637,0.659601,0.6841079,0.80587393,0.7911919,0.8408051,0.75192606,0.7894737,0.65152544,0.72493404,0.67167103,0.76046515,0.8088695,0.7240238,0.58810216,0.7741935,0.59286624,0.7632736,0.770705,0.78195935,0.6960154,0.7431931,0.7107031,0.5626987,0.69942194,0.64040405,1.0,
0000000000000000003c_0,0.8669686,0.84533095,0.7725786,0.8204678,0.7319525,0.7678695,0.8019684,0.8,0.79034156,0.77492094,0.8555113,0.7659575,0.82502186,0.7915058,0.7766103,0.74431974,0.7703096,0.79642296,0.8144483,0.77540106,0.80779886,0.81884724,0.8746952,0.8268338,0.8852799,0.8674056,0.8683567,0.82393086,0.8151942,0.77597326,0.71452373,0.7330238,0.73576075,1.0,
0000000000000000003d_0,0.64433247,0.7932432,0.9099915,0.8547159,0.8171711,0.8178462,0.8747806,0.7445517,0.77132374,0.7405603,0.68992877,0.78261924,0.7433884,0.7944684,0.76447576,0.723423,0.7683763,0.7320428,0.7754883,0.76093864,0.7058257,0.80718565,0.7460625,0.66885024,0.7609834,0.7885784,0.8628673,0.72333336,0.736792,0.75648147,0.75592536,0.77799106,0.8155727,1.0,
0000000000000000003e_0,0.841496,0.84011525,0.7866863,0.8392658,0.8820513,0.8573174,0.8607595,0.9039645,0.82229006,0.8486012,0.8742079,0.87106645,0.84024346,0.8616748,0.89863634,0.67579764,0.65656567,0.7331033,0.79945,0.7349823,0.7751405,0.69116133,0.8189964,0.84177905,0.81667393,0.7699317,0.75774795,0.8492967,0.8378906,0.8289803,0.7315189,0.7316937,0.8054997,1.0,
0000000000000000003f_0,0.86155915,0.85054946,0.82738626,0.83433324,0.8198866,0.7978339,0.8125373,0.79479325,0.8326586,0.8423103,0.8599452,0.8246683,0.8610854,0.8007968,0.8103617,0.8208105,0.8296466,0.84144145,0.82389134,0.79430133,0.8077691,0.8457207,0.86499214,0.76628834,0.8507078,0.8666391,0.8578443,0.7927138,0.8286129,0.7955854,0.80586666,0.767313,0.7832892,1.0,
00000000000000000040_0,0.8214748,0.7994805,0.7382199,0.72180116,0.74276525,0.7429194,0.7641075,0.78914106,0.7648013,0.74517375,0.791197,0.78416884,0.81391037,0.79418343,0.6944224,0.74094987,0.74302727,0.75861174,0.75807786,0.75689006,0.8091966,0.77472526,0.83186054,0.8034759,0.83405006,0.8116358,0.82293177,0.82723576,0.814157,0.8247251,0.71127564,0.73930484,0.81823707,1.0,
00000000000000000041_0,0.72672117,0.7636661,0.6820027,0.72694856,0.6817319,0.66989505,0.6937157,0.76094407,0.8242531,0.8043531,0.7824654,0.77490896,0.6980781,0.7805755,0.7324002,0.86648864,0.785757,0.78610355,0.7335689,0.799928,0.7946149,0.7905983,0.80585515,0.7072231,0.83261186,0.85080785,0.8382197,0.7782139,0.6823182,0.8212974,0.7324176,0.6608495,0.67160684,1.0,
00000000000000000042_0,0.8128681,0.83353883,0.8700319,0.94664216,0.8871795,0.8056235,0.85050184,0.8714394,0.8642411,0.8811881,0.8084454,0.8129206,0.8183054,0.8030424,0.79259956,0.8448439,0.79848665,0.80554926,0.75814706,0.8513362,0.89235127,0.76855785,0.8242368,0.86494064,0.8532832,0.9057288,0.90245664,0.8204217,0.84180534,0.8463158,0.8273841,0.8216013,0.851271,1.0,
00000000000000000043_0,0.777065,0.76717556,0.7695167,0.7219731,0.7593085,0.6778404,0.72884613,0.7576408,0.6923973,0.6604036,0.7872214,0.7531442,0.79766536,0.73377925,0.7109375,0.6773994,0.5037594,0.5940325,0.705943,0.7843964,0.7890173,0.8730092,0.86691225,0.730068,0.86652124,0.88263214,0.71243167,0.7563249,0.77660906,0.7815224,0.7074497,0.751189,0.7977645,1.0,
