system:index,RED,RED_1,RED_10,RED_11,RED_12,RED_13,RED_14,RED_15,RED_16,RED_17,RED_18,RED_19,RED_2,RED_20,RED_21,RED_22,RED_23,RED_24,RED_25,RED_26,RED_27,RED_28,RED_29,RED_3,RED_30,RED_31,RED_32,RED_4,RED_5,RED_6,RED_7,RED_8,RED_9,VALUE,.geo
000000000000000000c2_0,625.0,661.5,688.0,615.0,591.0,644.0,692.0,657.0,645.0,681.5,560.0,719.0,511.0,706.0,684.0,644.0,573.5,416.0,537.0,597.5,442.0,455.0,444.5,794.0,606.0,481.0,596.0,864.5,421.0,797.5,814.0,671.5,664.0,1.0,
000000000000000000c3_0,657.0,818.5,575.0,585.5,463.0,544.0,456.0,578.5,740.0,690.0,854.5,516.5,658.0,501.0,646.0,555.5,707.5,492.0,555.0,692.5,478.0,312.0,358.0,740.0,603.0,369.0,446.5,637.0,713.0,553.0,785.0,722.0,618.0,1.0,
000000000000000000c4_0,714.0,664.0,520.0,546.0,635.5,564.0,531.0,555.0,740.0,648.0,490.0,486.0,523.0,395.0,581.0,623.0,619.0,572.5,643.0,725.5,731.0,532.0,830.0,682.0,604.0,404.0,601.0,610.0,618.0,645.0,638.0,719.0,589.0,1.0,
000000000000000000c5_0,640.5,601.0,520.0,555.0,612.0,547.0,524.5,584.0,564.5,520.5,396.5,406.0,515.0,395.0,546.0,576.0,619.0,538.0,623.0,743.0,680.0,447.5,655.0,560.0,570.0,539.0,566.5,496.5,651.0,626.0,706.0,692.0,589.0,1.0,
000000000000000000c6_0,599.0,601.0,571.0,555.0,645.0,562.0,502.0,552.0,683.5,561.0,364.5,357.5,515.0,411.0,581.0,662.0,601.0,490.0,623.0,664.5,598.0,500.0,661.0,605.0,534.0,502.0,544.5,521.5,647.0,591.0,699.0,692.0,560.0,1.0,
000000000000000000c7_0,673.0,539.0,618.0,558.0,570.0,404.5,455.5,434.5,390.0,334.5,519.0,354.0,448.0,369.5,374.0,395.0,352.0,330.0,323.0,286.0,206.0,452.0,244.0,536.0,163.0,165.0,159.5,541.0,582.5,645.0,755.0,712.0,586.5,1.0,
000000000000000000c8_0,917.5,760.5,554.5,536.0,490.5,762.0,887.0,832.5,995.5,866.5,753.5,742.0,733.5,920.5,971.0,999.0,736.0,669.0,778.5,872.5,716.0,933.5,634.5,594.0,672.0,721.0,604.0,478.0,782.5,688.0,689.0,582.0,538.0,1.0,
000000000000000000c9_0,366.0,375.5,291.5,429.0,424.5,539.0,599.0,768.0,753.0,619.0,775.0,671.0,314.0,667.5,652.0,713.5,619.0,602.0,569.5,588.0,570.5,564.0,467.5,403.5,474.0,499.0,347.0,322.0,549.0,534.0,548.0,462.0,380.0,1.0,
000000000000000000ca_0,517.5,606.0,745.0,669.0,622.0,713.0,662.0,685.0,800.0,633.0,650.0,794.0,610.5,779.0,785.5,819.5,830.0,626.0,821.0,884.0,677.0,745.0,646.5,753.0,729.0,810.0,773.0,900.5,756.5,739.5,983.0,735.0,672.5,1.0,
000000000000000000cb_0,468.0,562.5,924.0,635.5,767.0,816.5,949.0,855.0,1163.0,879.0,831.0,870.0,541.0,932.0,1079.5,1237.5,1073.0,812.0,737.0,803.5,794.0,1077.0,810.0,512.0,894.0,947.0,832.5,480.0,513.5,494.0,569.0,546.0,440.0,1.0,
000000000000000000cc_0,575.5,578.0,450.0,586.0,508.0,536.0,549.5,556.0,516.5,494.0,496.0,417.5,762.5,461.0,508.0,650.0,684.0,653.0,426.5,251.5,259.0,225.5,228.0,791.5,339.5,295.0,611.5,668.0,559.0,546.5,778.0,632.5,813.0,1.0,
000000000000000000cd_0,498.0,459.5,405.0,484.0,470.0,480.0,458.0,545.0,469.0,524.0,548.0,459.0,484.0,472.0,477.0,500.0,475.5,395.5,397.0,497.0,376.0,532.0,507.0,494.0,398.0,577.5,425.0,425.0,472.0,582.5,670.0,613.0,503.0,1.0,
000000000000000000ce_0,970.0,675.0,557.0,654.0,518.0,952.0,568.5,905.5,824.0,773.0,798.0,959.0,774.0,786.0,713.0,575.0,681.0,628.0,549.5,656.0,630.5,558.5,623.0,778.5,568.5,471.0,683.0,716.5,745.0,552.0,685.0,757.0,508.5,1.0,
000000000000000000cf_0,626.0,711.5,514.0,590.5,552.0,661.0,652.5,727.0,832.5,780.0,901.0,719.5,695.0,622.0,522.0,708.0,634.5,539.0,684.0,729.5,741.0,808.0,650.0,636.5,733.0,562.0,586.0,601.5,626.0,664.0,779.0,674.0,586.0,1.0,
000000000000000000d0_0,708.0,665.0,739.0,870.0,748.0,789.5,827.0,982.0,837.0,796.0,869.5,999.0,990.5,890.0,643.0,996.0,808.0,1093.5,999.5,1048.0,796.0,807.0,635.0,691.0,363.0,267.0,257.5,648.0,1189.5,1019.5,1262.0,974.0,857.5,1.0,
000000000000000000d1_0,448.0,447.0,572.0,708.0,838.0,657.0,684.0,721.5,641.5,616.0,884.0,679.0,366.0,657.0,646.5,848.0,767.0,637.5,486.0,678.5,727.0,790.0,914.0,653.0,721.0,528.0,605.0,485.5,960.0,698.0,950.0,701.0,832.0,1.0,
000000000000000000d2_0,581.0,655.0,624.0,613.0,520.0,689.5,638.5,513.0,490.0,535.0,395.0,421.5,602.5,385.5,226.0,308.0,508.0,308.0,293.5,297.5,183.0,168.0,199.0,523.0,196.0,191.5,264.0,474.0,555.0,469.0,688.0,590.0,586.0,1.0,
