system:index,NDVI,NDVI_1,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_2,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_3,NDVI_30,NDVI_31,NDVI_32,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,.geo
00000000000000000046_0,0.84237415,0.8415314,0.85883784,0.83144855,0.8620492,0.84619623,0.8485804,0.8966657,0.86827457,0.8864994,0.8771256,0.8883469,0.8195941,0.8926527,0.8973131,0.86494094,0.89331025,0.8879171,0.9121506,0.8760625,0.887036,0.8738247,0.89123327,0.84202826,0.8694277,0.8936682,0.9033325,0.8425813,0.8403876,0.83904546,0.73667204,0.7544863,0.8280159,
00000000000000000047_0,0.861847,0.8732759,0.8856846,0.87928367,0.8799193,0.85846925,0.8667002,0.9015568,0.86502314,0.87259746,0.8875372,0.90787715,0.8781288,0.9164531,0.892227,0.8836438,0.85942495,0.90154713,0.89673203,0.8914027,0.89767444,0.88924557,0.9050132,0.8663407,0.88539636,0.9070938,0.9089924,0.8758268,0.861794,0.87230957,0.78956634,0.81379604,0.87184876,
00000000000000000048_0,0.87695813,0.8516993,0.87089205,0.8331539,0.8520726,0.82858706,0.83840895,0.8714402,0.86684334,0.8821128,0.8767586,0.88383836,0.8485577,1.1563863,0.86867654,0.8670106,0.86758953,0.9085433,0.909257,0.89098793,0.8931415,0.8807588,0.88445115,0.84126,0.87713677,0.8968711,0.8925814,0.84955287,0.83416253,0.8406494,0.7486819,0.80993855,0.8298397,
00000000000000000049_0,0.8708295,0.8632314,0.8489884,0.84809417,0.85912305,0.8283713,0.84697783,0.88147724,0.86194813,0.8682191,0.8901716,0.8908461,0.86417836,0.90753424,0.8900302,0.8851702,0.88065577,0.88614696,0.8996166,0.8956574,0.87951136,0.888275,0.8936099,0.86059165,0.8698044,0.903537,0.89927626,0.8494624,0.8468741,0.8360902,0.7427782,0.80250865,0.8484737,
0000000000000000004a_0,0.88379025,0.85465944,0.8644842,0.8270945,0.8458065,0.8212743,0.8637825,0.8717867,0.82482994,0.8612291,0.8766084,0.9088159,0.84949946,0.8887779,0.8648053,0.87943465,0.8466923,0.8868258,0.89592624,0.8708731,0.8727114,0.91294116,0.9360846,0.83945346,0.8594455,0.9011142,0.9130435,0.8490566,0.84586054,0.83049834,0.7552611,0.7878538,0.8286194,
0000000000000000004b_0,0.8577101,0.8515488,0.88425696,0.8411309,0.8626866,0.81036663,0.8525396,1.0335858,0.8719755,0.8877136,0.88116026,1.0597014,0.8674926,0.88901937,0.8928258,0.8797185,0.8766178,0.9527792,0.91093606,0.90797806,0.88158554,0.89561754,0.920311,0.8683198,0.9067543,0.9215255,0.9199602,0.87102634,0.8559212,0.86761034,0.748497,0.790294,0.8397351,
0000000000000000004c_0,0.8909472,0.88872296,0.8898271,0.8326497,0.87374127,0.8603329,0.85790277,0.9309822,0.89207804,0.8951753,0.91590214,0.88478583,0.8468052,0.9073056,0.8924008,0.9039946,0.8708171,0.96091646,0.91460055,0.9056946,0.8884674,0.9121447,0.9194797,0.88128847,0.90958995,0.9130721,0.91569084,0.89196974,0.83162916,0.86018753,0.76363635,0.8214286,0.838488,
0000000000000000004d_0,0.8751501,0.8692752,0.8892989,0.8572682,0.8741351,0.86198694,0.8789535,1.0773519,0.8944954,0.9178273,0.9153652,0.9178547,0.87765586,0.928475,0.90556836,0.91525966,0.93229645,0.9145715,0.90745026,0.9105088,0.892951,0.908734,0.9230769,0.88797814,0.91985536,0.93464565,0.9179615,0.89861196,0.8715686,0.875,0.8254149,0.833454,0.88267696,
0000000000000000004e_0,0.88117003,0.8636683,0.8887836,0.8629405,0.88713634,0.8535101,0.87319314,1.1149949,0.90096986,0.9132519,0.90952957,0.8966986,0.8598957,0.91265893,0.8950706,0.9168269,0.9050351,0.90785146,0.9115324,0.8852311,0.913789,0.91862285,0.91932774,0.86477077,0.91629565,0.9167815,0.91997683,0.8730233,0.8959576,0.86288846,0.81724435,0.8568773,0.8829699,
0000000000000000004f_0,0.8758797,0.85462934,0.9130094,0.86519015,0.89698046,0.8453378,0.88996196,0.91012007,0.90809625,0.9225458,0.91516936,0.9087746,0.8596241,0.91093904,0.90523463,0.9122574,0.9081662,0.9098524,0.9047889,0.90029323,0.910592,0.9270943,0.92700344,0.8770087,0.9229929,0.92944884,0.9283791,0.8718644,0.87157655,0.85627204,0.8334694,0.84722793,0.8619318,
00000000000000000050_0,0.85484475,0.8665262,0.85893553,0.9049733,0.871662,0.8964803,0.8573055,0.9045505,0.8951613,0.90126127,0.8965517,0.88143176,0.8324307,0.89950514,0.91322035,0.91457283,0.8891369,0.90018713,0.88132167,0.8786554,0.9132924,0.9171858,0.9143969,0.8610735,0.9054878,0.91143674,0.9130435,0.894387,0.8619942,0.89577186,0.8162693,0.8299595,0.8406994,
00000000000000000051_0,0.8583303,0.84126985,0.8727465,1.1044127,0.8767624,0.8688866,0.8852279,0.90462756,0.88936657,0.8834232,0.9300567,0.9122807,0.84451824,0.9234889,0.9099099,0.9100265,0.9075838,0.9054708,0.89811546,0.90387416,0.8982875,0.92378753,0.9227144,0.8705302,0.9093709,0.9221682,0.92608887,0.8656945,0.86427534,0.85892636,0.8688811,0.822043,0.8431485,
00000000000000000052_0,0.89711285,0.88859797,0.9088794,0.9059829,0.89265656,0.881756,0.90430623,0.91033626,0.91088635,0.9075361,0.9288237,0.91147614,0.8833967,0.92195606,0.9139695,0.91104734,0.9078483,0.9275846,0.9169904,0.91182077,0.89700997,0.927753,1.047776,0.8912568,0.918463,0.92913824,0.9335674,0.91527045,0.8855408,0.8848921,0.8494372,0.8581491,0.8810642,
00000000000000000053_0,0.85598826,0.8384419,0.87491316,0.9379228,0.8717575,0.86844105,0.8728111,0.9103757,0.89749104,0.89347076,0.8978102,0.9003378,0.84968805,0.9073069,0.891363,0.9564787,0.8862559,0.9003787,0.91355723,0.8875849,0.8713792,0.89175063,1.82662,0.8569754,0.9033567,0.91976744,0.9188811,0.8644429,0.85423195,0.8592179,0.8152554,0.84223056,0.8642534,
00000000000000000054_0,0.8852839,0.8855615,0.8954545,0.91742015,0.88898426,0.8606557,0.8897592,1.0295371,0.91400737,0.9085284,0.91630083,0.91107076,0.8640183,0.91301525,0.9021164,0.8979336,0.9156415,0.88867134,0.9107674,0.9017522,0.8973185,0.9182037,1.0206379,0.8833091,0.92107946,0.92150867,0.9271491,0.89117986,0.88569754,0.8831576,0.85193497,0.8592145,0.9014041,
00000000000000000055_0,0.8390328,0.8353272,0.87367594,0.984879,0.8983891,0.8278146,0.8448156,0.8782355,0.9076087,0.8950131,0.897712,0.8922559,0.8353775,0.8817365,0.92945325,1.1123189,0.86811644,0.8714976,0.8754507,0.8805693,0.88639456,0.89623433,0.8991355,0.85,0.9011155,0.9072934,0.91420215,0.84788734,0.83686376,0.8274009,0.8108205,0.816018,0.8321196,
00000000000000000056_0,0.8929124,0.8686253,0.85395896,0.921619,0.89537096,0.8499353,0.87038654,0.9060233,0.8921191,0.8956889,0.9041916,0.9068182,0.8640183,0.9040635,0.9001116,1.0115108,0.894375,0.90726095,0.90712076,0.8949605,0.89522433,0.89710414,1.012935,0.8610451,0.9096459,0.92475045,0.91951823,0.8744681,0.8795181,0.8493017,0.8333333,0.8416107,0.8932476,
00000000000000000057_0,0.8303711,0.84208983,0.8634374,0.90113604,0.8528916,0.8576467,0.85781395,0.8902925,0.8815789,0.87367725,0.87638485,0.8693931,0.8443296,0.88136727,0.8678592,0.9460154,0.8646501,0.8957916,0.87666565,0.88979477,0.87986237,0.91595244,0.8924731,0.8540237,0.89081305,0.90538764,0.90135026,0.8548129,0.8535565,0.8303735,0.81625646,0.83063805,0.84521383,
00000000000000000058_0,0.82067615,0.8407619,0.8468224,0.9907085,0.87281555,0.79390115,0.8862299,0.8876847,0.88698506,0.8917145,0.90840966,0.88039416,0.856833,0.91071427,0.8625866,0.93373495,0.8462133,0.9022827,0.8992537,0.8885602,0.8875549,0.90751445,0.94192106,0.8522829,0.90408885,0.9128508,0.9167849,0.82475245,0.8446507,0.842,0.7681053,0.7906724,0.84615386,
00000000000000000059_0,0.8680325,0.853054,0.89317507,0.8729864,0.8985836,0.8737226,0.8918206,0.92092854,0.9016927,0.91171277,0.9148265,0.9010819,0.89360857,0.90675354,0.8990902,0.9251981,0.88697124,0.89005405,0.9065702,0.90715265,0.91115314,0.91730654,0.91597635,0.8848283,0.91671693,0.9232122,0.91633004,0.8810333,0.9066496,0.86754507,0.80969375,0.8729119,0.8737388,
0000000000000000005a_0,0.77926207,0.75701916,0.795975,0.81535757,0.8154743,0.80080855,0.8231966,0.84475577,0.8246905,0.83870965,0.8518519,0.86928666,0.79925054,0.859166,0.8442227,0.8422831,0.8602941,0.8530583,0.8794596,0.84080225,0.88687956,0.87811637,0.89703506,0.82505774,0.88214785,0.8817268,0.89969504,0.7604723,0.80802214,0.82345825,0.81205165,0.77451825,0.8134251,
0000000000000000005b_0,0.882744,0.85174245,0.88288873,0.88339484,0.8627451,0.8450704,0.87023133,1.3974763,0.87916535,0.8990991,0.8944969,0.8775761,0.88033754,0.9217421,0.8967634,0.8984985,0.90116084,0.9018131,0.8864053,0.8834356,0.8901298,0.9108239,0.94471157,0.87906414,0.90979993,0.90579283,0.91251427,0.86385125,0.8771654,0.84210527,0.796875,0.8568773,0.8590043,
0000000000000000005c_0,0.8610647,0.8691489,0.8718523,0.90807515,0.9,0.86598814,0.8855524,0.9043873,0.91277605,0.9143432,0.9162242,0.9037989,0.86206895,0.8949097,0.9091586,0.89723134,0.8965517,0.89937484,0.9167351,0.8841411,0.8936966,0.91568726,0.92682314,0.86518556,0.92252207,0.9246799,0.9230769,0.87461346,0.88148147,0.871308,0.8178419,0.8646895,0.8883869,
0000000000000000005d_0,0.86242115,0.8481912,0.87127054,0.89076155,0.87040544,0.85679185,0.8597475,0.88066643,0.89043826,0.89342326,0.8947733,0.8853809,0.8813828,0.8875969,0.8650693,0.88619465,0.86657774,0.8752715,0.8943616,0.8819014,0.8920471,0.8959721,0.923125,0.847561,0.91217256,0.9063776,0.9084713,0.8462033,0.86948174,0.8702669,0.83263093,0.84517765,0.86202186,
0000000000000000005e_0,0.82729375,0.8350937,0.8426678,0.98630136,0.8580606,0.8205689,0.9154639,0.8716012,0.99710566,0.9113429,0.8665287,0.87234044,0.847703,0.85581726,0.87319887,0.8583361,0.86167145,0.8761062,0.9191074,0.8904824,0.8793727,0.9976443,1.0152866,0.8322938,0.9078788,0.9557625,1.0588236,0.837037,0.83278275,0.824,0.77701306,0.8380112,0.8106329,
0000000000000000005f_0,0.86949337,0.8995862,0.899116,0.91115755,0.8995354,0.8991416,0.884041,0.90912104,0.9228421,0.9075377,0.9206997,0.90115786,0.90140843,0.8853297,0.8898959,0.89670795,0.90541655,0.9159341,0.91881704,0.8972353,0.90816605,0.9165976,0.9374178,0.90389395,0.92492837,0.9344433,0.92144024,0.8785942,0.8848721,0.8913102,0.83976835,0.8771865,0.8893911,
