system:index,Wetness,Wetness_1,Wetness_10,Wetness_11,Wetness_12,Wetness_13,Wetness_14,Wetness_15,Wetness_16,Wetness_17,Wetness_18,Wetness_19,Wetness_2,Wetness_20,Wetness_21,Wetness_22,Wetness_23,Wetness_24,Wetness_25,Wetness_26,Wetness_27,Wetness_28,Wetness_29,Wetness_3,Wetness_30,Wetness_31,Wetness_32,Wetness_4,Wetness_5,Wetness_6,Wetness_7,Wetness_8,Wetness_9,.geo
0000000000000000001d_0,-418.2433,-455.2649,-316.7535,-392.47052,-513.2641,-454.9062,-513.28,-634.7883,-610.16833,-741.4883,-695.21606,-549.24115,-458.82117,-475.69104,-451.333,-539.07117,-743.3964,-526.7633,-551.837,-605.9811,-838.4532,41.61949999999999,111.63225,-597.0008,94.12789999999995,99.77499999999995,122.28679999999994,-479.5158,-433.2896,-404.9538,-548.9171,-599.0201,-481.53314,
0000000000000000001e_0,-290.11127,-284.7225,-259.2279,-287.3289,-281.71637,-341.2403,-360.60614,-456.11685,-508.59943,-560.0615,-552.0789,-477.41742,-254.2439,-415.43985,-422.8893,-380.1604,-505.93176,-420.029,-443.6494,-477.9053,-598.6925,-11.80485000000003,49.26940000000002,-364.5746,61.834400000000045,50.20659999999992,84.90840000000006,-293.13983,-231.9305,-264.05194,-338.0826,-314.4254,-293.48315,
0000000000000000001f_0,-788.3154,-717.02856,-801.1587,-753.5224,-761.609,-875.9987,-963.7368,-1064.6296,-1205.8059,-1206.602,-1038.5734,-787.4958,-799.4986,-766.99786,-747.0729,-731.42334,-743.0211,-726.3105,-726.6238,-975.021,-1169.1274,-52.00924999999998,81.30859999999984,-789.7499,22.681599999999946,42.68464999999992,54.19035000000011,-714.48645,-725.4022,-719.3172,-745.7174,-744.9263,-781.4046,
00000000000000000020_0,-649.1521,-825.0963,-734.6663,-832.5141,-858.2141,-843.878,-870.1597,-1079.8397,-1201.5161,-1262.4398,-1258.0281,-977.2613,-640.9735,-709.65625,-694.9602,-665.09143,-777.4386,-762.4894,-826.8117,-906.522,-958.8293,-16.24304999999994,11.99734999999994,-819.6723,24.317699999999917,25.276899999999927,49.61290000000005,-692.6157,-748.01807,-794.25635,-861.538,-805.3303,-914.078,
00000000000000000021_0,-794.7835,-781.8092,-766.173,-649.3327,-692.06415,-817.599,-860.2902,-983.4297,-964.818,-1091.561,-994.9568,-971.0284,-781.0085,-783.22437,-772.4022,-730.819,-975.5104,-712.105,-734.65265,-850.3527,-1077.711,67.58000000000013,129.78095000000002,-807.8427,211.72939999999994,153.8904999999998,194.64884999999998,-716.1407,-627.3454,-676.8814,-809.5362,-734.97473,-718.993,
00000000000000000022_0,-615.77136,-588.1404,-605.1185,-591.4543,-669.7673,-633.5915,-674.257,-930.0532,-989.2351,-1033.3518,-926.3123,-917.1143,-648.1601,-688.525,-696.1792,-681.11053,-938.9108,-662.89844,-867.7714,-716.4141,-1001.91785,18.290350000000004,138.46050000000002,-639.2222,66.07859999999994,94.67019999999997,107.36435000000007,-604.7405,-548.0546,-587.2169,-608.5661,-666.536,-580.0472,
00000000000000000023_0,-383.77615,-382.29688,-401.559,-309.8831,-389.1237,-438.0727,-462.3707,-616.3205,-617.7396,-698.6098,-612.3308,-558.08185,-355.59555,-529.93195,-434.7227,-539.5825,-631.66956,-551.65283,-693.8422,-640.49316,-841.4847,63.69659999999999,160.56284999999994,-435.1061,145.43340000000006,159.636,192.36144999999993,-283.8784,-415.1654,-363.1122,-404.3292,-463.1545,-396.5675,
00000000000000000024_0,-646.8511,-664.1168,-513.3655,-601.2604,-519.0362,-759.13025,-686.5045,-868.57,-906.9128,-985.4689,-910.46906,-855.0852,-585.1693,-678.8554,-626.3941,-699.4258,-874.0861,-753.4107,-862.4344,-848.55444,-1008.1258,73.64774999999989,185.72989999999987,-664.6665,132.92575,168.0393000000002,222.3343,-580.2674,-519.3353,-548.7853,-494.7455,-572.9383,-629.86,
00000000000000000025_0,-322.71167,-434.546,-284.8459,-359.9531,-367.3322,-452.294,-536.4604,-635.4553,-636.8646,-759.8789,-660.9023,-495.9945,-351.6961,-508.5558,-458.76862,-521.0193,-530.5863,-559.0722,-559.06934,-578.0719,-733.3409,-36.31649999999998,67.3668000000001,-482.09375,55.81209999999997,66.50300000000021,73.36909999999989,-395.9196,-389.9561,-370.28918,-473.9641,-491.098,-413.8546,
00000000000000000026_0,-670.3823,-689.4483,-551.09924,-651.0322,-617.9385,-677.8319,-801.2219,-972.2409,-999.05225,-1099.717,-958.46265,-852.3474,-626.4252,-775.1779,-848.67004,-814.6769,-855.8561,-797.8168,-701.4896,-875.95337,-1121.4705,-75.04359999999986,70.36304999999992,-1080.5125,22.913549999999987,9.947900000000033,95.41620000000009,-676.89014,-656.4338,-649.8027,-716.54205,-712.8021,-589.3374,
00000000000000000027_0,-1178.3484,-1237.6528,-867.1058,-910.1175,-883.9506,-891.5107,-1029.1467,-1133.317,-1168.349,-1244.6642,-1073.4375,-880.70605,-1171.7007,-832.1737,-910.7915,-855.799,-875.1268,-865.3156,-811.4878,-926.6205,-1181.4509,29.784900000000164,107.19305000000011,-1210.4338,79.23510000000013,26.19399999999996,134.22719999999993,-873.6542,-1027.3922,-915.8917,-1067.4797,-954.4424,-961.0337,
00000000000000000028_0,-630.3334,-681.3596,-510.2098,-593.6263,-601.54065,-739.7269,-709.1439,-977.8852,-913.21216,-1040.5132,-919.9795,-825.9253,-619.589,-752.18616,-649.2774,-695.2949,-733.952,-754.1538,-803.1987,-729.4533,-932.3168,-43.93060000000003,61.69044999999993,-634.62537,50.95120000000014,29.962599999999895,68.09050000000005,-503.8604,-606.7324,-608.7518,-704.8404,-671.5451,-563.5532,
00000000000000000029_0,-557.5709,-533.1759,-403.2837,-436.67035,-487.21112,-635.4103,-539.5982,-866.037,-901.91,-1032.9174,-804.7622,-849.08966,-500.7146,-725.1233,-763.0485,-717.7217,-848.7814,-716.0032,-764.5354,-825.0589,-967.57996,-136.85294999999996,147.35124999999994,-504.31964,59.05669999999992,135.10379999999986,114.47619999999995,-459.6896,-550.7598,-474.6166,-645.4532,-553.46094,-551.7168,
0000000000000000002a_0,-616.7465,-614.2587,-501.355,-563.0101,-544.9056,-666.02344,-561.56415,-942.1305,-904.3539,-1017.258,-882.1646,-757.2553,-611.0405,-625.9469,-844.1866,-673.30273,-956.3863,-657.7745,-705.6529,-873.50806,-1035.3364,-13.70675,143.61180000000027,-620.62915,70.60845000000009,143.65929999999997,118.53659999999999,-511.3804,-595.8724,-577.7933,-589.771,-548.5721,-551.9927,
0000000000000000002b_0,-576.816,-579.2662,-518.99426,-542.0847,-541.7871,-633.0931,-592.8991,-890.1863,-841.2717,-979.7515,-849.3469,-659.7822,-573.3787,-670.3998,-753.444,-713.3555,-858.8124,-708.1449,-763.7316,-807.3551,-1025.4543,-38.96930000000006,138.8112000000002,-619.1101,54.134600000000006,92.5069,100.37669999999994,-542.3824,-562.0026,-559.66113,-670.2501,-583.6935,-595.78064,
0000000000000000002c_0,-573.2121,-549.48615,-473.18756,-478.64978,-474.25555,-592.7561,-584.59094,-852.6931,-884.3465,-958.4516,-788.6716,-764.3628,-564.7793,-710.2302,-633.5978,-607.5622,-813.692,-621.3572,-662.2413,-844.7173,-1011.6553,-111.76259999999985,53.024,-499.8468,21.033099999999905,53.55725000000001,133.10969999999998,-478.9024,-613.6707,-525.3945,-663.3909,-575.0244,-518.2532,
0000000000000000002d_0,-534.3156,-552.4381,-505.68665,-570.2134,-550.5864,-669.3132,-560.5901,-791.4212,-862.1653,-996.0381,-843.7742,-745.1546,-536.08984,-741.8469,-690.5155,-712.4161,-849.1443,-752.86755,-692.65607,-955.31964,-1049.4408,-129.93110000000001,71.61310000000003,-566.0067,10.627050000000168,49.419549999999916,89.73695000000002,-522.2637,-579.19226,-527.2876,-635.2634,-579.1154,-524.78485,
0000000000000000002e_0,-461.5593,-479.84448,-452.9861,-457.7237,-481.0135,-614.0475,-552.7628,-805.5596,-862.9378,-977.96265,-839.64044,-846.0462,-457.76642,-681.4341,-783.4617,-674.1647,-856.9877,-654.6453,-700.579,-816.55493,-1000.9647,102.04120000000003,218.72279999999986,-482.9499,128.23339999999985,202.10889999999995,250.62750000000005,-448.4319,-543.3632,-457.33508,-576.8048,-566.86774,-525.7726,
0000000000000000002f_0,-470.94983,-464.1108,-384.5885,-452.11108,-392.692,-544.0479,-528.1017,-724.7363,-806.27216,-842.81024,-839.5066,-626.0661,-390.00174,-717.6352,-609.8943,-567.6109,-797.2016,-651.9235,-600.4634,-638.68335,-924.9793,-55.44330000000008,104.38760000000016,-488.32385,92.33104999999999,118.11955000000006,115.41570000000004,-480.3791,-446.2424,-446.0969,-443.8141,-419.61053,-487.8071,
00000000000000000030_0,-361.2041,-443.089,-254.1774,-342.43536,-410.72766,-520.1156,-443.61688,-680.04443,-658.29913,-793.13513,-632.53015,-580.7091,-365.43555,-534.4049,-521.1068,-574.904,-595.3448,-528.2938,-635.2605,-629.32275,-775.745,-132.16489999999996,10.615499999999898,-419.9829,27.67040000000003,44.41649999999984,40.82080000000008,-357.4735,-426.4893,-410.59894,-517.2984,-502.2536,-475.6299,
00000000000000000031_0,-522.7793,-522.4733,-325.25604,-445.0209,-504.50275,-675.4921,-645.1558,-806.3619,-872.5449,-904.821,-790.918,-631.59,-489.0747,-597.1705,-662.3616,-616.3187,-806.3541,-670.1403,-596.9575,-804.9448,-1043.1653,-70.42414999999995,97.28720000000015,-546.9013,54.073599999999985,116.66469999999998,175.96589999999992,-458.9974,-513.5615,-526.74176,-595.2356,-580.1093,-542.9221,
00000000000000000032_0,-481.6534,-427.57983,-368.22974,-532.6831,-511.53564,-620.9006,-530.7509,-779.5121,-841.8336,-924.1307,-708.39417,-705.5315,-529.7191,-660.13354,-644.2682,-612.5394,-822.3528,-741.3942,-730.66187,-849.9221,-898.2878,-83.8258999999999,142.87,-531.14197,84.26735,111.61869999999996,192.9244999999999,-432.2078,-491.4566,-553.9875,-561.9513,-519.234,-480.23105,
00000000000000000033_0,-439.6013,-464.1175,-360.85785,-354.5967,-473.2987,-529.3749,-495.82776,-758.296,-761.1925,-866.408,-733.0878,-641.303,-463.8874,-591.5563,-730.3968,-579.8911,-867.3271,-630.52527,-552.5991,-744.46643,-991.1458,-36.963399999999965,73.31195000000004,-473.3559,52.36790000000005,92.51489999999987,101.72569999999996,-452.9518,-446.1484,-439.4872,-519.93555,-511.3988,-486.94034,
00000000000000000034_0,-803.5535,-676.23035,-551.7314,-621.6723,-627.88904,-694.85913,-672.0797,-1002.669,-1027.0563,-1118.9534,-929.3893,-867.3026,-663.76404,-696.6002,-989.8706,-858.5679,-951.07794,-819.2879,-759.6302,-892.54297,-1131.2686,-83.20499999999998,167.53789999999992,-712.95795,57.26610000000005,140.0764000000002,204.98499999999999,-610.24,-637.3344,-646.9592,-683.50946,-603.4536,-675.0331,
00000000000000000035_0,-337.96802,-392.4183,-277.3029,-398.0101,-480.7802,-408.1635,-455.6517,-762.4357,-763.5416,-834.9617,-702.2179,-623.482,-436.2684,-560.6436,-495.56818,-637.0841,-658.2952,-577.3118,-581.1778,-603.5045,-757.4586,-10.940200000000019,62.52599999999998,-425.37366,-24.09285000000004,15.858150000000009,106.1175,-352.5446,-412.9872,-408.33426,-457.7672,-404.10486,-474.50757,
00000000000000000036_0,-529.9925,-468.0363,-357.3552,-488.4027,-517.93756,-605.31,-528.59143,-860.0002,-843.0942,-954.0753,-722.9297,-662.1678,-479.2457,-595.6858,-689.4227,-751.2882,-787.9144,-638.7986,-588.6786,-707.0574,-910.1082,-154.8164,67.21435000000002,-553.4544,-24.511600000000016,74.33549999999995,114.81950000000003,-430.97223,-475.4164,-476.5756,-505.82526,-501.5058,-450.73517,
00000000000000000037_0,-746.3108,-728.45984,-587.855,-670.0788,-622.6334,-703.26843,-685.7586,-1014.7402,-1041.7963,-1136.5659,-988.1465,-875.2603,-674.9914,-762.44385,-747.5839,-824.3182,-835.559,-814.2969,-863.6343,-874.54395,-1152.8549,-140.39189999999996,14.965150000000008,-695.87573,-76.13439999999991,30.337950000000035,113.17164999999997,-596.4523,-722.1421,-725.1588,-726.53406,-700.1354,-680.119,
00000000000000000038_0,-575.4547,-531.3889,-476.3348,-562.0673,-611.2779,-644.23724,-632.48206,-904.277,-939.27576,-1003.4143,-877.35583,-738.70685,-541.6448,-690.8816,-737.2933,-677.123,-883.645,-665.8982,-694.5824,-806.5801,-963.6679,-81.36830000000012,19.8545,-597.1089,-56.22699999999989,42.37610000000001,26.245050000000106,-524.6548,-570.45056,-513.9752,-577.5341,-581.5263,-587.3747,
00000000000000000039_0,-489.2824,-579.8355,-388.7324,-552.2832,-546.74133,-625.0275,-591.57526,-863.8795,-884.0167,-1003.8153,-831.9498,-605.2317,-816.1206,-672.8716,-637.3651,-655.3672,-859.948,-694.8365,-660.7435,-747.0605,-992.738,-76.82229999999991,50.87449999999987,-711.4591,-51.35930000000019,1.1661000000000286,39.60430000000005,-385.4476,-739.1339,-419.518,-593.1975,-693.4622,-711.20264,
0000000000000000003a_0,-624.6105,-631.7841,-577.9166,-619.5648,-702.0542,-707.9972,-680.3657,-955.84863,-1014.3323,-1083.8093,-932.3242,-912.1299,-585.2636,-672.3362,-675.1362,-754.7842,-909.5144,-744.9643,-659.154,-927.4162,-1030.8022,-66.52630000000002,98.05010000000003,-643.7602,52.511300000000034,100.84845000000006,162.65399999999983,-544.5705,-621.658,-581.5665,-679.49445,-616.3539,-650.5297,
0000000000000000003b_0,-423.92075,-468.5204,-308.5699,-412.2284,-475.69122,-425.9114,-487.8991,-802.6472,-691.8409,-892.95496,-717.8169,-607.7772,-480.1278,-587.133,-480.5702,-580.142,-590.16986,-585.2708,-499.9932,-754.3775,-813.2925,22.917800000000057,205.31519999999998,-535.65216,186.05300000000003,167.94699999999995,229.42050000000006,-341.3755,-430.75735,-438.9821,-509.1237,-471.0848,-482.8389,
0000000000000000003c_0,-429.1536,-540.2987,-225.8705,-413.7766,-450.4873,-469.59174,-531.4252,-765.35754,-639.6131,-724.1619,-678.4963,-462.0942,-416.9719,-549.1594,-450.6855,-651.7772,-503.20895,-466.50925,-458.86987,-651.6184,-758.9459,-15.47775,95.84159999999999,-471.24655,48.52759999999999,54.430300000000045,82.73674999999996,-299.7571,-449.3789,-409.0467,-500.4487,-567.8224,-433.4047,
0000000000000000003d_0,-1128.4197,-781.00806,-486.1333,-578.5735,-672.7189,-621.5719,-622.8572,-919.9752,-1100.0771,-1107.2072,-959.6211,-869.47107,-670.8318,-755.6971,-571.2953,-763.3667,-823.6975,-644.3496,-639.69086,-852.1737,-896.4304,55.19469999999987,100.17900000000003,-802.2221,26.067300000000046,60.05384999999998,113.54484999999993,-653.7865,-696.79395,-590.0464,-655.2971,-696.3768,-617.3368,
