system:index,SAVI,SAVI_1,SAVI_10,SAVI_11,SAVI_12,SAVI_13,SAVI_14,SAVI_15,SAVI_16,SAVI_17,SAVI_18,SAVI_19,SAVI_2,SAVI_20,SAVI_21,SAVI_22,SAVI_23,SAVI_24,SAVI_25,SAVI_26,SAVI_27,SAVI_28,SAVI_29,SAVI_3,SAVI_30,SAVI_31,SAVI_32,SAVI_4,SAVI_5,SAVI_6,SAVI_7,SAVI_8,SAVI_9,.geo
00000000000000000090_0,0.9984939759036144,1.0460407918416317,1.0345867685501708,1.003884866678439,1.0345768880800728,0.9912096311866998,1.0270718648669028,1.0698090692124105,1.107283464566929,1.0651447661469933,1.0784050725521277,1.0576923076923077,1.0428020736408348,1.0810428455941794,1.1013011152416357,1.0333692142088267,1.044735240413877,1.0755347593582887,1.0797397295228375,1.0408460977388767,1.049057732575531,1.0697743467933492,1.0837216074548632,1.0092680158880272,1.0844675740592473,1.087564543889845,1.1023796347537353,1.0444496160111705,0.9995942264216567,0.9678329192129473,0.8549353516240934,0.9084185338264085,0.9891673610665983,
00000000000000000091_0,1.0319773765499238,1.032476746019234,1.0402200579882537,1.0389026309871823,1.055953626922148,1.0420168067226891,1.0572916666666667,1.0986622073578596,1.057015011547344,1.0703549502505116,1.0543529254071444,1.076735338453808,1.0367432826157332,1.0469903927847852,1.0718386574414838,1.0943853164234274,1.107425636635994,1.079632465543645,1.0786079968893785,1.053749734438071,1.0464620630861041,1.0578414540287728,1.0935821697099892,1.0143934201507883,1.0856777493606138,1.0942146694989379,1.0930160114634604,1.0413036948032444,0.9904520364016113,0.9844858156028369,0.832168223253733,0.9446680080482898,1.008972381887004,
00000000000000000092_0,1.0416053019145803,1.0537967677662166,1.0837403427759524,1.0467886005954914,1.0415279481338708,1.0308974264434776,1.050030382823577,1.077128915473005,1.0481150793650795,1.0611086861632475,1.0678103471565583,1.0630478759271746,1.043855277583973,1.089656345695815,1.0845169097509713,1.0787424286126335,1.0244943109987357,1.0985627682038008,1.0851841439415237,1.079389102916896,1.06865719303848,1.0853639608877852,1.1115639997370326,1.0392743923916874,1.1116606429522542,1.1116709791638295,1.1182354870449327,1.044455360432273,1.0458687880771362,1.0428317234367057,0.8876564277588169,0.9914229162084891,1.0098815522544335,
00000000000000000093_0,1.0568492259659164,1.064396802036514,1.0744135466832374,1.032061958694204,1.0517158888260623,1.011675947548051,1.0334271136331123,1.0683567224988681,1.0598241314689347,1.0629579781665919,1.0779437735668942,1.0690814757878555,1.0587824196303774,1.06519248395967,1.0810714761672071,1.0659128516271374,1.0667885790283032,1.0677905451075504,1.0819715690182012,1.0780602127276004,1.062672909129602,1.0847169008088549,1.099420803216696,1.0464281292559119,1.0914687774846086,1.098942717374152,1.0939114480227898,1.0446183301423457,1.024396431440531,1.018298524621575,0.9256870443073473,0.9837507004008448,1.0205853396581044,
00000000000000000094_0,1.0182467274890916,1.0343538881701884,1.0529612437783122,1.0514746492875289,1.0650242326332795,1.020954420312022,1.0775963186862763,1.0727728983688833,1.0812304559668389,1.0871697890195615,1.0789332378736352,1.07866175445584,1.0343947840876877,1.1191425722831505,1.0585511422103313,1.1052396546591248,1.3921009771986972,1.0806029519522662,1.1097273645237293,1.0603920613661268,1.075873950183045,1.094531768873146,1.0841012139827408,1.0321014035258123,1.0915214369720945,1.0900769181870194,1.0992225386806251,1.038653886226297,1.0548008931894306,1.028944741856456,0.909191863106355,0.964472260128935,1.0267362590541116,
00000000000000000095_0,1.0352495859947954,1.0192638254993778,1.0746817972703573,1.015229526854913,1.0462456003128666,0.9716162617749132,1.0471826205023762,1.0445071825956989,1.0458654168061599,1.0818301082322073,1.0550445530324806,1.0806843204787986,1.029234872653104,1.0422341158391182,1.0478752017213557,1.0752890088609823,1.0202077127445457,1.0632911392405064,1.0567547065719605,1.089731130547457,1.0508530727182375,1.0925110132158589,1.089029768467475,1.0178738439156187,1.0625253344142684,1.0692796974385421,1.0661094224924013,1.0332585949177877,1.0050135365486814,0.9786617360451751,0.9126182459515793,0.9013571665011585,1.016421195192145,
00000000000000000096_0,1.0600817320233025,1.0347831576289375,1.0433767749465084,1.0224391225598712,1.051583611399814,1.0046494555242873,1.0590996818110687,1.0800438596491229,1.0562845303867403,1.0692080780576356,1.1005998025966137,1.0588004704037632,1.0522493633877206,1.0477643469076399,1.0825011728436433,1.0701876302988187,1.0279910525361224,1.1812348140302784,1.0833200573522384,1.0739052062347576,1.0685081528352398,1.0734043827086577,1.084085470803073,1.0443285528031292,1.105886450714037,1.0876424189307625,1.1039590980597798,1.0454078487774812,1.050786560497184,1.014543339150669,0.8935155753337571,0.964210722784751,1.0255562236921227,
00000000000000000097_0,1.04531184105712,1.0392672307565924,1.0670838096384092,1.0429835651074588,1.062269414199586,1.0175907165223799,1.0432535364526658,1.0888745625345366,1.0916083542545805,1.0827612878275161,1.0799782864380711,1.0905100946064565,1.0463355269088614,1.07308104795465,1.0883209621347365,1.0969119111996584,1.0665810530475155,1.0812868483357319,1.068894068894069,1.0858273798030509,1.060392438597279,1.066543722145382,1.0984889707421204,1.0435130806193273,1.1026160921813957,1.10271035757838,1.1000496113775426,1.0475902573846951,1.049346467133927,1.0333143360447645,0.9354758469727874,0.985255379562793,1.0360364900962653,
00000000000000000098_0,1.0336225596529285,1.0157692104846792,1.0375472388150677,1.0222392219004426,1.047409632092674,0.9759990399615985,1.048958214733007,1.043509314921731,1.0620541632472698,1.04750907291323,1.0754191469608432,1.0591587062175298,1.0079229454714929,1.0611159223060744,1.073284260662481,1.065563128854268,1.0374862183020948,1.0640457240532022,1.0802569056446139,1.0715922732729455,1.0476012693671832,1.0589227482289443,1.069730137761842,1.0157252888318358,1.0731321910029135,1.0760725991879068,1.0661712474728158,1.034013605442177,1.0249537892791127,0.9919793755370954,0.8836743116561524,0.944020829458806,0.9943775944511586,
00000000000000000099_0,0.8925619834710743,1.0023672641190395,0.8823529411764705,1.020155325443787,0.9848207754206291,0.906452922077922,0.9962552784638674,1.0816115702479339,1.0768781058170125,1.0587851077726975,1.0647995606809446,1.0653840590192392,0.9916839916839917,1.0521267723102585,1.1317273193234239,1.0827989963758016,1.0210337173660289,1.0522006141248719,1.0579176431201873,1.1786329695577253,1.04270235818993,1.213726670680313,1.484029484029484,0.9967510259917921,1.110363391655451,1.0814083457526082,1.5733610822060353,1.0151109410864576,0.9967539995362855,0.9841588129135752,0.8782723421984584,0.6563393708293612,0.9848152786474641,
