system:index,NDMI,NDMI_1,NDMI_10,NDMI_11,NDMI_12,NDMI_13,NDMI_14,NDMI_15,NDMI_16,NDMI_17,NDMI_18,NDMI_19,NDMI_2,NDMI_20,NDMI_21,NDMI_22,NDMI_23,NDMI_24,NDMI_25,NDMI_26,NDMI_27,NDMI_28,NDMI_29,NDMI_3,NDMI_30,NDMI_31,NDMI_32,NDMI_4,NDMI_5,NDMI_6,NDMI_7,NDMI_8,NDMI_9,VALUE,.geo
0000000000000000002a_0,0.30047265,0.26067615,0.2738031,0.31666666,0.2863568,0.26808867,0.2972028,0.279558,0.29247263,0.2750972,0.24488841,0.3246854,0.27927014,0.28933474,0.26103032,0.27852586,0.30204082,0.31007394,0.3043098,0.3008907,0.3596951,0.28127128,0.43551403,0.26252836,0.37238875,0.43387577,0.42589927,0.2987805,0.24074075,0.32596686,0.19553806,0.21048035,0.27886137,1.0,
0000000000000000002b_0,0.35632184,0.19165727,0.44177094,0.45153418,0.39681858,0.093160376,0.13162996,0.15293708,0.36461127,0.3122282,0.3761238,0.3822306,0.23436123,0.34852374,0.41984734,0.36842105,0.3667309,0.37918517,0.42162934,0.38895282,0.39068666,0.26378796,0.30128905,0.17709291,0.3573804,0.3492502,0.2728078,0.27345133,0.42907387,0.35758784,0.2496955,0.19719043,0.36301026,1.0,
0000000000000000002c_0,0.42219216,0.43302754,0.435141,0.41379824,0.4327612,0.41973537,0.41020337,0.41319507,0.42384106,0.41951218,0.40667492,0.32358631,0.37698412,0.41315016,0.43812105,0.46752486,0.41376296,0.4247294,0.35729846,0.29758713,0.32636815,0.1385056,0.37548298,0.508726,0.4536026,0.43662766,0.40078714,0.40723917,0.4296427,0.40251845,0.40474188,0.4298203,0.39308658,1.0,
0000000000000000002d_0,0.19283536,0.29492977,0.17425552,0.30487806,0.38604173,0.12150264,0.31023332,0.23301394,0.2394203,0.35027984,0.38074312,0.4516067,0.21900122,0.45052686,0.14135174,0.18297213,0.21543409,0.2376666,0.22189298,0.42181963,0.29108608,0.14665681,0.27089152,0.2379936,0.34165433,0.4909091,0.38966292,0.30064887,0.22050163,0.30466095,0.061658397,0.08854824,0.2746479,1.0,
0000000000000000002e_0,0.27476346,0.26530612,0.3048736,0.21680388,0.27058288,0.22588727,0.2,0.2647934,0.28382328,0.26903072,0.22712334,0.20148857,0.29263523,0.24994753,0.25983122,0.26552415,0.28105325,0.3170029,0.3153659,0.29378068,0.24587221,0.3280943,0.41211757,0.17935929,0.31589687,0.3449981,0.34450907,0.2507234,0.28235748,0.2302106,-0.020615796,0.085924715,0.3481359,1.0,
0000000000000000002f_0,0.42713347,0.3886572,0.4178082,0.28668752,0.2890595,0.25235566,0.3116908,0.33195734,0.3174505,0.35199776,0.23773311,0.431173,0.40709618,0.27719685,0.3721973,0.28944528,0.26387227,0.32784638,0.36036292,0.2744361,0.37163815,0.20517343,0.36230436,0.4049857,0.3574895,0.42842323,0.34210095,0.34679878,0.33848053,0.35588735,0.2886345,0.29467595,0.33125103,1.0,
00000000000000000030_0,0.45007235,0.3703226,0.6961538,0.5155459,0.40138853,0.4207241,0.49674055,0.43116766,0.41929975,0.41756374,0.43840075,0.5662848,0.5330927,0.5190343,0.4915591,0.5415525,0.4772938,0.5253093,0.5777778,0.62776023,0.48900524,0.39670658,0.53015876,0.49543568,0.46496814,0.5212888,0.4986124,0.4961665,0.30454546,0.44312394,0.23462783,0.43277723,0.49925038,1.0,
00000000000000000031_0,0.38602576,0.4169666,0.40758637,0.47530866,0.3563267,0.3257985,0.4164905,0.32976076,0.38313252,0.4245283,0.41684383,0.41675815,0.40458715,0.4094944,0.46748465,0.36394742,0.40014115,0.44707814,0.41004673,0.38989237,0.40807775,0.37200382,0.4344086,0.4183124,0.50848305,0.4176275,0.37492728,0.44848955,0.4064516,0.40570334,0.3782096,0.43146014,0.35719937,1.0,
00000000000000000032_0,0.41858283,0.41016373,0.4384782,0.4473324,0.34168315,0.41501746,0.40294006,0.46237126,0.44414464,0.46630648,0.43037745,0.4017061,0.40418753,0.34715417,0.34345138,0.4240298,0.39042822,0.46076038,0.42842957,0.37426987,0.40616408,0.41971934,0.38421983,0.40051198,0.47348085,0.4486589,0.49269664,0.4028412,0.42902085,0.42552638,0.5130923,0.41051593,0.46440488,1.0,
00000000000000000034_0,0.29545453,0.373791,0.27391306,0.39996722,0.3685042,0.3922414,0.4663606,0.38376054,0.3857582,0.39321584,0.37026083,0.2992297,0.3781296,0.31659856,0.31332815,0.33028764,0.3427595,0.3015504,0.37621698,0.43389615,0.29475662,0.16148567,0.3849452,0.3163482,0.49493855,0.27538097,0.33656073,0.34796977,0.33064175,0.3692606,0.37394246,0.30496454,0.2733547,1.0,
