"","system.index","NDMI","NDMI_1","NDMI_10","NDMI_11","NDMI_12","NDMI_13","NDMI_14","NDMI_15","NDMI_16","NDMI_17","NDMI_18","NDMI_19","NDMI_2","NDMI_20","NDMI_21","NDMI_22","NDMI_23","NDMI_24","NDMI_25","NDMI_26","NDMI_27","NDMI_28","NDMI_29","NDMI_3","NDMI_30","NDMI_31","NDMI_32","NDMI_4","NDMI_5","NDMI_6","NDMI_7","NDMI_8","NDMI_9",".geo","CID","class"
"259","00000000000000000002_0",0.3796715,0.39058435,0.41950375,0.420617,0.40473968,0.39693758,0.37646508,0.3874092,0.41992882,0.40084612,0.3634528,0.4448819,0.35855764,0.400715,0.3815931,0.4008774,0.3884642,0.41311854,0.42630744,0.38643292,0.39745665,0.3778779,0.46994534,0.4008942,0.43089032,0.39920318,0.41023526,0.40730718,0.42366186,0.45535713,0.37623763,0.37481096,0.37333333,NA,259,"ltr"
"260","00000000000000000003_0",0.69382715,0.71428573,0.86129755,0.85831064,0.8323699,0.8125,0.7022472,1.104918,0.8105263,0.8551532,0.8328358,0.83435583,1.0545454,0.78014183,0.77697843,0.6954023,0.7761733,1.1494253,0.6926714,1.0486112,0.57894737,0.58914727,0.6086956,0.4913295,0.59375,0.6347826,0.6460905,0.6902174,0.75206614,0.5601504,0.5805085,0.73012936,0.80191696,NA,260,"ltr"
"261","00000000000000000004_0",0.34232315,0.38637897,0.2361111,0.19478261,0.24655244,0.20762879,0.22990523,0.28845903,0.24089694,0.33214214,0.24210526,0.23330516,0.38015118,0.2895036,0.32704404,0.30205703,0.28490084,0.31029594,0.22584249,0.34554046,0.22199817,0.22608949,0.35863906,0.3292347,0.46246973,0.38835594,0.30150172,0.42620152,0.30223286,0.32942078,0.2771321,0.17637023,0.27548254,NA,261,"ltr"
"262","00000000000000000005_0",0.4316267,0.40206185,0.34234235,0.24716267,0.41256368,0.24354461,0.30533853,0.26533473,0.34301347,0.31751227,0.38167754,0.27693817,0.34383488,0.41345853,0.34951803,0.38213763,0.40210795,0.42845064,0.50906736,0.371669,0.31899872,0.24047218,0.33944115,0.07324148,0.39564428,0.39086294,0.37467095,0.11744128,0.25021616,0.34545454,0.15259653,0.23989034,0.21310516,NA,262,"ltr"
"263","00000000000000000006_0",0.4416757,0.522586,0.5007342,0.50344825,0.5076183,0.51128304,0.52285117,0.49779737,0.49062392,0.5182292,0.47134304,0.5501355,0.4594848,0.5162405,0.4949495,0.48070812,0.42535487,0.54244137,0.4604242,0.5289855,0.49756363,0.44103897,0.47797891,0.4354879,0.51153165,0.4728295,0.47486034,0.4256032,0.50741994,0.5285313,0.46091205,0.49507204,0.40229258,NA,263,"ltr"
"264","00000000000000000007_0",0.37985724,0.4008097,0.15884341,0.16136745,0.18504366,0.20455307,0.2042061,0.27865404,0.2585389,0.28699726,0.22574386,0.33564013,0.38267037,0.3290735,0.28178945,0.20537573,0.20311427,0.23229614,0.25072142,0.2072072,0.25411254,0.14155689,0.23809524,0.37777779,0.32377622,0.31500393,0.3101145,0.11360947,0.23105247,0.107916854,0.12680493,0.074860334,0.30574712,NA,264,"ltr"
"265","00000000000000000008_0",0.67638487,0.5,0.6047297,0.6629712,0.51653945,0.5122313,0.53970826,0.53446996,0.40318,0.54755783,0.3930316,0.46321243,0.69361705,0.41950646,0.41699347,0.3766143,0.42596218,0.54186416,0.4465225,0.40821633,0.44175258,0.39534885,0.52543557,0.43093923,0.44245523,0.41306242,0.5025496,0.5596708,0.4653753,0.49878934,0.42426452,0.6113161,0.4451827,NA,265,"ltr"
"266","00000000000000000009_0",0.40342405,0.4472391,0.34440896,0.26347142,0.24114813,0.2766039,0.225881,0.2639866,0.3969189,0.46770027,0.3140886,0.25750482,0.3751842,0.4041621,0.29935485,0.2611341,0.24649589,0.27410686,0.28932706,0.39176247,0.24325843,0.23947681,0.32547298,0.36091724,0.2940863,0.24830918,0.27560613,0.33290488,0.4283489,0.3262326,0.29411766,0.24511401,0.30392686,NA,266,"ltr"
"267","0000000000000000000a_0",0.723229,0.7311609,0.9058296,0.69519836,0.55693585,0.6175439,0.7178218,1.0477816,0.8563536,0.60248446,0.6495238,0.6666667,1.0674846,0.69483566,0.6962025,0.69158876,0.6906077,0.78156996,0.6335878,0.7303823,0.72009027,0.5868853,0.59090906,0.67330676,0.5929825,0.5607477,0.6212121,0.73170733,1.0555556,0.7330097,0.5363129,0.6061644,0.7792793,NA,267,"ltr"
"268","0000000000000000000b_0",0.68421054,0.719685,0.6130592,0.56987447,0.45663851,0.44306785,0.53108805,0.49945116,0.6152174,0.54735154,0.50386,0.45406124,0.4974227,0.5721393,0.5153153,0.44645107,0.5952941,0.68171024,0.5471698,0.556314,0.5168642,0.50396824,0.49874055,0.55854124,0.49729145,0.5152838,0.51666665,0.67261904,0.595102,0.5,0.4268761,0.5256917,0.87525153,NA,268,"ltr"
"269","0000000000000000000c_0",0.47560975,0.44639042,0.2873997,0.38819778,0.3164813,0.46145856,0.38276553,0.33891994,0.48205626,0.40016708,0.38247445,0.4063158,0.2784091,0.31762347,0.33020878,0.38141733,0.42789847,0.41800642,0.375,0.5063291,0.315631,0.31098187,0.34874094,0.41318074,0.36809605,0.3250395,0.31123245,0.41065627,0.42041522,0.28747308,0.3010341,0.5434575,0.3138877,NA,269,"ltr"
"270","0000000000000000000d_0",0.22534776,0.2686862,0.25098473,0.2775373,0.28960943,0.2357087,0.3250444,0.2896839,0.3390254,0.1919815,0.24141148,0.2609951,0.20029213,0.2962902,0.30652335,0.30385965,0.32433447,0.3136582,0.32989296,0.29205403,0.25571954,0.30738786,0.34964123,0.26680055,0.34773776,0.37848127,0.38666666,0.25341326,0.21797752,0.23419513,0.25301206,0.14302795,0.2329221,NA,270,"ltr"
"271","0000000000000000000e_0",0.41690964,0.47350994,0.38265514,0.37140423,0.43633842,0.42157087,0.45570454,0.42424947,0.42680776,0.44031554,0.4302462,0.46310115,0.43333334,0.45765516,0.4727963,0.45392492,0.4063812,0.5569655,0.43737167,0.4306539,0.4304581,0.43988162,0.4894979,0.37720415,0.47022817,0.4814024,0.46694073,0.42188114,0.46281677,0.44867855,0.42726755,0.43874645,0.3987922,NA,271,"ltr"
"272","0000000000000000000f_0",0.4582339,0.58949095,0.83495146,0.65134704,0.4471299,0.44568527,0.5140145,0.4871577,0.695962,0.47333744,0.46262887,0.46225166,0.6789727,0.4426012,0.5280899,0.4420527,0.4892704,0.5095738,0.44605646,0.43517587,0.51780266,0.46173063,0.47853535,0.45494244,0.52933246,0.4872327,0.51318806,0.47809246,0.5688342,0.5315272,0.5544193,0.4422404,0.61618495,NA,272,"ltr"
"273","00000000000000000010_0",0.4022175,0.5085173,0.45167786,0.40194526,0.30959237,0.32551798,0.42614076,0.403481,0.3480685,0.43460765,0.28180736,0.3965336,0.4439267,0.4481434,0.28308502,0.36513296,0.3248337,0.37825534,0.40777177,0.35820425,0.3169182,0.24649777,0.3744076,0.4070532,0.38564336,0.45617172,0.38509077,0.40394235,0.3661489,0.45443574,0.30016053,0.43255225,0.39716902,NA,273,"ltr"
"274","00000000000000000012_0",0.33564734,0.38881806,0.33833647,0.4420491,0.3321739,0.33607367,0.40475175,0.4015881,0.47697738,0.3797254,0.39249042,0.39527613,0.38189998,0.42884493,0.42478243,0.39713383,0.31975263,0.44343963,0.46953166,0.4324065,0.41473603,0.38877192,0.40419796,0.37155622,0.54753184,0.41424978,0.43713734,0.33375716,0.46293604,0.39318183,0.31241518,0.32195762,0.37848878,NA,274,"ltr"
"275","00000000000000000013_0",0.21775898,0.3498197,0.29724208,0.41214263,0.2949072,0.36358607,0.2959469,0.27728438,0.29843676,0.29904604,0.26491043,0.33708838,0.35757172,0.31382728,0.30476192,0.29720855,0.34918648,0.34062675,0.37201098,0.32043868,0.3389944,0.36608997,0.36896157,0.334214,0.35898054,0.38498908,0.38538206,0.3847194,0.36738703,0.41571686,0.30192482,0.3512652,0.29868913,NA,275,"ltr"
"276","00000000000000000014_0",0.38451836,0.39434907,0.2849819,0.33805493,0.2974179,0.22955048,0.3406245,0.27131495,0.29881155,0.2714044,0.3032326,0.3037162,0.29569513,0.33405134,0.36123034,0.3481368,0.3079848,0.40748033,0.3309021,0.32565168,0.31338027,0.5115681,0.3627685,0.16520157,0.3341223,0.38661858,0.45695364,0.1743784,0.19726306,0.2234252,0.12900308,0.29271916,0.26444644,NA,276,"ltr"
"277","00000000000000000015_0",0.38943323,0.4489346,0.3513356,0.32804465,0.30763227,0.29948565,0.33362144,0.3947139,0.39578858,0.38565296,0.35151827,0.34556127,0.39441136,0.3857494,0.4107744,0.42670083,0.35457304,0.44618675,0.4194966,0.3832021,0.3610955,0.37532002,0.41012153,0.38286108,0.41353136,0.40517962,0.42800704,0.43909174,0.3817523,0.39723662,0.56308216,0.36647174,0.31932485,NA,277,"ltr"
"278","00000000000000000018_0",0.33941764,0.34099188,0.30560368,0.43348017,0.33447516,0.26488993,0.34697357,0.20145455,0.24894811,0.30578095,0.18594055,0.35343385,0.3074369,0.26772615,0.23228346,0.28456697,0.27370855,0.2920733,0.32107246,0.23873664,0.22465476,0.21700136,0.34103534,0.28102446,0.2576328,0.32889733,0.31581974,0.31580374,0.3702193,0.45795918,0.28705713,0.18859452,0.26021227,NA,278,"ltr"
