"","system.index","Greenness","Greenness_1","Greenness_10","Greenness_11","Greenness_12","Greenness_13","Greenness_14","Greenness_15","Greenness_16","Greenness_17","Greenness_18","Greenness_19","Greenness_2","Greenness_20","Greenness_21","Greenness_22","Greenness_23","Greenness_24","Greenness_25","Greenness_26","Greenness_27","Greenness_28","Greenness_29","Greenness_3","Greenness_30","Greenness_31","Greenness_32","Greenness_4","Greenness_5","Greenness_6","Greenness_7","Greenness_8","Greenness_9",".geo","CID","class"
"150","00000000000000000095_0",1225.48,1553.1659,1227.3134,1677.6302,2024.6216,1300.6694,1099.666,1450.1084,1265.9644,1418.6013,1465.7266,1277.1719,1606.0148,1254.611,969.8716,1322.8988,1538.1093,1258.492,1290.2059,1268.0454,1116.4106,1294.2704,1730.2667,1928.612,1832.9983,2079.7612,1635.7225,2060.1506,2232.1282,1548.115,1194.2538,1510.98,2234.2297,NA,150,"for"
"151","00000000000000000096_0",1203.6025,1434.0465,860.831,1440.6139,2066.4783,996.5079,1273.4324,1324.4001,1246.0782,1414.7322,1425.6515,1227.8776,1822.2661,1187.6411,1161.4464,1398.7448,1566.7695,1429.618,1202.3702,1161.6633,1014.1233,1753.3251,1872.9735,1775.2319,2155.4602,1939.136,1910.2844,1917.8274,2374.1333,1469.2788,1383.8269,1681.6254,2134.2417,NA,151,"for"
"152","00000000000000000097_0",2515.7903,2554.3462,2274.0403,2584.5767,2884.494,2396.5889,2092.8193,2301.1226,2121.8608,2111.0881,2281.4849,2112.222,2597.9004,2412.802,2301.25,2082.5903,2173.274,2458.8547,2258.0645,2331.5974,1797.4828,2596.2139,2612.3235,2777.3774,2656.9365,2995.0525,2675.0298,2748.8667,2758.7673,2616.695,2295.1443,2716.496,2599.3728,NA,152,"for"
"153","00000000000000000098_0",2088.4465,2104.9658,2023.6097,2018.6837,2380.2173,1992.2874,1904.9785,1808.2212,1811.5148,1771.8359,1853.8137,1756.5577,2041.5402,1807.6265,1885.269,1875.1857,1775.3062,1960.1936,2017.365,2013.9467,1619.114,2288.2231,2292.199,2114.1802,2159.2815,2386.9644,2282.3875,2149.1177,2485.3135,2134.085,1718.5371,1992.6099,2131.888,NA,153,"for"
"154","00000000000000000099_0",400.5699,741.2669,330.97025,340.9164,781.066,361.1718,402.0905,484.4477,603.1776,954.0118,870.783,448.2857,652.9581,461.7538,309.926,714.5212,567.6572,658.0936,881.18005,630.958,777.6058,596.00757,1275.3677,799.2005,917.3776,1211.0374,1017.6316,789.2311,1286.6187,801.7026,628.3182,286.35498,1373.4476,NA,154,"for"
"155","0000000000000000009a_0",1293.3271,1686.0784,1359.7435,1548.9122,1711.885,1321.8036,895.2028,1257.5764,1348.7218,1590.9486,1505.5009,1311.9943,1726.617,1302.7948,1094.1942,1364.6858,1377.6958,1496.0101,1580.2532,1523.206,1209.5232,1417.783,1884.5413,1791.1943,1564.1564,2051.5566,1966.0063,1669.7847,2388.7617,2249.0476,1353.6353,1053.8087,2114.414,NA,155,"for"
"156","0000000000000000009c_0",1397.6779,1914.5365,1589.1093,1733.5696,2457.2947,1391.3865,1135.1711,1491.0258,1245.7478,1310.1111,1452.5072,1513.4781,1802.073,1568.7067,1379.1855,1581.4325,1618.703,1712.6595,2054.8977,1422.6747,1443.9834,1711.919,1981.7697,1753.5742,1787.953,2049.1255,1914.1328,1839.8606,2461.3984,1433.147,1850.8276,2548.4795,2209.6968,NA,156,"for"
"157","0000000000000000009d_0",1491.2672,1612.305,1495.6978,1493.7505,1946.986,1425.4459,1323.8575,1310.9006,1389.0565,1490.1782,1424.698,1360.185,1595.4612,1392.4209,1321.6455,1460.9001,1207.494,1563.6705,1608.6816,1443.4858,1220.4834,1495.2452,1796.1963,1644.6229,1616.6644,1661.3003,1737.6407,1740.7283,2001.981,1371.4736,1561.6143,1378.9849,1834.432,NA,157,"for"
"158","0000000000000000009e_0",334.8261,658.5081,252.8253,364.89,799.8271,355.81494,310.2677,501.2598,367.9699,720.9762,639.9392,353.39288,500.2009,422.06226,280.6444,537.4671,374.5487,440.53015,548.46906,392.73834,617.6185,551.1293,1118.341,600.0685,502.65503,1107.6942,650.1193,711.8895,1205.66,872.3893,456.72656,429.71448,1113.3547,NA,158,"for"
"159","0000000000000000009f_0",984.6663,1265.8242,739.5228,880.6993,1547.52,915.9153,834.2746,1111.8772,1115.3032,1281.5107,1208.473,905.2195,1371.026,1032.0616,781.5822,1116.0513,1044.4401,945.4121,1335.3608,1088.3622,1060.0999,1380.998,1597.3477,1298.954,1237.8943,1479.1707,1553.2423,1341.3623,1653.6876,1288.472,1006.109,761.067,1529.4038,NA,159,"for"
"160","000000000000000000a0_0",1323.4645,1579.2446,1282.7295,1115.0012,1890.043,1384.4583,1086.4558,1390.5529,1038.85,1401.169,1381.2559,1198.4731,1527.0707,1236.3005,1061.7415,1283.5479,1059.3068,1396.1526,1513.9429,1479.007,1158.4364,1695.5781,1930.8118,1863.2684,1632.6431,2139.2048,1783.6082,1697.8779,1714.9989,1146.6364,1174.4318,998.1563,1884.8025,NA,160,"for"
"161","000000000000000000a1_0",1081.5568,1321.7925,450.2823,719.8527,1626.1716,1150.508,1015.4564,1211.5171,1045.4967,1238.6292,1231.98,1142.2727,1294.9663,1218.3748,1068.5277,1116.1084,989.8966,1140.497,1346.02,1222.4739,938.52625,1211.2043,1666.9583,1499.0413,1519.0627,1700.8495,1741.0421,1431.7473,1721.5717,1074.5088,808.65564,357.13385,1668.3768,NA,161,"for"
"162","000000000000000000a2_0",1254.202,1609.7931,1784.1141,1735.8363,2237.9978,1460.164,1257.5822,1535.0671,1373.9167,1736.9105,1552.1644,1248.7024,1712.7299,1354.5725,1225.0688,1416.4819,1518.8464,1289.6467,1700.305,1508.0586,1483.0741,1952.931,2180.9746,1888.0367,1780.2827,2351.6191,2006.4453,1925.5138,2632.3923,2472.1553,1847.287,1282.4993,2424.5305,NA,162,"for"
"163","000000000000000000a3_0",297.2831,758.0635,224.56955,247.21045,637.6223,251.4423,468.21417,781.3823,703.0422,835.2606,822.9558,494.9893,507.0719,641.4324,502.0359,875.2972,876.1708,877.6412,930.7966,922.4393,719.6363,626.7899,1171.5054,860.8323,1101.626,1233.5276,1179.9565,801.3126,910.5511,573.24493,775.8117,332.3368,785.7569,NA,163,"for"
"164","000000000000000000a4_0",1435.9904,1948.085,2197.8052,2166.246,2254.023,2226.8376,1927.9948,2051.9841,1954.5632,2015.9565,1970.2874,1764.0757,1893.1478,1853.1707,1892.1428,1905.1965,1871.3813,1927.2412,1937.6941,2016.5479,1862.6707,2226.9033,2586.338,2001.1099,2404.6934,2427.955,2435.4182,1920.2964,2331.1765,1879.3124,1833.23,1655.4209,2262.3777,NA,164,"for"
"165","000000000000000000a5_0",2592.5886,2407.6724,2569.9045,2370.7947,2522.7107,2295.4617,1867.4259,2120.5728,1901.1355,1835.5085,2034.7087,1961.0024,2389.2617,2054.0352,2132.894,2104.4907,1899.4946,2174.287,2135.1443,2002.2644,1757.8398,2253.6274,2361.9424,2303.815,2317.5105,2444.7168,2570.9624,2398.3135,2462.4785,2404.981,2173.358,2348.922,2034.8322,NA,165,"for"
"166","000000000000000000a6_0",871.5081,1194.211,936.3732,1000.4911,1389.4783,1226.4528,1049.1112,1230.2568,1084.3903,1287.495,1289.2173,1381.3347,1228.0597,1188.3604,1203.3665,1250.7809,1080.7867,1390.6001,1512.4308,1556.7185,1209.9832,1585.4688,1779.7085,1299.5956,1818.108,1901.5594,1869.677,1477.8325,1325.7,575.4104,1406.6489,1223.4308,1460.844,NA,166,"for"
"167","000000000000000000a7_0",1416.524,1628.8983,1451.6447,1542.173,1744.815,1321.4437,1328.5415,1450.207,1358.8118,1658.1298,1689.0623,1579.7214,1642.5415,1296.1692,1343.4988,1464.8018,1544.808,1548.3491,1390.7112,1534.5964,1170.6074,1293.0966,1965.2954,1862.053,1894.6157,1362.3289,1642.3307,1814.6289,2203.5112,1417.114,1803.2421,1609.9617,1938.9553,NA,167,"for"
"168","000000000000000000a8_0",1751.9587,2094.8887,1777.1475,1805.2012,2030.1562,1562.0968,1566.6886,1780.3312,1514.3162,1795.9315,1813.8346,1615.1665,1913.5303,1513.8037,1530.5905,1455.534,1637.4364,1680.7336,1802.4275,1748.8513,1431.5704,1525.9958,2215.627,2148.061,2021.7664,1807.2805,1883.7897,2059.1387,2372.3801,1642.4497,1373.8928,2042.6593,2014.1367,NA,168,"for"
