system:index,VALUE,Wetness,Wetness_1,Wetness_10,Wetness_11,Wetness_12,Wetness_13,Wetness_14,Wetness_15,Wetness_16,Wetness_17,Wetness_18,Wetness_19,Wetness_2,Wetness_20,Wetness_21,Wetness_22,Wetness_23,Wetness_24,Wetness_25,Wetness_26,Wetness_27,Wetness_28,Wetness_29,Wetness_3,Wetness_30,Wetness_31,Wetness_32,Wetness_4,Wetness_5,Wetness_6,Wetness_7,Wetness_8,Wetness_9,.geo
000000000000000000d6_0,1.0,-595.2652,-648.1499,-1719.7253,-1035.8232,-874.0907,-1329.1342,-896.6139,-1638.373,-1775.7147,-2062.4978,-2295.4077,-1552.4553,-607.6504,-1410.4617,-1781.331,-961.6036,-1229.6599,-1276.8628,-1751.9238,-1625.9833,-1524.7228,-222.1909000000001,-1602.0345000000002,-747.4277,-340.1553999999999,90.68040000000025,-95.25580000000008,-506.5643,-957.49,-846.5103,-1001.4129,-807.7,-1216.6566,
000000000000000000d7_0,1.0,-535.9163,-555.9273,-450.7539,-630.07117,-655.9342,-1183.7867,-935.72046,-1046.4261,-1056.3032,-1251.3855,-1316.1941,-1384.1454,-543.89716,-808.4042,-893.69556,-1383.3125,-1172.5814,-1017.8623,-883.6594,-1271.5984,-1309.071,-1038.6631000000002,-618.1668000000001,-625.7024,-551.7166,-368.8336,-220.01989999999984,-378.6009,-974.927,-567.71094,-1061.2659,-773.1865,-1292.6116,
000000000000000000d8_0,1.0,-542.1832,-619.8892,-1489.4568,-649.507,-712.8983,-1265.3073,-827.75916,-2076.0737,-2036.874,-2092.2144,-1753.6531,-921.2786,-498.19336,-1712.9493,-1961.225,-755.0763,-1503.8278,-1114.4938,-1558.4076,-1441.0562,-1496.4827,-705.9506,-622.2105,-741.8421,-362.12249999999995,-99.47659999999979,-721.6092,-399.1292,-1887.0154,-772.9321,-1337.2218,-741.8275,-752.2532,
000000000000000000d9_0,1.0,190.3324,238.6274,279.7524,549.2726,356.9234,244.96614,500.3234,243.71025,262.7917,279.6535,276.7759,336.1434,177.5303,347.23315,335.3274,252.84935,420.2886,427.8293,411.2291,446.8897,102.1889,83.49519999999998,159.90630000000004,354.1104,120.90179999999995,146.16899999999998,196.3689,360.9572,144.9511,272.9414,287.9508,149.2419,249.93024,
000000000000000000da_0,1.0,-430.1455,-702.9557,-335.1467,-1526.7328,-729.8974,-910.4069,-623.2044,-1374.211,-1033.5299,-1170.8218,-1027.2891,-1212.5886,-453.84915,-1006.26294,-1463.0984,-1214.1786,-1394.6416,-1542.5684,-1292.4027,-1061.6304,-1397.3293,-502.4615000000002,-1108.03005,-731.3925,-1596.7450000000001,-1105.1791,-129.11480000000006,-401.5849,-841.18805,-545.6835,-1797.5509,-1559.5758,-1790.8401,
000000000000000000db_0,1.0,-1223.9719,-1138.9178,-586.73254,-1104.2386,-1071.6077,-1589.884,-1496.7421,-2084.1099,-1797.406,-1596.0544,-1585.6477,-1800.0659,-973.0036,-1465.9058,-1849.9758,-1699.5298,-1450.452,-1357.8887,-1424.8555,-1743.3638,-1956.2775,-635.6857000000001,-758.4112,-1393.844,-709.2155,-606.2844,-463.86019999999985,-1261.6743,-1767.874,-1018.0295,-1308.9088,-1305.3457,-1741.1859,
000000000000000000dc_0,1.0,-795.134,-764.9397,-1112.8075,-791.5285,-987.589,-1248.3528,-1014.1172,-1536.817,-1378.5599,-1313.1366,-1420.1562,-1559.3635,-567.77,-1395.6288,-1743.7092,-1851.5826,-1414.0061,-1352.8177,-1894.2263,-1621.4197,-2439.8325,-1107.5143999999998,-642.1773000000001,-1302.5808,-777.3876,-956.4448000000002,-828.5666000000001,-1110.8475,-1927.1719,-1032.29,-1121.3707,-1188.5374,-1538.2599,
000000000000000000dd_0,1.0,-2080.922,-1915.0352,-1282.7642,-997.6417,-615.37,-896.5383,-1116.5631,-2171.757,-1400.4854,-1487.7202,-1335.2615,-1193.2781,-424.57117,-1161.0073,-1064.9424,-1206.8124,-2343.814,-1964.1447,-1962.097,-2504.2754,-2423.5354,-270.4273999999999,-977.225,-552.0512,-1068.6878000000002,-524.1097,-1191.97025,-608.9613,-999.49866,-555.7451,-1723.8665,-640.327,-1931.314,
000000000000000000de_0,1.0,-24.8306,-507.4743,247.8103,574.27563,362.9337,226.3562,539.1505,244.27225,276.48096,299.588,328.5411,365.2291,105.71365,382.3067,376.18225,252.627,420.79608,435.0653,420.4355,391.72095,47.31245,87.1613,175.09819999999996,393.52216,143.44260000000003,176.1193,182.07565,340.9112,209.4079,306.27734,316.0621,233.961,225.8869,
000000000000000000df_0,1.0,-400.6069,-1607.9058,-953.7255,-1175.6024,-1273.34,-1363.1414,-1637.7369,-1803.5233,-1945.3997,-1693.6132,-1756.5632,-1402.1556,-948.5631,-1327.297,-1507.5361,-1335.2468,-1531.2275,-1255.3063,-1158.1719,-1423.8315,-1667.7686,-534.5627000000002,-590.1567,-1336.2474,-362.84715000000006,-284.06945,-222.61609999999985,-1247.4055,-1485.07,-1163.5461,-960.9977,-1222.9951,-1198.3784,
