system:index,NDWI,NDWI_1,NDWI_10,NDWI_11,NDWI_12,NDWI_13,NDWI_14,NDWI_15,NDWI_16,NDWI_17,NDWI_18,NDWI_19,NDWI_2,NDWI_20,NDWI_21,NDWI_22,NDWI_23,NDWI_24,NDWI_25,NDWI_26,NDWI_27,NDWI_28,NDWI_29,NDWI_3,NDWI_30,NDWI_31,NDWI_32,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDWI_8,NDWI_9,.geo
000000000000000000c3_0,-0.16856122,-0.28123847,-0.48154816,-0.521789,-0.60955226,-0.58328426,-0.46454662,-0.39379242,-0.16254036,-0.32719666,-0.34412265,-0.535333,-0.21620765,-0.38961038,-0.59625214,-0.43498817,-0.41244963,0.0,-0.4977806,-0.59363633,-0.3572204,-0.34275922,-0.3816315,-0.5073845,-0.6960519,0.30599484,-0.39229023,-0.53735805,-0.40564373,-0.45804796,-0.12251244,-0.43549952,-0.5202822,
000000000000000000c4_0,-0.19865884,-0.22610229,-0.45327294,-0.13997282,-0.4218953,-0.5289779,-0.4956319,-0.42579076,-0.3860846,-0.382119,-0.41588157,-0.5033696,-0.36560807,-0.45350173,-0.55598015,-0.48054075,-0.40221402,0.0,-0.40381157,-0.6006628,-0.6028881,-0.6159069,-0.35591134,-0.50181377,-0.6814988,-0.6613348,-0.65011823,-0.4238683,-0.4572614,-0.2042521,-0.13946778,-0.53112274,-0.30723083,
000000000000000000c5_0,-0.26179913,-0.29682997,-0.43272105,-0.3856383,-0.155596,-0.45141065,-0.4997825,-0.41581395,-0.3527426,-0.38223937,-0.435305,-0.14589372,0.11111111,-0.36699635,-0.2857671,-0.52600586,-0.5123574,0.0,-0.48778433,-0.5062258,-0.58839935,-0.6869664,-0.29525653,-0.46728578,-0.6788889,-0.30255273,-0.70050067,-0.4496583,-0.2219865,-0.23089564,-0.14022578,-0.39337844,-0.5447969,
000000000000000000c6_0,-0.16432866,-0.2707088,-0.3990099,-0.3075995,-0.48023257,-0.6089613,-0.48435545,-0.2812315,-0.33478734,-0.35315534,-0.3749339,-0.2601626,-0.23504274,-0.27359617,-0.19306467,-0.31347963,-0.46299297,0.09298999,-0.47117296,-0.51736915,-0.2947977,-0.66934985,-0.390635,-0.45598057,-0.47813267,-0.6510067,-0.42557782,-0.3920483,0.07881773,-0.29745597,-0.11006751,-0.4180791,-0.38828632,
000000000000000000c7_0,-0.16057234,-0.32037038,-0.4140875,-0.37453645,-0.63691074,-0.49930972,-0.46235523,-0.44504505,-0.35345912,-0.38607594,-0.4134566,-0.5295903,-0.39380023,-0.30259,-0.6142322,-0.48672566,-0.38510412,0.0,-0.44719687,-0.49247122,-0.24926686,-0.6356275,-0.519084,-0.5341506,-0.46864527,-0.65455705,-0.696875,-0.65433854,-0.5494368,-0.26584867,-0.10216168,-0.46210995,-0.53021806,
000000000000000000c8_0,-0.13648158,-0.33230928,-0.4308849,-0.27085716,-0.592638,-0.53208774,-0.24192566,-0.30575958,-0.46116766,-0.47131148,-0.4180418,-0.34304637,-0.43758214,-0.5076754,-0.4161872,-0.4228972,-0.40701753,0.63225335,-0.47356322,-0.5509942,-0.537931,-0.57856274,-0.57152104,-0.443175,-0.3876652,-0.59923667,-0.53900295,-0.6137566,-0.1017964,-0.3726708,-0.11956888,-0.46210995,-0.45214006,
000000000000000000c9_0,0.07017544,-0.0124223605,0.04494382,0.038709678,-0.28108108,-0.077294685,-0.29682997,-0.14967462,-0.22283609,-0.4645602,-0.056126483,-0.4047773,-0.07519242,-0.3767977,-0.33178654,-0.33049405,-0.447444,0.5725125,-0.3780849,-0.5085491,-0.47654322,-0.43048403,-0.22330096,-0.083185844,-0.68421054,0.20863836,-0.6369863,-0.12538226,-0.13691507,0.0067114094,-0.08192458,-0.036303632,0.35930735,
000000000000000000ca_0,-0.11808934,-0.43826088,-0.4363974,-0.4769688,-0.58533794,-0.52112675,-0.41907823,-0.35841775,-0.40819672,-0.4471195,-0.39052925,-0.50242716,-0.22404844,-0.39407745,-0.5986923,-0.44394037,-0.37751004,0.5464914,-0.3741889,-0.26666668,-0.5343407,-0.45950866,-0.34269303,-0.39317074,-0.7,0.3405258,-0.67530227,-0.36305732,-0.20585842,-0.49673676,-0.09018405,-0.51915455,-0.3980198,
000000000000000000cb_0,-0.17439632,-0.5499154,-0.45240533,-0.4085779,-0.5313175,-0.53697747,-0.43360233,-0.39898476,-0.37857142,-0.5641026,-0.39332098,-0.5280083,-0.4896868,-0.18600368,-0.5548089,-0.4177961,-0.34866938,-0.34691745,-0.34523144,-0.59325045,-0.39019316,-0.42344826,-0.39179105,-0.3820598,-0.69004124,0.23862281,-0.42112744,-0.3924612,-0.2761117,-0.06301824,-0.098627515,-0.50339717,-0.42555332,
000000000000000000cc_0,-0.19949706,-0.5810811,-0.49567723,-0.4506957,-0.58943313,-0.59209764,-0.40487805,-0.4087171,-0.40933064,-0.18940702,-0.3854797,-0.3208593,-0.5632334,-0.5171233,-0.38085938,-0.4875549,-0.51317555,0.0,-0.37949052,-0.61974704,-0.5630906,-0.4221084,-0.4288939,-0.52694064,-0.7079002,0.23930094,-0.4745283,-0.24789207,-0.39671257,-0.47926268,-0.09887435,-0.4761062,-0.5031334,
000000000000000000cd_0,-0.20077541,-0.6183486,-0.5146036,-0.5431433,-0.62993765,-0.40949556,-0.3544542,-0.44611308,-0.41654247,-0.4309996,-0.40454915,-0.5152905,-0.3060996,-0.44875348,-0.63457763,-0.5088868,-0.41124696,0.078844905,-0.46666667,-0.44162032,-0.5554451,-0.4454429,-0.5079086,-0.548,-0.7015566,-0.51585823,-0.6593575,-0.516561,-0.51203257,-0.47960308,-0.12151749,-0.56893206,-0.26197028,
000000000000000000ce_0,-0.4082114,-0.48214287,-0.43944636,-0.17061356,-0.4814815,-0.51536435,-0.48865524,-0.3322034,1.0627803,-0.52794,-0.3988658,-0.34133172,-0.45621276,-0.44450969,-0.5918644,-0.43699732,-0.4839015,0.0,-0.20930232,-0.5915433,-0.61220044,-0.38197425,-0.37755823,-0.5492958,-0.52724594,-0.45667198,-0.4990403,-0.53877276,-0.44514257,-0.41549817,-0.42452106,-0.45171848,-0.37333333,
000000000000000000cf_0,-0.39980915,-0.57663554,-0.5174693,-0.3833391,-0.55040145,-0.5756839,-0.46643317,-0.3837838,-0.3827672,-0.50663614,-0.42378378,-0.3876158,-0.44276094,-0.41516244,-0.5752079,-0.4611399,-0.46660525,0.0,-0.44927537,-0.4864865,-0.53435546,-0.42937854,-0.35394323,-0.5072017,-0.67825574,-0.48101267,-0.35092863,-0.57735085,-0.41135675,-0.48992515,-0.32845458,-0.26442307,-0.38101318,
000000000000000000d0_0,-0.62885463,-0.032520324,-0.48381296,-0.45244956,-0.6550308,-0.59795135,-0.41238126,-0.26351526,-0.3624454,-0.5707686,-0.49687678,-0.4682081,-0.54611474,-0.58460516,-0.6022599,-0.52156514,-0.48487544,0.030552292,-0.1555384,-0.5323258,-0.6072319,-0.35939583,-0.43001688,-0.5541105,-0.59348875,-0.48242188,-0.5659955,-0.60081464,-0.4336203,-0.4791299,-0.022680413,-0.5191327,-0.31243813,
