"","system.index","NDVI","NDVI_1","NDVI_10","NDVI_11","NDVI_12","NDVI_13","NDVI_14","NDVI_15","NDVI_16","NDVI_17","NDVI_18","NDVI_19","NDVI_2","NDVI_20","NDVI_21","NDVI_22","NDVI_23","NDVI_24","NDVI_25","NDVI_26","NDVI_27","NDVI_28","NDVI_29","NDVI_3","NDVI_30","NDVI_31","NDVI_32","NDVI_4","NDVI_5","NDVI_6","NDVI_7","NDVI_8","NDVI_9",".geo","CID","class"
"11","0000000000000000000a_0",0.86982644,0.85273975,0.90265846,0.8801478,0.88472867,0.8597917,0.8828697,0.9202473,0.91010237,0.95148474,0.92736804,0.9140559,0.8552574,0.9186992,0.9112988,0.89954567,0.894387,0.9487777,0.90800416,0.91073585,0.9257485,0.92605275,0.92849845,0.879212,0.92689854,0.9205943,0.9268293,0.8830214,0.8580324,0.8812049,0.7955887,0.83938134,0.87146324,NA,11,"for"
"12","0000000000000000000b_0",0.87075317,0.8657782,0.8939862,0.89143425,0.9019955,0.87799823,0.86951005,1.0437026,0.8952405,0.91038,0.90688914,0.90528333,0.85577387,0.89689577,0.89975786,0.90969455,0.8854916,0.9083837,0.91132724,0.88736343,0.9116825,0.90782195,0.9137407,0.86131746,0.9105383,0.8967776,0.91221374,0.8858561,0.8561361,0.8826774,0.8196881,0.85295606,0.863313,NA,12,"for"
"13","0000000000000000000c_0",0.86201817,0.87632674,0.89143384,0.90139806,0.8919878,0.8854354,0.8878085,0.9040959,0.91844416,0.92312926,0.91460675,0.9428086,0.86380255,0.91753656,0.92515135,0.91456133,0.8927569,0.9254399,0.9172725,0.8950856,0.9003831,0.92245483,0.9237044,0.88235295,0.9258232,0.9213732,0.92635214,0.8775124,0.861714,0.8853352,0.8294145,0.85094064,0.8942189,NA,13,"for"
"14","0000000000000000000d_0",0.88592935,0.86876106,0.8799868,0.87168026,0.9113001,0.89027816,0.88246155,0.90946054,0.9363296,0.90099573,0.9286307,0.95947313,0.9087744,0.9253927,0.93129295,0.9225881,0.88212824,0.9575329,0.91030926,0.90481144,0.8997175,0.93551403,0.9247944,0.8843905,0.92120814,0.945047,0.93823797,0.8777459,0.87759507,0.87885284,0.8116505,0.84893477,0.8567708,NA,14,"for"
"15","0000000000000000000e_0",0.8894217,0.8911607,0.9104381,0.893368,0.90397644,0.8920419,0.9053609,0.8953923,0.8988327,0.91908586,0.9155759,0.9079356,0.8800111,0.9369538,0.93907285,0.9038733,0.88973165,0.90154713,0.8995231,0.9024103,0.91955787,0.920625,0.92876714,0.9042336,0.91405404,0.9290909,0.9213041,0.8806158,0.87259996,0.9402015,0.80321044,0.8803946,0.8762648,NA,15,"for"
"16","0000000000000000000f_0",0.8574879,0.8815951,0.8990694,0.8731948,0.88833165,0.873038,0.874146,0.90615004,0.9032378,0.9131379,0.89969134,0.91825396,0.8719713,0.90053284,0.92709196,0.9033886,0.90427846,0.91896737,0.924876,0.89661074,0.94738793,0.92332065,0.9342483,0.8914323,0.92649096,0.93239254,0.93335575,0.8741396,0.8596851,0.8544965,0.79162735,0.8541124,0.8713137,NA,16,"for"
"17","00000000000000000010_0",0.8638533,0.88018435,0.8878788,0.87062514,0.89129907,0.8698852,0.90086544,0.90494955,0.9010695,0.9062159,0.90255344,0.91227585,0.8585905,0.9105505,0.9090119,0.91453856,0.88660437,0.90113693,0.900403,0.89964455,0.8964803,0.91010016,0.9219191,0.8574571,0.9085995,0.9126214,0.91930836,0.8620151,0.8500986,0.8679868,0.81672025,0.839267,0.8589876,NA,17,"for"
"18","00000000000000000011_0",0.8769371,0.8865076,0.88129956,0.88225365,0.9029568,0.87642854,0.8816326,0.91934603,0.90332323,0.9034792,0.91617185,0.9044542,0.87320626,0.9305556,0.9088005,0.90380764,0.90205276,0.9016818,0.9168992,0.91601866,0.89876103,0.9241158,0.9217064,0.89052206,0.91546446,0.9321734,0.94504076,0.8896587,0.8606882,0.8854223,0.826557,0.8518112,0.85850763,NA,18,"for"
"19","00000000000000000012_0",0.82893765,0.85253644,0.9058974,0.8812527,0.90751696,0.8864796,0.89529634,0.9336566,0.91373324,0.9181722,0.9186113,0.9292476,0.8567649,0.915547,0.91719747,0.91162544,0.9050013,0.92312175,0.9068603,0.9020202,0.9057483,0.9270734,0.93154293,0.89909446,0.92411196,0.92450905,0.92891246,0.9024495,0.88643533,0.90397185,0.8129278,0.8913708,0.87261146,NA,19,"for"
"20","00000000000000000013_0",0.87970966,0.8661997,0.8918269,0.86913306,0.89377594,0.87142324,0.8836207,0.93649685,0.9332893,0.9285714,0.9300649,0.9325044,0.8784216,0.93883795,0.91588783,0.9126533,0.8808901,0.92986184,0.9244582,0.9014719,0.8968768,0.9143628,0.9299806,0.87924755,0.9207248,0.9244009,0.9326339,0.8795411,0.8702111,0.9095941,0.81171143,0.84370774,0.88124764,NA,20,"for"
"21","00000000000000000014_0",0.8730308,0.86702,0.8792453,0.8801909,0.877533,0.8853271,0.8738602,1.1808015,0.8873682,0.8882303,0.90342504,0.8952604,0.85392284,0.9065829,0.917142,0.8952408,0.8981204,0.9089985,0.8876857,0.8881579,0.90002745,0.8969978,0.9121991,0.8794041,0.8981855,0.91864717,0.9217687,0.90297574,0.8585121,0.87733454,0.8052971,0.8544352,0.87266636,NA,21,"for"
"22","00000000000000000015_0",0.88704664,0.8679323,0.8706846,0.88038635,0.89264745,0.8494624,0.8922327,0.9053061,0.91094387,0.90882176,0.9036217,0.9100577,0.8795126,0.9075556,0.907109,0.9165043,0.89021164,0.9134338,0.9222754,0.893401,0.90889895,0.9117923,0.9290466,0.8729282,0.9229795,0.9242047,0.9293233,0.8845096,0.88182974,0.89551425,0.7992656,0.8591893,0.8666299,NA,22,"for"
"23","00000000000000000016_0",0.8983769,0.8765432,0.8984397,0.9050708,0.9029813,0.8833446,0.8929785,0.92484707,0.900728,0.9126984,0.9202492,0.91416854,0.8832757,0.915625,0.9403754,0.9125,0.911938,0.9210945,0.92497534,0.94362587,0.9464034,0.9245397,0.93796587,0.91257995,0.94793797,0.93311036,0.92817116,0.8964497,0.89986825,0.897779,0.8244581,0.89456433,0.8816995,NA,23,"for"
"24","00000000000000000017_0",0.88245934,0.86541206,0.88300276,0.88174945,0.90413946,0.87870544,0.8976956,0.9056282,0.90867114,0.92053425,0.9155028,0.9040996,0.8729358,0.90047,0.91191137,0.9213638,0.91328514,0.89761263,0.91410047,0.8913858,0.9031339,0.9223254,0.9305224,0.8968878,0.9276179,0.9192642,0.91728395,0.876495,0.8660884,0.8731379,0.80285037,0.8787121,0.88486487,NA,24,"for"
"25","00000000000000000018_0",0.8283768,0.8206304,0.83327496,0.83228886,0.87075037,0.8408957,0.8426912,0.8827038,0.8699035,0.8643718,0.8884231,0.87657994,0.80674696,0.8846806,0.8800105,0.8776457,0.89638484,0.89283127,0.91012514,0.9068948,0.90870386,0.9121339,0.9105208,0.8404126,0.91967213,0.9121304,0.9054142,0.83805925,0.8143045,0.85068154,0.7370109,0.82269067,0.8070697,NA,25,"for"
"26","00000000000000000019_0",0.8750797,0.859542,0.8693678,0.8877728,0.8976962,0.87762237,0.8667122,0.91446346,0.9073135,0.92423105,0.8942046,0.9051149,0.84568375,0.9269437,0.89386666,0.9170243,0.90970653,0.8959913,0.90163934,0.9008559,0.9154472,0.9156144,0.9327457,0.88272923,0.9175705,0.9144422,0.9277027,0.879352,0.8381201,0.87279385,0.76840985,0.8649965,0.8592666,NA,26,"for"
"27","0000000000000000001a_0",0.8914813,0.8567275,0.8661137,0.8765363,0.87427914,0.85080314,0.86906624,0.9085748,0.8930767,0.9082228,0.8975945,0.9057152,0.867852,0.90082645,0.89789474,0.895755,0.9159402,0.8958177,0.9066013,0.9007403,0.90776443,0.9128317,0.92501944,0.87946826,0.9020433,1.0498812,0.9249388,0.8728058,0.8694779,0.86863345,0.8071037,0.8374852,0.87775606,NA,27,"for"
"28","0000000000000000001b_0",0.8758187,0.9032709,0.8895677,0.89143384,0.8823764,0.8888616,0.88467956,0.9099526,0.92176473,0.91934735,0.8311458,0.90674436,0.8906052,0.91440177,0.89738625,0.9109698,0.9241877,0.9205379,0.91064936,0.90136987,0.9093386,0.9228978,0.9199802,0.89744884,0.9158327,0.93411994,0.92314816,0.8892352,0.87532467,0.87522554,0.8116569,0.867224,0.8794854,NA,28,"for"
"29","0000000000000000001c_0",0.8674258,0.85912055,0.88585365,0.84738576,0.866547,0.8819154,0.8776303,0.9060354,0.89181286,0.91558886,0.90593296,0.8799392,0.86223054,0.9499106,0.89362204,0.92396957,0.8994301,0.8976015,0.90396297,0.89730495,0.9013882,0.9051687,0.9178397,0.8717644,0.90922314,0.92120767,0.91606784,0.8677341,0.85135496,0.87105626,0.80172116,0.86504346,0.9000471,NA,29,"for"
"30","0000000000000000001d_0",0.87139106,0.87222046,0.8660714,0.88189846,0.8938515,0.83667755,0.86524063,0.90877193,0.8987854,0.89505756,0.8992506,0.8968544,0.87218934,0.9231824,0.9034664,0.9065934,0.8995654,0.88726866,0.9293065,0.89308757,0.9602837,0.9189189,0.92166954,0.86776036,0.9150723,0.9325044,0.93759143,0.86855316,0.8584906,0.91337824,0.7534338,0.8333333,0.8697183,NA,30,"for"
"31","0000000000000000001e_0",0.9006355,0.8731884,0.84192437,0.9149278,0.8506271,0.88439304,0.89943504,0.9161837,0.9132948,0.916457,0.92808217,0.9488636,0.85175437,0.9387187,0.9017199,0.8931101,0.89448893,0.9198443,0.9181722,0.8901482,0.9132816,0.9295517,0.93685937,0.8853731,0.93475634,0.93705034,0.9595782,0.8901869,0.8486683,0.8684211,0.7008197,0.79015684,0.8769439,NA,31,"for"
"32","0000000000000000001f_0",0.8658479,0.87225366,0.8630907,0.86512524,0.8889202,0.8667561,0.86986697,0.89990556,0.8841149,0.9057478,0.8784873,0.9024808,0.8572491,0.9040924,0.8831412,0.8973723,0.8888889,0.89351165,0.9102314,0.90002775,0.88686645,0.9045148,0.9156563,0.8801684,0.8967391,0.91547805,0.9166906,0.8691358,0.847487,0.8651226,0.8059211,0.8414074,0.8557573,NA,32,"for"
"33","00000000000000000020_0",0.8780781,0.8545292,0.86885244,0.87519306,0.86768836,0.86305445,0.8626519,0.89837295,0.914078,0.8993467,0.75685424,0.8153697,0.8665352,0.8893312,0.90298796,0.89191264,0.8774885,0.8826476,0.899572,0.8938416,0.902474,0.9051119,0.9134102,0.8701159,0.9031669,0.9230029,0.9144186,0.87507546,0.8403204,0.8722711,0.7817259,0.8465861,0.86575514,NA,33,"for"
"34","00000000000000000021_0",0.88896006,0.8757569,0.8974478,0.89261746,0.88218987,0.8793478,0.90689653,0.9092246,0.93718815,0.9147573,0.92187124,0.9158576,0.87922704,0.9142926,0.9147593,0.9229678,0.89557207,0.9069229,0.9097744,0.9076062,0.92232007,0.9217287,0.9269366,0.882425,0.9179581,0.9184275,0.92203,0.8886436,0.87295824,0.8793794,0.79043174,0.8490763,0.86876845,NA,34,"for"
"35","00000000000000000022_0",0.8761315,0.88190764,0.8884037,0.87456447,0.90459365,0.8595592,0.8791,0.9197808,0.8862912,0.90580446,0.8957831,0.8998875,0.8597445,0.9195369,0.9129347,0.9147485,0.8954364,0.8983943,0.90931255,0.90555716,0.90179086,0.91574514,0.9298153,0.8584487,0.9180723,0.9140583,0.9193685,0.87521327,0.8606159,0.8734897,0.78135675,0.8520548,0.862442,NA,35,"for"
"36","00000000000000000023_0",0.88523394,0.8517467,0.8833819,0.87491363,0.8596491,0.8788168,0.89219075,0.91924334,0.8997529,0.9102522,0.91972995,0.89139664,0.85051405,0.91817254,0.93415636,0.93416494,0.8994301,0.93955225,0.96152365,0.8972758,0.90742815,0.91701245,0.9276376,0.8876787,0.91872597,0.9303944,0.9223301,0.8814353,0.8649817,0.8677743,0.721652,0.83757406,0.8667912,NA,36,"for"
"37","00000000000000000024_0",0.90043193,0.88834155,0.8885246,0.8869418,0.9124561,0.8716392,0.8816976,0.9210456,0.92321426,0.91513824,0.9107668,0.92353106,0.8744058,0.93466926,0.92518145,0.9065474,0.9297297,0.9081886,0.915181,0.9189754,0.92696285,0.9224846,0.9263158,0.89611065,0.9235669,0.93158954,0.9236861,0.8879668,0.8616663,0.89537114,0.77288824,0.87673426,0.8829992,NA,37,"for"
"38","00000000000000000025_0",0.82772434,0.84734434,0.8482871,0.8473139,0.85693103,0.80857235,0.85948026,0.8915416,0.8849242,0.8709281,0.8707317,0.86757547,0.8192155,0.90828514,0.8742085,0.883875,0.912233,0.8826729,0.90249705,0.8759849,0.8540773,0.8893344,0.9084523,0.82647383,0.8947368,0.89672977,0.9070374,0.85878855,0.83766234,0.83786076,0.72561145,0.82680106,0.8192651,NA,38,"for"
"39","00000000000000000026_0",0.8672961,0.8661914,0.8794655,0.8565524,0.8898087,0.83077794,0.88652056,0.9001142,0.8737271,0.9010072,0.8884591,0.91047,0.86964154,0.8901099,0.8959423,0.9128414,0.8828829,0.8920863,0.8949591,0.87880635,0.88437265,0.8988177,0.9097283,0.8513981,0.89720917,0.8990228,0.9112207,0.8772727,0.8566865,0.8868697,0.78515327,0.8257191,0.86471665,NA,39,"for"
"40","00000000000000000027_0",0.8287402,0.7760088,0.84447473,0.8873239,0.8364399,0.8775172,0.8836402,0.9042637,0.9015592,0.90819323,0.9176663,0.9085,0.7956714,0.9072779,0.90957445,0.90544826,0.9057296,0.9020607,0.93508327,0.9261598,0.9076471,0.92274904,0.9231552,0.81852347,0.9106179,0.92819744,0.92370003,0.83675706,0.7675858,0.8206207,0.7222515,0.80702734,0.8311484,NA,40,"for"
"41","00000000000000000028_0",0.8831423,0.85397816,0.86512864,0.87991107,0.8434622,0.85020244,0.839174,0.871989,0.8789554,0.8884143,0.8853416,0.873515,0.8597441,0.88593155,0.8821499,0.893676,0.87291795,0.8858896,0.8805879,0.88349515,0.8972193,0.89403534,0.893775,0.8401862,0.89308333,0.9044025,0.9589337,0.84894437,0.8548349,0.83414406,0.7750634,0.8127557,0.83831805,NA,41,"for"
"42","00000000000000000029_0",0.8866069,0.87585866,0.87389946,0.8947368,0.9071639,0.88441217,0.8865624,0.9143924,0.9329863,0.92177165,0.91413474,0.9262944,0.8742204,0.91865605,0.90642,0.90661097,0.90810466,0.8989846,0.91874635,0.90468407,0.9209673,0.9127293,0.92238957,0.88491595,0.9176277,0.91997945,0.92417556,0.8954608,0.8713235,0.91159874,0.77393967,0.8587519,0.990312,NA,42,"for"
"43","0000000000000000002a_0",0.91383094,0.8783654,0.9033557,0.8863444,0.89436233,0.8774834,0.88036484,0.90627617,0.9147243,0.923488,0.90523547,0.90746963,0.87853247,0.9070045,0.9063313,0.9124362,0.9117106,0.89639926,0.9253049,0.90967363,0.9085112,0.91507554,0.9194158,0.8960564,0.9052601,0.91726816,0.91673607,0.8967391,0.88945615,0.8881733,0.7894737,0.85,0.8830313,NA,43,"for"
"44","0000000000000000002b_0",0.87627697,0.861461,0.88505745,0.8846018,0.9075209,0.8413152,0.87029445,0.89568347,0.88195235,0.9171271,0.8973005,0.90697676,0.8638151,0.8916828,0.9052708,0.914589,0.8907195,0.9124676,0.91101384,0.9147982,0.9117548,0.90331405,0.921361,0.86285716,0.91101277,0.9161642,0.9174041,0.87684727,0.85730726,0.8525393,0.76014847,0.83516484,0.8801049,NA,44,"for"
"45","0000000000000000002c_0",0.8802688,0.8621622,0.89032257,0.8615188,0.8969367,0.85231787,0.8742515,0.9036534,0.90693134,0.9025094,0.89516956,0.89641,0.8526663,0.91408116,0.88680446,0.89568454,0.88644814,0.9069149,0.9073946,0.89831495,0.8913858,0.9069198,0.90776414,0.8629174,0.90667677,0.9188777,0.9202201,0.8754507,0.8695652,0.8595944,0.74443895,0.80875504,0.8500876,NA,45,"for"
"46","0000000000000000002d_0",0.8819277,0.8638614,0.8769332,0.8567866,0.8765572,0.85061246,0.85845274,0.899361,0.8940276,0.8983498,0.90950227,0.89162564,0.86625355,0.90586144,0.9099765,0.9003392,0.8917707,0.8811946,0.8966657,0.89588445,0.912361,0.90206677,0.9140515,0.85164684,0.91048294,0.9168925,0.9175974,0.87901944,0.8639053,0.8676827,0.7514713,0.83516484,0.8593131,NA,46,"for"
"47","0000000000000000002e_0",0.8674332,0.850898,0.8918919,0.844198,0.8765572,0.87526727,0.8904665,0.9236865,0.91471076,0.90991557,0.9132682,0.9206212,0.85993165,0.88398325,0.90658766,0.89640766,0.8760947,0.87762606,0.890317,0.87880635,0.896438,0.90906584,0.91239715,0.84815866,0.91040725,0.9139073,0.9273657,0.8735862,0.84132844,0.8515451,0.751415,0.8439757,0.91595614,NA,47,"for"
"48","0000000000000000002f_0",0.867478,0.8639495,0.8833063,0.8576822,0.912,0.8823134,0.89269197,0.90187687,0.899931,0.9124601,0.9074515,0.8988282,0.8647871,0.8976599,0.89844936,0.9017985,0.8994301,0.90685254,0.90154797,0.90065604,0.897506,0.90701807,0.9118523,0.89065605,0.9103139,0.9149061,0.9166667,0.8717516,0.86473167,0.86133504,0.7749935,0.84319025,0.87531173,NA,48,"for"
"49","00000000000000000030_0",0.8538682,0.8743812,0.8733936,0.85258526,0.8819242,0.83253586,0.8774265,0.92574656,0.8824265,0.9100529,0.9081874,0.8994024,0.8703851,0.9015521,0.88990825,0.91013217,0.91590494,0.92132866,0.900858,0.88876593,0.8714099,0.89393216,0.91715646,0.865262,0.9027778,0.9071695,0.90304244,0.8499225,0.8814923,0.86329657,0.76994246,0.8214286,0.832731,NA,49,"for"
"50","00000000000000000031_0",0.8875571,0.86792964,0.8919568,0.89404666,0.90821654,0.84678805,0.8881445,0.91184574,0.8897916,0.9052577,0.91421974,0.9122042,0.85989493,0.93097496,0.9159413,0.9117954,0.87787116,0.9036025,0.93352604,0.90417886,0.91637045,0.9174362,0.91803724,0.9020071,0.9136768,0.92724246,0.9250529,0.8824621,0.8771006,0.8674098,0.73329026,0.8822101,0.86699164,NA,50,"for"
"51","00000000000000000032_0",0.8917808,0.867479,0.91366017,0.8869499,0.90235084,0.86476046,0.893087,0.9104567,0.9432781,0.9081272,0.91421974,0.9141104,0.9032752,0.9283871,0.939827,0.90944016,0.94214875,0.9369919,0.9160763,0.90137744,0.90595835,0.9213071,0.9298769,0.8723176,0.9194996,0.9273147,0.92422265,0.90245664,0.87456095,0.87576836,0.78790003,0.8751609,0.86256874,NA,51,"for"
"52","00000000000000000033_0",0.85057473,0.8916449,0.8808034,0.87632775,0.89828396,0.87409616,0.8742933,0.8962034,0.9100289,0.9060445,0.90971357,0.90820944,0.87524116,0.9078309,0.88968587,0.90234035,0.88,0.9039616,0.9022255,0.9014622,0.8971888,0.9059884,0.9138474,0.85250264,0.9029957,0.9168207,0.90906006,0.87741745,0.87375414,0.86325735,0.74768823,0.84319025,0.8712274,NA,52,"for"
"53","00000000000000000034_0",0.8680179,0.8836454,0.8873816,0.8730234,0.8718593,0.85105205,0.8637211,0.9025174,0.90027875,0.90680474,0.90595436,0.9069042,0.86120015,0.9000255,0.9072165,0.9,0.8990486,0.9139415,0.9069894,0.9052881,0.9100346,0.9039278,0.91528976,0.86981654,0.90111315,0.91197914,0.9160118,0.88465446,0.8514485,0.8652951,0.7781155,0.82341856,0.83349854,NA,53,"for"
"54","00000000000000000035_0",0.8797224,0.84748805,0.83433044,0.8550464,0.8702151,0.8313737,0.8656761,0.8972521,0.89844143,0.88659793,0.8874491,0.89485717,0.8658759,0.8854296,0.88680464,0.8924478,0.8945661,0.89416164,0.909031,0.89214075,0.88113695,0.88771635,0.90059173,0.8605452,0.87529814,0.8909667,0.90918547,0.86383474,0.8521257,0.8472929,0.7788555,0.82580435,0.8593595,NA,54,"for"
"55","00000000000000000036_0",0.8755187,0.85472155,0.87055016,0.85889745,0.8725817,0.85369474,0.87458944,0.9325176,0.8893691,0.9155937,0.9037168,0.91510004,0.8715651,0.8992076,0.9062382,0.91202706,0.87767583,0.8901961,0.88537663,0.9027778,0.9135544,0.91156465,0.9208443,0.8911384,0.89644873,0.9357834,0.91640866,0.8714914,0.87309647,0.852486,0.75748575,0.82018715,0.8657604,NA,55,"for"
"56","00000000000000000037_0",0.86979604,0.8561534,0.9019074,0.87689805,0.9118774,0.8585629,0.88540244,0.90233797,0.90309656,0.87868184,0.9153159,0.8981273,0.86920726,0.89886606,0.8923311,0.8951117,0.87837374,0.8968254,0.9039643,0.9066127,0.9206349,0.90394616,0.9147267,0.89249057,0.89033186,0.91523945,0.9171748,0.8913044,0.87552047,0.87471527,0.7836167,0.8540819,0.8618677,NA,56,"for"
"57","00000000000000000038_0",0.8678414,0.8834437,0.8925313,0.86746657,0.88196933,0.8417472,0.8625781,0.8945869,0.852904,0.8802025,0.90343267,0.9021407,0.86095506,0.89590186,0.9070488,0.9021321,0.8956966,0.8944134,0.8982672,0.9223417,0.8991005,0.902604,0.9168,0.8512931,0.88302505,0.9139447,0.91281605,0.8731734,0.862086,0.82955205,0.75849944,0.80627996,0.84462917,NA,57,"for"
"58","00000000000000000039_0",0.8854626,0.8454976,0.86523736,0.86519015,0.8675457,0.87137544,0.84347296,0.90986603,0.8723581,0.9187056,0.9012573,0.90366495,0.82924354,0.9067103,0.9047619,0.88228226,0.9166934,0.9094745,0.8859675,0.8968112,0.8981448,0.8975424,0.9042431,0.8678583,0.88676804,0.905303,0.9083875,0.8671966,0.8558475,0.850599,0.750072,0.80030537,0.8419523,NA,58,"for"
"59","0000000000000000003a_0",0.87802315,0.8600785,0.86860925,0.8450459,0.86834663,0.8467696,0.8766218,0.9034603,0.9356893,0.8899762,0.91625184,0.9183299,0.8789474,1.0255228,0.90160537,0.89902914,0.88523644,0.89906746,0.88895315,0.9020756,0.9067293,0.91082805,0.9204909,0.8651233,0.90179086,0.9205226,0.9186441,0.87462026,0.84933174,0.85888594,0.75312406,0.8104557,0.85418266,NA,59,"for"
"60","0000000000000000003b_0",0.89388305,0.8769156,0.8632266,0.91247445,0.89199775,0.85369474,0.8833895,0.9183872,0.90267307,0.90539503,0.9142857,0.9117038,0.882124,0.9335734,0.89611214,0.9053658,0.9062612,0.90884584,0.90588236,0.9011469,0.921654,0.92002934,0.93021977,0.88828826,0.9375673,0.9304572,0.9295702,0.88401324,0.87988114,0.87899286,0.7938586,0.8453849,0.87161887,NA,60,"for"
"61","0000000000000000003c_0",0.8681319,0.8719033,0.84447145,0.86998785,0.88037634,0.85201794,0.88458675,0.8960396,0.86607635,0.884058,0.9044776,0.8943358,0.84170914,0.89433384,0.8906433,0.91496503,0.87796456,0.91276425,0.89988357,0.8933649,0.90627986,0.89935637,0.9125993,0.86581254,0.8929664,0.90944445,0.91525966,0.86133486,0.86707956,0.8635514,0.7368251,0.8242009,0.84732425,NA,61,"for"
