system:index,Greenness,Greenness_1,Greenness_10,Greenness_11,Greenness_12,Greenness_13,Greenness_14,Greenness_15,Greenness_16,Greenness_17,Greenness_18,Greenness_19,Greenness_2,Greenness_20,Greenness_21,Greenness_22,Greenness_23,Greenness_24,Greenness_25,Greenness_26,Greenness_27,Greenness_28,Greenness_29,Greenness_3,Greenness_30,Greenness_31,Greenness_32,Greenness_4,Greenness_5,Greenness_6,Greenness_7,Greenness_8,Greenness_9,VALUE,.geo
000000000000000000c4_0,1021.39197,1179.4369,1508.6858,1579.335,2115.5625,1222.2694,1257.6411,356.7594,211.44879,298.0822,490.587,1203.0178,1265.0118,1004.2102,826.1575,850.9186,579.6855,896.64575,634.5154,744.6371,503.1192,1660.3396,1258.3646,1142.4906,1456.9585,1048.8938,1480.6995,1560.9758,1894.6184,1916.46,1357.7916,1658.5112,1500.5228,1.0,
000000000000000000c5_0,1179.3511,1673.1447,1371.7996,1502.1215,1632.6099,1041.8875,1204.8083,323.581,166.2471,120.7497,276.0028,816.9138,1240.2408,743.7486,540.1052,696.3286,171.186,557.068,659.9415,683.7376,641.17,1585.0288,1375.5645,919.4171,1344.8494,1319.9843,1402.1755,1566.105,1902.0126,2277.4453,1069.2253,1096.082,1279.0125,1.0,
000000000000000000c6_0,1384.1439,1754.152,1447.5703,1628.1584,1700.4117,1146.3254,1294.58,318.3135,306.1897,185.22101,280.03802,957.36084,1328.135,894.3769,602.5399,844.3593,422.9852,642.56995,705.8028,907.50134,788.6772,1554.313,1299.7078,1083.7806,1432.0272,1460.624,1480.5314,1694.6423,2061.606,2367.785,1268.7083,1215.9192,1462.2382,1.0,
000000000000000000c7_0,1065.606,1842.25,1448.3531,931.8133,1461.6404,74.5743,325.4485,82.72915,-90.3343,-66.5776,136.1352,-45.34645,1716.0923,120.5856,659.2545,258.2555,141.2975,-61.917,-28.984,-68.6477,-101.5982,-255.90344,-139.3716,2275.7058,-107.5908,14.7944,41.07755,2316.4011,2089.5938,1658.5814,935.6361,1573.5137,1436.9998,1.0,
000000000000000000c8_0,2132.9077,1421.0125,2374.1162,1931.035,2448.8809,1535.961,1801.2135,1243.406,1144.2085,1102.176,1536.9666,1777.2125,2243.4485,1887.3842,1610.4648,1532.9658,1710.216,1822.8308,1772.7502,1424.3523,1464.6738,1843.2021,2314.8022,2339.4768,2041.6473,1945.8903,2042.3948,2693.6409,1458.1978,2314.516,2035.7101,2230.195,1937.1019,1.0,
000000000000000000c9_0,2192.243,2270.8408,2341.872,2030.9539,1677.9512,1433.2999,1613.9622,1177.9978,919.5281,1138.8091,1227.3468,1423.9329,2283.9443,1410.3176,1297.251,1177.5742,1129.6736,1403.0487,1394.2366,1329.2133,974.326,1463.1526,1763.9198,2434.9236,1870.5549,2052.9233,2207.567,2496.1833,2107.8818,2131.966,1971.2124,2114.2732,2038.801,1.0,
000000000000000000ca_0,1990.9626,912.50775,1291.6152,1237.0775,945.6847,364.7187,1499.6879,1493.0773,567.7223,399.0976,910.2958,539.16626,1756.4985,957.43835,787.28,784.0342,246.343,1286.1141,1239.8763,1095.175,838.6888,1655.3724,1592.906,205.3746,1505.8708,959.1675,1127.4937,649.2677,396.2643,578.2699,953.8614,1655.1982,1730.3889,1.0,
000000000000000000cb_0,2217.568,1598.3984,1377.4489,2251.2903,2071.0713,1683.0745,1255.9495,1404.3417,903.926,1047.4114,1365.628,1268.3905,2082.9915,1301.6221,1083.7546,840.45514,967.5802,1502.9116,1675.3467,1345.079,1013.387,1145.0652,1655.3606,2126.3682,1503.5997,1494.5837,1778.5964,2050.5393,2166.7285,2209.0562,1979.0117,1941.3921,2137.5847,1.0,
000000000000000000cc_0,1181.4941,1316.4437,1276.5419,1221.0851,1342.7908,1243.191,1145.029,959.64,1086.0073,890.3086,1174.2114,1301.044,1296.7234,1059.6892,1205.1877,874.236,987.9702,1363.5914,1335.6263,1624.4246,1498.3252,1731.679,1776.395,1307.2019,1480.8446,1673.8657,1214.4554,1550.6912,1433.7626,1348.6761,1137.9553,1360.1062,1084.925,1.0,
000000000000000000cd_0,1219.6714,1534.3511,1446.6995,1525.9253,1550.3099,1342.242,1531.2366,1206.6742,1195.957,900.1788,1237.3357,1466.6735,1764.0078,1320.1566,1363.227,1132.2314,1093.0098,1584.463,1270.5039,1117.2329,1397.3214,1274.0319,1440.6841,1763.4517,1647.9048,1413.8335,1570.9834,1652.2074,1460.5854,1243.1194,1272.8777,1444.5908,1627.2292,1.0,
000000000000000000ce_0,1281.4204,1672.9419,1672.8737,1813.3629,2337.216,712.0624,1691.4188,1126.6826,1171.9514,1006.8378,1505.1843,1329.5524,1876.8038,1700.8878,1627.1526,1936.4495,1866.8499,1841.1675,1964.9236,1576.0978,1067.3745,2003.3823,1987.9092,2028.8156,2209.001,2306.329,2152.4683,2125.6687,1554.3572,2430.5393,1967.3164,855.6917,2513.1511,1.0,
000000000000000000cf_0,2056.616,774.3972,2377.8245,1997.332,619.7768,1815.1783,1350.2144,1570.9823,911.8209,1014.0122,947.4154,1027.2783,605.1995,624.5014,1210.5203,1232.6776,1199.6827,1720.8048,1214.5848,1271.5234,1459.4509,1571.919,1921.4944,1345.3854,1891.3705,1824.7062,2399.5005,1319.0781,1687.7139,1500.0322,2546.7112,125.3461,2034.1853,1.0,
000000000000000000d0_0,1118.4009,1101.3091,992.1556,1419.9998,1728.5214,1342.5657,1372.1262,752.4435,907.0056,960.7564,1016.68616,923.9247,1115.867,1094.7466,1497.0356,944.1976,1086.5106,806.7074,702.91406,519.4376,665.489,1379.2815,1581.9828,1730.764,2045.4547,2549.179,2676.5073,1411.3828,1033.9865,1389.2561,1068.4595,1098.6345,1772.4116,1.0,
000000000000000000d1_0,420.2944,2158.404,1145.3634,915.1234,1474.2725,1226.0573,1327.799,1221.7909,862.41675,948.9603,896.46655,1172.2811,2133.2275,773.92615,961.75696,822.6583,1186.8826,1289.9702,1466.5344,1139.8044,830.764,1184.599,1254.8141,1665.1445,1527.9908,1510.5142,1391.1494,2285.8335,1506.4277,1156.0775,1139.685,1435.0704,1592.7969,1.0,
