system:index,GREEN,GREEN_1,GREEN_10,GREEN_11,GREEN_12,GREEN_13,GREEN_14,GREEN_15,GREEN_16,GREEN_17,GREEN_18,GREEN_19,GREEN_2,GREEN_20,GREEN_21,GREEN_22,GREEN_23,GREEN_24,GREEN_25,GREEN_26,GREEN_27,GREEN_28,GREEN_29,GREEN_3,GREEN_30,GREEN_31,GREEN_32,GREEN_4,GREEN_5,GREEN_6,GREEN_7,GREEN_8,GREEN_9,VALUE,.geo
0000000000000000008d_0,413.0,462.5,559.0,741.0,677.0,722.0,802.5,719.0,621.0,640.0,550.0,540.0,434.0,561.0,547.5,673.0,581.0,596.0,560.0,576.0,669.5,589.0,613.0,507.5,582.0,572.0,575.0,557.0,798.0,918.0,840.5,696.0,619.5,1.0,
0000000000000000008e_0,786.5,864.0,835.0,858.0,841.5,854.5,879.0,841.5,863.0,952.0,966.0,955.0,725.0,840.0,833.5,1115.0,883.5,890.5,777.0,834.0,693.5,655.0,705.0,812.0,672.0,593.0,852.0,695.0,817.5,831.0,841.0,825.0,1013.5,1.0,
0000000000000000008f_0,418.0,602.0,428.0,518.0,497.0,519.0,590.0,636.0,574.0,586.0,507.0,551.0,658.0,562.0,481.0,543.0,545.5,504.0,479.0,500.0,488.0,451.0,435.0,700.0,434.5,384.0,425.0,563.0,710.0,588.0,727.0,621.0,660.0,1.0,
00000000000000000090_0,702.5,757.0,612.0,724.0,791.0,686.0,714.0,671.0,706.0,677.0,664.5,635.0,716.0,626.0,631.0,690.5,637.0,614.0,559.5,618.0,655.0,511.0,552.5,711.0,522.5,399.5,427.5,659.0,730.5,641.0,756.0,583.0,595.0,1.0,
00000000000000000091_0,536.0,566.0,853.0,886.0,913.0,1083.0,1123.0,1139.5,942.0,993.0,1062.0,996.0,543.0,788.0,791.0,1048.0,792.0,822.0,761.0,854.0,1023.0,951.0,954.0,770.0,826.0,770.0,855.0,783.0,796.5,833.0,875.0,807.5,1067.0,1.0,
00000000000000000092_0,630.5,554.0,720.0,711.0,626.0,713.0,609.0,645.0,562.5,614.0,609.0,600.0,607.0,612.0,767.0,926.0,793.0,748.5,724.5,716.5,773.0,759.0,751.0,726.0,739.5,659.5,741.0,893.0,863.5,833.0,859.5,875.0,792.5,1.0,
00000000000000000093_0,580.0,796.0,629.5,600.0,555.0,685.0,695.5,583.0,527.0,375.0,404.0,665.0,624.0,558.0,468.5,587.0,575.0,524.0,570.5,505.0,592.0,516.5,539.0,574.5,503.0,461.0,535.0,490.0,676.0,689.0,715.0,657.0,793.5,1.0,
00000000000000000094_0,524.5,716.0,719.0,776.0,801.0,751.0,778.0,724.0,745.0,719.0,737.5,822.0,812.0,847.0,818.0,930.5,856.0,787.0,720.0,685.5,811.5,778.0,807.0,926.5,797.0,786.0,799.5,815.0,817.0,939.0,915.5,713.0,822.5,1.0,
00000000000000000095_0,410.0,529.0,730.5,783.0,720.0,786.5,841.0,792.5,679.0,695.0,767.0,799.0,481.5,796.0,740.0,852.0,800.0,690.0,745.0,742.0,748.0,913.0,714.0,672.5,773.0,648.0,674.0,655.0,806.0,720.0,898.0,773.0,787.0,1.0,
00000000000000000096_0,522.0,545.0,862.0,884.5,971.5,982.0,955.5,926.0,961.5,898.5,932.0,873.0,472.0,861.0,918.0,915.0,950.0,795.0,762.0,800.0,822.0,924.0,941.0,511.5,795.0,730.0,863.0,488.0,964.0,931.0,1738.0,870.0,841.0,1.0,
00000000000000000097_0,462.0,526.0,625.0,637.0,694.0,700.5,660.0,706.0,665.5,619.0,732.0,565.0,410.0,603.0,607.0,620.5,638.0,534.5,547.0,547.0,558.0,668.5,590.0,467.0,581.0,506.5,607.5,431.0,1048.0,813.0,2226.0,613.0,642.0,1.0,
00000000000000000098_0,488.0,576.5,556.5,567.0,643.0,501.0,620.0,635.0,649.0,578.0,683.5,602.0,479.0,610.0,547.0,712.5,626.0,564.0,586.0,535.0,625.0,696.0,641.0,552.0,629.0,545.0,663.5,536.5,578.0,617.0,712.0,490.0,574.5,1.0,
00000000000000000099_0,529.0,528.0,755.0,820.0,788.5,745.0,741.0,705.0,697.0,668.0,603.0,610.0,506.0,580.0,598.0,615.5,629.0,500.5,569.0,600.0,656.0,510.5,624.5,488.0,568.0,514.0,671.0,487.5,589.0,548.0,1056.0,672.5,792.0,1.0,
0000000000000000009a_0,469.0,550.0,418.5,462.5,476.0,447.0,403.0,415.0,437.0,465.0,559.0,513.5,439.5,402.0,475.0,609.0,633.0,561.0,522.0,433.5,434.5,502.5,500.0,493.0,440.5,408.0,456.0,489.0,493.0,520.0,974.5,476.5,461.5,1.0,
0000000000000000009b_0,627.5,638.5,584.0,561.0,540.0,648.5,857.0,802.5,777.5,646.5,827.0,648.0,518.0,638.0,657.0,732.0,815.0,692.5,720.0,624.0,689.0,684.0,695.0,648.0,625.0,546.0,605.5,576.5,683.0,645.5,1041.5,653.5,707.0,1.0,
0000000000000000009c_0,1167.5,1127.0,1311.5,1186.0,1339.0,1182.5,1142.0,1100.0,1142.0,1100.0,1054.0,1016.0,1056.0,1002.0,1093.0,1072.0,992.0,984.0,1031.0,1037.0,1152.0,759.0,1193.0,1079.0,1122.0,1106.0,1121.0,1044.0,1198.0,1792.0,1460.5,1032.5,1429.5,1.0,
0000000000000000009d_0,724.0,729.0,802.0,765.0,739.0,823.0,905.0,774.0,945.0,623.5,799.0,838.5,613.0,796.0,713.0,825.0,815.0,697.0,739.0,797.5,817.5,671.5,755.0,731.0,800.0,925.0,875.0,658.0,717.0,827.0,1086.0,826.0,760.0,1.0,
0000000000000000009e_0,663.0,855.0,861.0,748.5,807.0,795.0,776.5,749.0,745.0,676.0,883.0,731.5,565.0,572.0,589.0,622.0,578.0,581.0,526.0,821.5,540.5,347.0,631.0,772.0,576.0,672.0,654.0,730.5,607.0,726.0,1117.0,584.0,872.0,1.0,
0000000000000000009f_0,517.0,661.5,572.0,632.0,699.0,611.5,605.0,589.0,569.0,532.0,634.0,617.0,545.0,560.0,569.0,578.5,598.0,572.5,548.0,535.5,522.0,489.0,536.0,648.0,457.0,446.0,482.5,613.0,600.0,645.0,1012.0,728.0,616.0,1.0,
000000000000000000a0_0,577.0,805.0,858.0,786.0,798.5,894.0,779.0,832.0,712.5,710.0,724.5,577.0,549.0,486.0,448.5,523.0,480.5,424.0,651.5,665.0,643.0,468.0,653.0,826.0,607.0,584.0,638.5,843.0,603.0,770.5,875.0,581.0,918.0,1.0,
000000000000000000a1_0,659.0,794.5,773.0,735.0,910.0,622.0,714.0,707.0,763.0,616.5,660.5,607.0,555.0,545.0,629.0,697.0,672.5,545.0,607.0,602.0,528.0,495.0,589.0,731.0,476.0,474.0,469.0,562.5,637.0,819.0,831.0,512.0,788.5,1.0,
000000000000000000a2_0,1358.0,1297.0,649.5,713.5,753.5,655.0,727.0,765.5,869.0,946.5,898.0,783.0,1188.0,799.0,799.0,812.0,732.0,825.5,786.0,807.5,722.0,965.0,1054.0,1055.0,756.0,756.0,735.5,948.0,993.0,967.0,960.0,750.5,789.5,1.0,
000000000000000000a3_0,538.0,625.5,602.0,533.0,482.0,537.5,643.0,697.0,675.0,564.0,686.5,687.5,493.0,625.0,652.0,713.5,655.5,589.0,798.0,711.0,746.0,859.0,638.0,576.0,562.0,586.5,456.0,480.0,517.0,650.0,908.5,721.0,670.5,1.0,
000000000000000000a4_0,782.0,839.5,830.5,845.5,914.0,871.5,841.5,837.0,720.0,619.5,829.5,783.0,1166.5,846.0,883.0,963.0,1034.5,875.0,936.0,1058.5,993.0,1032.0,956.0,1088.0,945.0,1195.0,1384.0,967.0,990.5,873.0,1017.0,1108.0,852.0,1.0,
000000000000000000a5_0,541.0,1080.0,559.0,624.0,588.0,599.0,559.5,578.0,529.0,578.5,609.5,540.0,974.0,479.0,471.0,493.5,510.5,446.5,457.0,457.0,455.0,469.5,503.0,770.0,510.0,509.0,554.5,709.0,815.0,720.0,875.0,671.5,662.5,1.0,
000000000000000000a6_0,465.0,640.0,637.0,802.5,636.0,748.0,701.0,677.0,683.0,744.0,688.0,671.0,532.5,548.0,564.0,638.5,610.5,623.5,690.0,659.0,736.0,692.0,662.5,633.0,735.0,668.0,697.0,710.5,769.0,695.0,808.0,905.0,652.0,1.0,
000000000000000000a7_0,641.0,876.0,697.0,756.0,732.0,612.0,835.5,903.0,797.0,731.0,634.5,696.5,570.0,584.0,676.5,809.5,680.5,615.0,650.0,710.0,647.5,548.0,733.0,689.0,724.0,509.5,686.5,611.5,725.0,664.0,758.0,695.0,678.5,1.0,
000000000000000000a8_0,667.0,711.0,637.0,729.5,748.0,680.0,721.0,710.5,742.0,776.0,723.5,781.5,633.0,793.0,647.5,698.0,773.5,650.5,713.0,709.0,692.5,576.0,680.0,804.5,564.0,524.0,578.0,787.0,779.0,843.0,876.0,1041.0,757.5,1.0,
000000000000000000a9_0,500.0,570.5,513.5,611.5,538.0,555.0,706.0,705.0,674.5,691.0,743.0,707.0,593.0,699.0,657.0,754.0,692.0,672.0,602.0,567.0,673.0,607.5,675.0,608.0,653.0,692.5,718.0,542.0,615.0,560.5,728.5,713.0,687.5,1.0,
000000000000000000aa_0,256.0,350.0,190.0,317.0,195.5,379.0,273.5,297.0,279.0,327.0,252.0,304.0,378.5,250.0,227.0,321.0,346.0,263.0,271.0,306.5,293.5,122.5,241.0,363.0,244.0,186.0,229.0,289.0,396.5,321.5,408.0,459.5,398.5,1.0,
000000000000000000ab_0,644.0,669.0,626.0,516.0,568.0,557.0,688.0,703.0,663.5,639.0,719.0,807.5,554.0,788.0,837.0,836.0,708.0,547.0,573.0,746.0,560.5,674.0,804.0,655.0,663.0,540.5,677.0,730.5,796.0,834.0,1514.5,796.0,761.5,1.0,
000000000000000000ac_0,527.0,638.0,690.0,780.0,684.0,616.0,648.0,746.0,896.0,831.5,849.0,745.0,768.5,706.5,712.0,747.5,899.0,633.0,707.0,824.0,780.5,925.0,675.5,618.5,651.0,593.0,755.5,578.0,811.5,910.0,898.5,713.5,672.0,1.0,
000000000000000000ad_0,568.0,684.5,810.0,750.5,725.0,689.5,594.0,682.0,869.0,689.0,749.0,658.0,607.0,761.0,692.0,682.0,751.5,661.0,655.0,604.0,651.0,578.0,504.5,684.0,572.0,527.0,608.0,725.0,998.0,1166.0,921.0,704.5,785.5,1.0,
000000000000000000ae_0,678.0,744.0,858.0,850.0,762.0,772.0,811.0,866.0,788.0,876.0,886.0,761.0,489.0,723.0,645.0,736.0,767.0,587.0,664.0,571.0,724.0,897.5,757.0,645.0,743.0,647.5,717.0,476.0,857.0,700.5,831.5,740.0,785.5,1.0,
000000000000000000af_0,1216.0,1214.0,1195.5,1129.0,1114.0,1284.5,1209.0,1343.5,1284.5,1409.0,1216.0,1225.0,1106.0,1199.0,1100.0,1135.0,1196.0,815.0,741.0,756.0,800.0,604.0,1077.5,1101.0,1148.0,944.0,930.0,1050.0,1146.0,853.0,1097.5,922.0,1153.0,1.0,
000000000000000000b1_0,648.0,701.0,604.0,592.5,623.5,541.0,721.0,686.5,648.0,572.0,533.5,716.0,600.0,715.0,765.0,856.0,738.0,527.0,614.5,740.5,570.5,630.0,785.0,688.0,693.5,566.0,681.0,619.0,763.0,719.0,721.0,663.5,640.0,1.0,
000000000000000000b2_0,627.0,608.0,776.0,884.5,797.0,821.0,795.0,730.0,749.0,776.0,726.0,730.0,556.0,679.0,713.0,755.0,770.0,731.0,680.0,751.0,729.5,645.0,643.0,579.0,644.5,665.0,648.0,557.0,850.5,911.5,930.0,929.0,836.5,1.0,
000000000000000000b3_0,823.0,783.0,860.0,758.0,794.0,956.5,754.0,864.0,834.5,719.0,784.0,794.0,722.5,764.0,848.0,894.0,770.5,585.0,699.5,894.5,792.0,855.5,861.0,651.0,787.0,707.0,777.0,620.5,643.0,638.0,893.0,537.0,708.0,1.0,
000000000000000000b4_0,848.0,1085.0,743.0,1080.0,912.0,790.5,847.5,867.0,933.0,980.0,1023.0,864.0,738.5,877.0,893.0,899.0,758.0,779.0,749.5,706.0,737.0,847.0,756.0,1154.0,753.0,731.0,725.0,952.0,746.0,918.0,1088.0,989.5,983.0,1.0,
000000000000000000b5_0,734.5,960.0,803.0,760.0,834.0,913.0,841.0,788.0,847.0,886.0,833.5,833.0,760.5,795.0,763.0,858.5,810.0,708.0,678.5,680.0,724.0,428.0,678.0,1017.0,621.5,648.0,674.0,853.0,1096.0,1045.5,1368.5,986.0,800.0,1.0,
000000000000000000b6_0,628.5,678.0,778.0,891.0,665.0,717.0,781.5,705.0,725.0,695.0,788.0,779.0,651.0,735.0,721.5,853.0,793.0,814.0,671.0,769.0,729.0,683.0,657.0,866.0,660.0,815.0,619.0,775.0,865.0,848.5,951.0,838.0,729.5,1.0,
000000000000000000b7_0,613.5,653.5,649.0,810.0,844.0,682.0,819.0,660.0,683.0,639.0,718.5,675.0,516.0,664.0,642.0,696.5,659.0,692.0,662.0,668.0,598.0,482.0,497.5,577.0,423.0,479.0,526.0,582.0,616.0,815.0,875.0,600.0,579.0,1.0,
000000000000000000b8_0,653.0,791.0,728.5,730.0,600.0,622.0,638.0,660.0,619.0,630.5,854.0,718.0,585.5,620.0,583.0,662.0,698.0,593.0,662.5,627.0,789.5,511.0,626.0,705.5,637.5,581.0,633.5,538.0,794.0,861.0,953.5,661.0,829.5,1.0,
000000000000000000b9_0,652.5,664.5,626.0,631.0,646.0,720.0,607.0,787.0,761.0,723.0,634.0,520.0,619.0,577.0,579.0,654.0,641.5,569.0,585.0,651.0,681.0,612.5,731.0,724.0,725.0,561.0,669.0,563.0,669.0,638.5,855.0,693.0,621.0,1.0,
000000000000000000ba_0,463.0,458.0,335.0,446.0,424.5,442.0,473.0,447.0,391.0,423.5,466.0,417.0,429.5,403.0,358.0,421.0,391.0,401.0,372.0,379.0,343.0,439.0,431.0,475.0,412.5,404.0,366.0,418.5,526.0,405.0,600.5,579.0,499.0,1.0,
000000000000000000bb_0,555.0,495.5,561.5,461.0,406.0,498.0,498.0,569.5,495.5,463.0,454.5,475.0,515.0,468.5,488.0,504.0,480.0,473.0,445.5,430.5,467.0,451.0,424.0,523.0,476.0,445.5,425.5,444.0,466.0,507.0,575.0,495.0,453.0,1.0,
000000000000000000bc_0,528.0,748.0,920.0,755.0,838.0,727.0,801.0,712.0,1027.0,895.0,873.0,784.5,654.0,842.0,796.0,936.0,770.0,688.0,625.0,802.0,698.5,875.0,796.0,657.0,656.0,820.0,833.0,660.0,756.5,761.0,927.0,874.0,788.5,1.0,
000000000000000000bd_0,557.5,602.0,775.0,887.0,896.5,959.5,860.5,867.5,816.0,849.0,905.5,880.0,574.5,767.5,657.5,758.0,654.5,650.5,649.5,540.5,627.5,565.0,599.5,565.0,598.0,574.5,590.0,546.5,611.0,602.0,1049.0,855.0,971.0,1.0,
000000000000000000be_0,489.0,464.0,632.0,780.0,686.0,822.0,734.5,788.5,708.0,688.0,784.0,789.0,483.0,735.0,733.0,712.0,719.5,655.0,699.0,606.5,638.5,653.0,608.5,544.0,674.0,601.5,581.5,480.5,709.0,520.0,873.0,879.0,797.5,1.0,
