system:index,NDWI,NDWI_1,NDWI_10,NDWI_11,NDWI_12,NDWI_13,NDWI_14,NDWI_15,NDWI_16,NDWI_17,NDWI_18,NDWI_19,NDWI_2,NDWI_20,NDWI_21,NDWI_22,NDWI_23,NDWI_24,NDWI_25,NDWI_26,NDWI_27,NDWI_28,NDWI_29,NDWI_3,NDWI_30,NDWI_31,NDWI_32,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDWI_8,NDWI_9,.geo
0000000000000000008e_0,-0.43872654,-0.35831484,-0.41576162,-0.48490566,-0.45323023,-0.4765071,-0.40183488,-0.4415812,-0.2664842,-0.3276268,-0.35373712,-0.2548805,-0.46528274,-0.17483884,-0.44343892,-0.4165089,-0.35901585,-0.4073673,-0.40871286,-0.30013755,-0.44262972,-0.49648476,-0.47455502,-0.5097867,-0.45177433,-0.47345972,-0.4299196,-0.47974622,-0.52116686,-0.47622377,-0.346061,-0.41875747,-0.4472,
0000000000000000008f_0,-0.4300777,-0.27584204,-0.32123893,-0.4121911,-0.33045977,-0.5162555,-0.1956267,0.58265585,-0.40387857,-0.4711085,-0.37636703,-0.36618444,-0.44505697,-0.4255544,-0.4548063,-0.4685365,-0.3323077,-0.36338028,-0.40902475,-0.39016625,-0.5459579,-0.50360453,-0.42664695,-0.4698063,-0.4716658,-0.26070037,-0.5652428,-0.50577366,-0.5071646,-0.33667502,-0.42664874,-0.4036163,-0.48396292,
00000000000000000090_0,-0.3703861,-0.36496046,-0.4015641,-0.37160972,-0.36227545,-0.55652887,-0.45081434,-0.44735032,-0.4675835,-0.39178514,-0.36558345,-0.42367294,-0.47889182,-0.39231825,-0.36898875,-0.4266603,-0.33136094,-0.37317893,-0.40345955,-0.44417593,-0.45848978,-0.5424299,-0.33170134,-0.4372117,-0.5255217,-0.46728972,-0.5,-0.39329913,-0.47721353,-0.32058287,-0.40294322,-0.4286718,-0.49165028,
00000000000000000091_0,1.0838324,0.9625293,1.0503778,1.0190275,0.8384926,1.0333952,0.98123825,0.94813615,0.9054054,0.9653036,0.95584416,1.0,0.90170133,1.0060241,1.0093458,0.9933444,0.96363634,1.0196079,0.96682465,0.975136,0.91519433,0.75561094,0.85650223,0.95852536,0.8008658,0.9801136,0.82528734,0.9566396,1.1037037,1.0280374,0.5769231,0.45467943,1.0357723,
00000000000000000092_0,1.0669144,0.9484067,0.9695652,1.0190275,0.84075576,0.89619374,1.0219953,1.6483517,0.95543176,0.91226095,0.89784944,1.02,0.9695946,1.0341085,1.0166899,1.0357941,0.95327103,0.9864636,0.97441685,0.9814153,1.027907,0.77227724,0.83549786,1.0272315,0.8181818,0.97576624,0.83222955,1.0491494,0.8317757,1.034749,0.62508166,0.45454547,0.88268954,
00000000000000000093_0,1.0660065,0.9679634,1.0316901,0.9302514,0.9238095,1.0333952,0.98372513,1.4431819,1.06,1.0295203,0.95595855,1.0,0.90689653,1.0073892,1.0163666,0.9336493,0.9574468,1.0298103,0.96767676,1.0166271,0.90415335,0.7853659,0.82749325,0.98186314,0.8649789,0.9784173,0.8574423,0.97145575,0.82608694,1.0311526,0.7014157,0.43034482,0.8210526,
00000000000000000094_0,0.8356941,0.9566879,1.0527859,1.0344431,0.9846939,0.8562421,1.102894,1.6685715,0.9073084,0.9679267,0.9534282,1.0,1.0363636,1.0308642,1.1669692,0.9266055,0.9591837,1.0252206,1.0164547,0.9585492,0.8148148,0.7226667,0.82905984,0.9294306,0.86567163,0.97737557,0.8384798,1.0228716,0.9498433,0.8982512,0.6551724,0.4761566,0.87240356,
00000000000000000095_0,0.8291815,0.95913464,1.0394737,0.9423256,0.8754028,0.9044586,0.95737964,1.6358696,1.2178218,1.0103806,0.9628571,0.9649123,1.1262459,1.0296296,1.027481,1.0402299,1.0244445,1.0072993,1.0158478,0.9405034,1.0276498,0.7798165,0.8559671,0.9044684,0.83549786,0.98173517,0.8425926,0.95423955,0.82608694,0.8982512,0.74550486,0.5523012,0.8805121,
00000000000000000096_0,-0.5410917,-0.52035624,-0.32341,-0.15279049,-0.5052451,-0.53529996,-0.48974836,-0.5351937,-0.44689205,-0.50850177,-0.4862279,-0.30263898,-0.41001353,-0.4070467,-0.57112724,-0.36336455,-0.43486106,-0.4416517,-0.36529022,-0.45585215,-0.56463593,-0.49881572,-0.521939,-0.43922743,-0.5220011,-0.5345098,-0.454257,-0.5791063,-0.52516705,-0.3507294,-0.33439854,-0.5328467,-0.51313484,
00000000000000000097_0,-0.4943158,-0.33909288,-0.515041,0.14067611,-0.3996578,-0.32931423,-0.32228667,-0.418823,-0.45552444,-0.45621276,-0.4122807,-0.4284113,-0.32923076,0.057304785,-0.43222222,-0.32786044,-0.40673575,-0.37442812,-0.4630617,-0.45168066,-0.50830007,-0.4832536,-0.39660522,-0.44486374,-0.43286654,-0.4913495,-0.42719284,-0.51821667,-0.47666138,-0.4766702,-0.5316681,-0.52263933,-0.48875856,
