"","system.index","NDWI","NDWI_1","NDWI_10","NDWI_11","NDWI_12","NDWI_13","NDWI_14","NDWI_15","NDWI_16","NDWI_17","NDWI_18","NDWI_19","NDWI_2","NDWI_20","NDWI_21","NDWI_22","NDWI_23","NDWI_24","NDWI_25","NDWI_26","NDWI_27","NDWI_28","NDWI_29","NDWI_3","NDWI_30","NDWI_31","NDWI_32","NDWI_4","NDWI_5","NDWI_6","NDWI_7","NDWI_8","NDWI_9",".geo","CID","class"
"489","000000000000000000f2_0",-0.27022058,-0.25518927,-0.22344323,-0.027196653,-0.36516854,-0.28804347,-0.24031007,-0.35820895,-0.25129983,-0.35040098,-0.23589516,-0.26565143,-0.098088115,-0.32925764,-0.27705112,-0.22672509,0.0042918455,-0.31834152,-0.17948718,-0.24967659,-0.35530087,-0.49583828,-0.34761906,-0.25132275,-0.42857143,0.2816673,-0.39067057,-0.22714932,-0.39632547,-0.27438018,-0.11545293,-0.38838708,-0.2400636,NA,489,"ltr"
"490","000000000000000000f3_0",0.049558725,-0.16485754,1.1401752,1.0279965,0.9113082,0.8022284,0.95250213,1.3538231,1.0153551,0.9197593,0.91675794,1.0214541,0.6693989,0.9924953,1.0294551,1.0463576,1.0266991,1.0083799,1.0169972,0.937677,2.6888888,0.9714286,0.9677419,0.84117645,0.7818182,0.95555556,0.8568738,0.92102665,0.77030814,0.83532935,0.63185376,0.4955692,0.97168857,NA,490,"ltr"
"491","000000000000000000f4_0",-0.11125655,-0.2857143,1.0350877,0.92058516,0.8299595,0.91780823,0.94159293,1.6358696,1.0154241,0.9722519,0.9546028,1.0214286,0.8974359,1.0214031,0.93324435,1.0687286,0.94860816,0.95533496,1.0145502,1.0175439,0.8145286,0.73333335,0.8897638,1.2172701,0.7904762,0.9585062,0.8440546,0.95184135,0.9604938,1.1965973,0.72520906,0.46577182,1.0736196,NA,491,"ltr"
"492","000000000000000000f5_0",0.8015267,0.33744222,1.0393873,0.7987879,-0.36894235,-0.14653243,0.9525166,1.0243243,0.88325655,0.85046726,0.8580122,0.8467909,0.038297873,0.9344894,1.5635359,2.125,0.93835616,1.0434783,0.8642857,0.7997775,1.137931,0.57058823,0.68865436,0.7893218,0.5308642,0.91764706,0.45714286,0.85761225,0.17391305,0.87376726,0.64396286,0.21538462,-0.07883302,NA,492,"ltr"
"493","000000000000000000f6_0",0.18416524,0.19927536,0.12376238,0.76283616,0.9470199,0.5902004,0.8564189,1.8888888,0.78364116,0.79175705,0.7325301,0.89847714,0.4386921,1.0065502,1.1271478,0.92895204,0.77594125,0.95253503,0.8858859,0.9302326,0.7922078,0.63461536,0.68245125,0.7742947,0.5882353,0.81462586,0.6161137,0.4738095,0.41350907,0.77335376,0.39678615,0.64552844,0.95638627,NA,493,"ltr"
"494","000000000000000000f7_0",-0.39945835,-0.29234794,-0.3965465,-0.25129727,-0.39175257,-0.39546248,-0.2037325,-0.28198075,-0.30567452,-0.3674812,-0.35140496,-0.38179633,-0.3830603,0.0474732,-0.32444733,-0.28175282,-0.26554078,-0.23888889,-0.1592775,-0.37807348,-0.33791208,-0.29392448,-0.4731152,-0.4695801,-0.4413793,-0.4387392,-0.43003997,-0.39845398,-0.41248408,-0.305815,-0.39326537,-0.45056602,-0.3673709,NA,494,"ltr"
"495","000000000000000000f8_0",0.032042723,-0.34304747,1.0394737,0.96216214,0.90338165,0.8973306,1.0465567,1.5806452,0.91233766,0.95689654,0.9669604,1.0080321,0.8666667,1.0247295,1.1266968,1.3409091,1.0224949,1.0286944,1.018868,0.93509614,0.8899522,0.71428573,0.8939394,1.1760564,0.7830189,0.95670277,0.8486056,0.95184135,0.82801664,0.89559543,0.5970874,0.47011954,0.92045456,NA,495,"ltr"
"496","000000000000000000f9_0",0.62598425,0.26266196,0.71505374,0.83357245,-0.41657922,0.65625,0.96199524,1.0238806,0.88837206,0.8881119,0.8678038,0.9114391,0.8498498,1.0355029,0.9252669,0.94262844,0.9535484,0.9508197,1.0948275,0.89166665,0.46312684,0.74473065,0.798237,0.80862534,0.7577197,0.93457943,0.70625,0.8614458,0.7838509,0.8771593,0.6173677,0.34886733,0.3241279,NA,496,"ltr"
"497","000000000000000000fa_0",-0.18125771,0.1715286,0.4326241,0.7531807,-0.40664274,0.2818533,0.9266932,2.058296,0.8678261,0.89261746,0.8125,0.94545454,0.6680162,0.98405105,1.0221239,0.928,0.94849783,0.93133044,0.9285714,1.0716254,0.74857146,0.6273585,0.82608694,0.6926714,0.7005988,0.9279279,0.61685824,0.7594255,0.16547789,0.7948207,0.4431673,0.21594684,-0.3616352,NA,497,"ltr"
"498","000000000000000000fb_0",-0.31466877,0.5079086,1.029316,0.92833334,0.9037037,1.028169,1.0251572,1.0394973,1.0478821,0.9682899,0.96266043,1.0601915,1.029304,1.0073892,0.94736844,0.92110455,1.0116144,1.0379965,1.0123647,1.0261832,0.94186044,0.75510204,0.8596491,0.91155493,0.83255816,0.97427654,0.84175825,0.9192118,0.8069307,1.0340716,0.6569343,0.50373137,1.0454545,NA,498,"ltr"
"499","000000000000000000fc_0",-0.23854661,-0.33305156,1.0240964,0.887391,0.9925234,1.0212766,1.018122,0.96330273,1.0528455,0.95689654,0.9642005,1.5828221,0.90207154,1.0197629,1.0063965,1.0351759,1.01221,1.0072993,1.0108794,0.9548023,1.0588236,0.6707317,0.9187817,1.0272315,0.84236455,0.9781421,0.8419865,0.95624197,0.83864117,1.034682,0.70284235,0.5596206,0.9114094,NA,499,"ltr"
