system:index,NDMI,NDMI_1,NDMI_10,NDMI_11,NDMI_12,NDMI_13,NDMI_14,NDMI_15,NDMI_16,NDMI_17,NDMI_18,NDMI_19,NDMI_2,NDMI_20,NDMI_21,NDMI_22,NDMI_23,NDMI_24,NDMI_25,NDMI_26,NDMI_27,NDMI_28,NDMI_29,NDMI_3,NDMI_30,NDMI_31,NDMI_32,NDMI_4,NDMI_5,NDMI_6,NDMI_7,NDMI_8,NDMI_9,.geo
000000000000000000ce_0,0.41874108,0.305187,0.39228138,0.4045534,0.21726888,0.28365386,0.39686573,0.40609333,0.41809458,0.3641234,0.39430577,0.26471245,0.34014717,0.39100346,0.36763644,0.40936583,0.33077344,0.32384938,0.32428983,0.40366393,0.4127896,0.21452017,0.35753715,0.3946242,0.41237786,0.37461618,0.40660208,0.36846846,0.3363302,0.40646976,0.3411012,0.44737467,0.4321503,
000000000000000000cf_0,0.3878598,0.28921908,0.2744883,0.34921715,0.37225786,0.34524494,0.38280812,0.36004907,0.23949718,0.4835501,0.4184874,0.38517419,0.25537473,0.38350517,0.41992643,0.43527976,0.45695782,0.37546468,0.31123334,0.3670259,0.4772979,0.2572204,0.44313428,0.26009625,0.39679548,0.41858053,0.4809793,0.23457745,0.33821926,0.34418604,0.1520417,0.23958127,0.27258748,
000000000000000000d0_0,0.3908392,0.34264046,0.41144946,0.36495328,0.28830394,0.37110835,0.34913364,0.34299517,0.22456141,0.3792694,0.3930261,0.29955,0.27451947,0.37435898,0.3421584,0.35773906,0.36252868,0.33794612,0.35063422,0.5047091,0.48159277,0.0625,0.45766872,0.40160108,0.44798845,0.4510439,0.406207,0.44177258,0.32289335,0.3836037,0.2919605,0.35329032,0.4147742,
000000000000000000d1_0,0.48920062,0.46582317,0.52110976,0.41052327,0.3194183,0.29820004,0.32876712,0.4348779,0.44792655,0.34511277,0.26069772,0.28124022,0.43464184,0.34811458,0.40328178,0.36384064,0.29743063,0.32644558,0.38340136,0.48070174,0.39501265,0.2299051,0.36835575,0.45834047,0.40986514,0.3783224,0.41799638,0.39707017,0.24362831,0.5950832,0.20429146,0.17400487,0.3615572,
000000000000000000d2_0,0.4408557,0.41037524,0.36845616,0.38318625,0.3069016,0.24884285,0.23411249,0.4443744,0.42828453,0.34325358,0.3188406,0.23872805,0.23569483,0.3207161,0.37837353,0.35182598,0.24541397,0.43464568,0.31646904,0.48624906,0.25557956,0.20958555,0.38029268,0.42756656,0.41022465,0.33536366,0.42239103,0.33393177,0.23364486,0.35576394,0.21819325,0.25984251,0.36314496,
000000000000000000d3_0,0.36093095,0.4304686,0.43546695,0.5577623,0.34227672,0.3977327,0.41809118,0.45336097,0.54865426,0.4648013,0.41679117,0.44097513,0.42893654,0.41212025,0.41570997,0.42962056,0.3947326,0.38370648,0.3571904,0.41844225,0.42656887,0.42224637,0.42948005,0.38039866,0.48234633,0.479838,0.44980186,0.4067629,0.43862522,0.38105264,0.39710638,0.35918283,0.4206603,
000000000000000000d4_0,0.32055873,0.3887755,0.3537958,0.4197893,0.37139386,0.40599877,0.38574487,0.38325226,0.51230425,0.43146685,0.38553515,0.38394287,0.37157804,0.4630584,0.34332123,0.49762657,0.3772735,0.35650027,0.38926053,0.39025033,0.5072614,0.4908648,0.46143287,0.35393053,0.42561677,0.42696938,0.4359882,0.38626164,0.44186047,0.36392996,0.35252562,0.36065888,0.38439626,
000000000000000000d5_0,0.3725712,0.44055945,0.460177,0.4290891,0.43229592,0.44305158,0.41538897,0.27066547,0.40455696,0.33841464,0.2907992,0.32742617,0.3910199,0.27291268,0.22702354,0.3043478,0.44864866,0.17183395,0.20758434,0.106546365,0.2593343,0.29466,0.3591078,0.41518757,0.21175501,0.33678755,0.32987982,0.42995003,0.4417376,0.416713,0.4316294,0.42238533,0.42350194,
000000000000000000d6_0,0.36980832,0.39326954,0.42796737,0.4477612,0.44288698,0.28874695,0.33752358,0.31996065,0.20286739,0.20222634,0.18180281,0.27820456,0.342691,0.24122246,0.2967194,0.19587629,0.30868256,0.24885385,0.3149808,0.3217544,0.37945715,0.33838198,0.3707415,0.3341997,0.36371335,0.44597307,0.3607913,0.3073062,0.39807555,0.4137222,0.4437731,0.36521554,0.3759036,
000000000000000000d7_0,0.31178847,0.4044091,0.41966593,0.51375467,0.41906872,0.4535184,0.42491195,0.4459746,0.5739385,0.39028606,0.4800491,0.41214937,0.3885174,0.5519917,0.45890823,0.4134306,0.4671008,0.47559878,0.4267667,0.44997022,0.43982217,0.43580922,0.50035286,0.3919933,0.4396689,0.4976651,0.46017995,0.3574035,0.3287445,0.51281166,0.3391129,0.35741702,0.3873644,
