system:index,Wetness,Wetness_1,Wetness_10,Wetness_11,Wetness_12,Wetness_13,Wetness_14,Wetness_15,Wetness_16,Wetness_17,Wetness_18,Wetness_19,Wetness_2,Wetness_20,Wetness_21,Wetness_22,Wetness_23,Wetness_24,Wetness_25,Wetness_26,Wetness_27,Wetness_28,Wetness_29,Wetness_3,Wetness_30,Wetness_31,Wetness_32,Wetness_4,Wetness_5,Wetness_6,Wetness_7,Wetness_8,Wetness_9,.geo
0000000000000000002b_0,-1774.6057,-1082.1929,-1049.2574,-930.88306,-895.6738,-1349.1505,-1112.783,-1969.7845,-1667.155,-1953.3691,-2119.9705,-1942.9224,-882.5526,-1682.6162,-1752.2682,-1813.4777,-1862.2762,-1595.8887,-1553.6311,-1825.0183,-2153.1672,-513.78405,-530.9568499999999,-1055.5359,-551.6510000000001,-531.0461000000003,-735.7569,-1003.5238,-782.1224,-871.8292,-995.6367,-1253.923,-1014.1831,
0000000000000000002c_0,-1670.6205,-1351.3433,-1099.7734,-1168.674,-966.5818,-1165.7988,-1377.9307,-1820.9784,-1570.5673,-1562.785,-1576.565,-1627.6984,-1213.5734,-1501.3706,-1503.2354,-1574.4685,-1712.6725,-1641.4104,-1149.893,-1540.5762,-1835.4177,-790.8661999999999,-374.73470000000003,-1394.9568,-405.4976,-17.208750000000066,-273.3698,-875.8082,-978.7103,-1008.537,-1169.3138,-788.6542,-951.4462,
0000000000000000002d_0,-1084.1355,-1057.7072,-435.2797,-1763.7117,-917.3538,-1046.2573,-1225.7,-1301.1072,-1320.2893,-1736.6172,-1502.9252,-1464.1469,-1076.3053,-1582.9908,-1371.6771,-1532.637,-1678.154,-1452.0623,-1222.878,-1087.5518,-1522.8234,-689.38505,-230.4888500000001,-919.2065,-81.37309999999985,-128.9526000000002,-250.00795,-689.7103,-1131.7668,-998.7811,-909.4035,-798.4042,-1725.3333,
0000000000000000002e_0,-1080.495,-867.1244,-921.4214,-1037.8702,-1140.7354,-1092.3594,-1161.5289,-1454.2484,-1985.5226,-1717.3617,-1583.3132,-1409.0461,-838.63184,-1545.8574,-1386.5881,-1433.1881,-1352.5327,-1339.0853,-1419.5742,-1452.5751,-1645.6941,-633.8181500000001,-398.3015999999999,-1001.4756,-223.5605000000002,-201.61369999999988,-84.25550000000001,-810.7113,-1136.5035,-886.98065,-1000.5311,-1035.5608,-955.9499,
0000000000000000002f_0,-1221.3689,-1049.2515,-960.1258,-1241.5635,-1392.1282,-1692.8198,-1119.5266,-1483.7799,-1673.6443,-2006.2448,-1236.7163,-1540.872,-977.17914,-1430.6989,-1372.8849,-1585.1642,-1683.4816,-1300.377,-1568.0901,-1504.8704,-1911.3463,-698.8280000000001,-611.0457000000001,-1103.7396,-74.54320000000001,-628.3905,-558.3874,-794.19116,-745.2768,-881.3502,-982.2524,-961.04346,-990.4004,
00000000000000000030_0,-982.4629,-980.1182,-968.0197,-1043.2422,-1239.4146,-1235.487,-1317.7317,-1545.6416,-1594.8513,-1493.628,-1529.6719,-1343.9359,-1003.0522,-1272.1437,-1388.9023,-1573.0334,-1329.0625,-1163.2428,-1345.81,-1414.5667,-1812.2054,-569.8322499999999,-588.3633999999998,-1050.4049,-369.58169999999996,-447.0219000000001,-342.2057,-832.4178,-1145.475,-1066.3933,-1110.7542,-1366.452,-1225.2133,
00000000000000000031_0,-1301.0962,-1086.4204,-1061.0515,-986.4738,-1051.5098,-1191.1158,-1175.9255,-1497.0718,-1560.6357,-1481.1917,-1552.6509,-1412.783,-987.4699,-1415.3353,-1521.2036,-1402.4602,-1502.7197,-1258.6998,-1394.0508,-1430.1796,-1689.8359,-481.89195000000007,-427.47914999999995,-1151.7344,-216.0232000000001,-358.0797000000001,-441.4615,-892.1398,-946.2121,-1235.0175,-1082.2095,-1424.3873,-1171.8765,
00000000000000000032_0,-1067.6104,-805.6481,-1049.612,-1242.9448,-1147.3658,-1217.7765,-1220.3281,-1553.2299,-1653.0992,-1464.7292,-1503.4579,-1617.4148,-825.59143,-1139.2032,-1453.1884,-1323.669,-1201.6735,-1221.1636,-1442.1519,-1355.8676,-1722.4872,-473.55859999999984,-426.84139999999996,-826.203,-103.97910000000007,-506.0764500000001,-553.1613500000001,-804.4265,-958.7141,-935.956,-1018.1857,-1146.587,-1094.849,
00000000000000000033_0,-2765.608,-2093.5527,-1590.2744,-1549.5635,-1398.041,-1670.2213,-1466.4437,-2001.0901,-2026.9487,-2615.642,-2026.0562,-2082.0183,-1786.3193,-1946.5999,-2062.7495,-2000.6359,-1924.8416,-1675.3014,-1757.4606,-2368.4019,-2718.067,-898.7903,-812.8078500000001,-1841.8727,-537.9275999999999,-944.8226500000001,-706.6133000000002,-1331.1198,-2002.1709,-1660.5154,-1454.0474,-1460.717,-1563.9724,
00000000000000000034_0,-945.18164,-1026.3673,-811.2543,-944.4606,-1031.973,-1153.6058,-995.7034,-1199.527,-1199.378,-1471.8077,-1264.6951,-1232.4863,-1018.8018,-1298.4023,-1223.6313,-1250.6674,-1222.9258,-1181.4199,-1256.845,-1403.7135,-1703.634,-330.0905,-402.84535000000005,-982.1853,-123.94220000000007,-286.7074500000001,-194.74890000000016,-735.0528,-893.4363,-1005.6363,-829.6976,-998.4833,-1012.1708,
00000000000000000035_0,-1103.0247,-1231.091,-911.0227,-1139.622,-1137.8,-1137.2745,-1311.7478,-1408.3654,-1449.3379,-1534.0077,-1486.1906,-1435.2542,-1136.9756,-1413.6903,-1438.3414,-1491.118,-1450.1382,-1314.8386,-1338.9529,-1416.5674,-1637.9424,-507.01845000000014,-149.7396499999999,-1121.3181,-69.20789999999994,-358.0700999999999,-315.4627,-1028.564,-937.7151,-878.2879,-926.8634,-1052.3022,-1116.3575,
00000000000000000036_0,-2543.5635,-1657.2816,-1184.5498,-1073.141,-1192.9974,-1208.7769,-1447.866,-1558.8096,-1487.5435,-1786.168,-1550.7675,-1411.6976,-1386.0415,-1382.1971,-1396.8994,-1293.9282,-1387.8102,-1329.7325,-1285.6447,-1282.3705,-1785.3861,-461.7917000000001,-130.4206000000001,-1123.5848,-143.36690000000004,-636.46205,-499.44440000000014,-898.7556,-1308.2756,-917.0088,-915.4518,-1268.3809,-1397.017,
00000000000000000037_0,-2201.004,-1441.0027,-1159.9886,-1008.4081,-1161.6099,-1194.1006,-1333.0359,-1461.6827,-1514.2646,-1703.7963,-1545.9285,-1386.9436,-1019.6819,-1356.6687,-1386.8832,-1287.4668,-1475.0752,-1289.1602,-1416.2009,-1324.0356,-1609.0745,-487.5038,-309.9490999999999,-1058.9109,-354.16149999999993,-420.2519,-69.37639999999999,-887.2273,-1519.6302,-870.1802,-1012.7427,-1238.6677,-1331.4254,
00000000000000000038_0,140.9387,340.4719,278.1163,417.47498,279.1042,261.2533,551.5482,256.1258,289.39145,324.7522,319.494,417.68295,294.7276,385.6091,353.742,277.37622,422.6541,434.7623,431.35736,438.84134,145.07074,189.23099999999994,260.22929999999997,344.2315,176.965,203.74110000000002,173.78910000000002,374.0453,193.3275,350.01184,314.8777,228.52594,204.7232,
00000000000000000039_0,179.2005,326.9013,289.0017,599.445,328.6661,247.49649,539.5523,244.8713,290.0825,347.94452,300.6997,396.61072,265.03064,391.854,377.8999,256.1632,459.2185,452.6827,448.79108,437.4411,60.9488,190.96549999999996,259.9772,442.0077,177.68855000000002,217.48420000000002,172.72230000000002,399.1565,205.2837,346.91855,367.9275,100.5471,208.5542,
0000000000000000003a_0,153.8601,415.2826,252.65634,567.4777,371.0648,297.6807,562.1303,275.63953,278.1824,332.58636,333.80515,409.42935,281.47394,360.6389,367.8008,262.4462,416.81317,467.15015,408.4752,425.7525,147.85324,157.6832,234.73519999999996,490.11243,174.55780000000001,221.0563,172.1398,395.5949,217.7627,330.3061,336.4024,243.07664,262.2851,
0000000000000000003b_0,180.3247,426.0165,273.9855,517.4259,386.9732,291.9656,552.845,270.6847,290.51096,356.11993,292.8999,393.9852,282.9215,404.2542,353.12695,293.59113,429.76788,426.9679,447.2449,437.265,143.7838,192.5193,249.80100000000004,451.3123,193.11849999999998,241.95389999999998,231.6473,489.2138,202.3288,336.6564,234.4365,144.12955,237.1433,
