"","system.index","Wetness","Wetness_1","Wetness_10","Wetness_11","Wetness_12","Wetness_13","Wetness_14","Wetness_15","Wetness_16","Wetness_17","Wetness_18","Wetness_19","Wetness_2","Wetness_20","Wetness_21","Wetness_22","Wetness_23","Wetness_24","Wetness_25","Wetness_26","Wetness_27","Wetness_28","Wetness_29","Wetness_3","Wetness_30","Wetness_31","Wetness_32","Wetness_4","Wetness_5","Wetness_6","Wetness_7","Wetness_8","Wetness_9",".geo","CID","class"
"210","000000000000000000d2_0",-483.7807,-484.929,-351.87463,-472.0665,-457.08893,-532.2756,-511.67493,-710.81274,-793.3032,-849.6952,-662.13696,-568.2504,-448.87714,-689.68823,-671.7721,-617.4176,-746.4587,-656.2097,-653.7543,-725.094,-847.28217,-25.2964,126.5795,-582.2612,98.94415,141.88045,144.8522,-348.0019,-430.2219,-446.68927,-567.1985,-500.3847,-600.40466,NA,210,"for"
"211","000000000000000000d3_0",-227.8152,-403.0428,-147.51779,-375.00787,-434.3719,-271.2557,-423.2727,-561.7002,-565.9708,-576.6116,-592.3121,-507.16058,-369.23676,-422.07306,-383.17987,-479.7714,-464.208,-466.768,-513.7777,-551.15,-560.1219,28.5471,43.8061000000002,-531.1654,64.0099500000001,62.584,65.9534,-251.896,-411.74463,-165.903,-511.9734,-449.9203,-558.6414,NA,211,"for"
"212","000000000000000000d4_0",-784.4467,-711.00793,-630.6792,-705.23047,-673.908,-734.1878,-751.121,-1042.697,-1063.0095,-1126.2804,-1016.04565,-743.73706,-721.7837,-892.5779,-998.0608,-765.5199,-974.3106,-796.8274,-892.9662,-796.147,-1016.96765,27.4689000000001,210.4935,-698.0625,153.87035,155.31515,195.1562,-711.4379,-660.6401,-684.0466,-673.5505,-687.5395,-730.4444,NA,212,"for"
"213","000000000000000000d5_0",-326.99097,-372.5984,-293.70044,-390.4697,-429.9959,-535.8803,-433.09393,-685.7649,-651.7375,-749.69824,-693.3937,-528.9237,-303.0613,-590.5191,-504.68732,-571.58044,-634.0414,-526.7161,-582.8544,-688.3327,-766.5932,21.4161999999999,110.7697,-546.2195,96.48275,103.8039,74.7239,-319.7545,-460.6096,-413.00793,-441.6346,-517.817,-603.8376,NA,213,"for"
"214","000000000000000000d6_0",-662.8777,-639.3169,-651.8864,-669.6584,-579.546,-720.9728,-673.2061,-852.6988,-954.84753,-1049.3643,-778.85406,-816.93805,-581.7638,-738.6804,-829.7897,-761.8004,-802.4247,-769.618,-793.3069,-743.4455,-1061.7765,-113.701,35.4629,-652.7439,10.6686999999999,-4.85280000000017,50.3343,-595.10657,-488.6664,-529.1267,-710.3712,-549.847,-635.50964,NA,214,"for"
"215","000000000000000000d7_0",-280.30878,-293.07855,-120.2098,-286.8564,-395.6237,-417.8117,-455.508,-546.3019,-503.9853,-695.9423,-667.6047,-432.6183,-282.4686,-396.1996,-452.1304,-436.7736,-587.3854,-464.5608,-452.6868,-566.4017,-657.5954,6.94800000000003,116.2132,-444.2117,65.63475,86.4254,94.32595,-369.98596,-396.1625,-379.9136,-358.86652,-446.91492,-466.37924,NA,215,"for"
"216","000000000000000000d8_0",-737.49963,-625.0895,-596.2138,-499.262,-489.5351,-554.6697,-579.8546,-718.70465,-788.1867,-926.5032,-742.4942,-605.4374,-711.43414,-654.105,-620.7993,-638.1929,-659.7551,-638.843,-618.9059,-779.6209,-1062.4209,79.5715000000002,241.7169,-636.5073,229.6832,138.7801,119.5151,-602.4138,-466.6759,-509.4322,-513.5786,-463.90326,-538.3273,NA,216,"for"
"217","000000000000000000d9_0",-667.4656,-674.8671,-641.4099,-630.4763,-567.43665,-683.9922,-754.2092,-875.07764,-985.0326,-1111.0001,-817.5721,-711.49225,-652.4603,-763.8077,-905.5012,-696.5148,-916.49963,-746.5461,-819.8271,-788.741,-1024.5833,22.4895500000001,139.604,-741.6621,102.95865,150.1003,153.14785,-596.56995,-558.9823,-589.9733,-560.9076,-606.895,-687.89624,NA,217,"for"
"218","000000000000000000da_0",-815.74744,-762.186,-797.9764,-735.9918,-666.1998,-823.3247,-877.2517,-969.10675,-1128.2776,-1191.1699,-1008.61804,-794.4571,-779.9438,-815.44666,-925.8832,-830.9984,-1119.5964,-804.48724,-869.5995,-991.6468,-1281.5641,46.0061000000001,235.13445,-886.13464,80.2583999999999,147.6207,175.05195,-718.22314,-628.40967,-680.9846,-699.2287,-642.13446,-781.0482,NA,218,"for"
"219","000000000000000000db_0",-773.7181,-776.3578,-757.368,-916.2665,-875.9836,-969.34686,-935.92145,-1231.4619,-1314.106,-1325.4762,-1142.08,-795.52405,-790.0043,-653.0822,-750.6009,-666.2169,-882.5148,-803.10846,-865.6301,-992.2515,-1106.877,-38.6637500000001,97.60435,-901.522,73.388,91.8905999999999,133.0217,-823.632,-848.53406,-819.6859,-888.15137,-842.2187,-891.87317,NA,219,"for"
