system:index,Greenness,Greenness_1,Greenness_10,Greenness_11,Greenness_12,Greenness_13,Greenness_14,Greenness_15,Greenness_16,Greenness_17,Greenness_18,Greenness_19,Greenness_2,Greenness_20,Greenness_21,Greenness_22,Greenness_23,Greenness_24,Greenness_25,Greenness_26,Greenness_27,Greenness_28,Greenness_29,Greenness_3,Greenness_30,Greenness_31,Greenness_32,Greenness_4,Greenness_5,Greenness_6,Greenness_7,Greenness_8,Greenness_9,.geo
000000000000000000f7_0,1471.4199,1609.6194,1854.829,1591.1533,1847.0824,1809.1937,1555.627,382.2844,535.74927,1115.8004,1076.0022,1606.2306,1597.4285,1069.8628,1118.3064,1134.2295,928.7384,1839.4547,1606.5759,1617.1226,1343.661,1400.656,1686.3804,1688.992,1935.8529,1195.6366,2550.6033,1477.5979,2115.6152,1586.3396,2032.9363,1732.9133,1581.7258,
000000000000000000f8_0,1208.7787,1556.4124,1697.7214,1750.9111,1850.6215,1884.7695,1706.9716,508.857,980.8883,1031.6292,934.4864,1456.0398,1872.9382,1251.1368,1336.0914,1285.9263,821.1016,1610.4977,1605.2249,1014.304,1336.5886,2146.7314,1703.1245,1710.4604,1997.7546,1648.6897,2114.0918,1635.22,2056.1711,2066.9304,1981.878,1566.5803,1907.0632,
000000000000000000f9_0,1806.3501,2301.12,1886.0928,1780.0205,1845.2888,1834.3188,1768.7916,1460.0607,1429.0049,1408.6711,1152.508,1417.509,2127.785,1513.4233,1505.7178,1499.0437,1562.5232,1601.1779,1528.0115,1591.6538,1271.397,1141.0361,1804.889,2055.1636,1956.0432,1607.5319,1770.892,1835.2039,2053.9778,1585.7734,1919.0845,1843.6741,1807.5515,
000000000000000000fa_0,1089.7783,1939.7365,1647.7184,1754.1788,1851.2563,1636.3888,1523.1772,1444.7626,1554.2397,1037.2438,1291.6315,1607.2708,1790.7782,1442.9934,1485.6715,1589.7983,1429.5177,1594.024,1668.1726,1575.7582,1427.0068,2083.326,1868.5857,1660.1605,2057.34,1624.9434,1869.3368,1654.3586,1694.4297,1494.7606,1510.8304,1823.7314,1520.8542,
000000000000000000fb_0,1447.9263,2155.0483,1905.9987,1860.336,1968.2657,1669.5548,1708.4271,1583.5536,1600.7379,1235.7236,1470.2487,1572.4697,1622.1938,1517.0966,1848.2065,1634.2158,1570.5139,1632.1718,1566.4983,1650.8549,1459.2408,1636.5874,1783.9215,1649.5511,2427.9443,1785.097,1985.5647,1752.8302,1832.4604,1445.6072,1757.4941,1972.4011,1862.4142,
000000000000000000fc_0,1625.0979,1736.1094,1839.5854,1657.4591,1402.9904,1564.3416,1327.4958,1615.2961,1358.1885,1369.4994,1427.0858,1323.6866,1743.5063,1498.8572,1477.7076,1490.2352,1472.7296,1541.3812,1686.4949,1515.864,1244.0388,1797.9231,1967.022,1750.1655,2214.906,1916.0138,1932.7365,1859.597,1558.9775,1853.6981,2109.474,1854.3987,1881.2595,
000000000000000000fd_0,2528.6196,2392.192,2228.7466,1983.4014,1943.8265,1955.2578,1643.153,1660.9294,1409.6312,1239.4298,1392.6842,1587.364,2289.624,1977.9078,1982.4307,1963.1705,1758.0774,1754.0446,1783.0797,1822.1472,1456.7498,2281.9658,2186.1836,2356.4946,2778.3557,2206.0444,2150.4622,2423.0322,1840.3357,2114.9746,2205.6997,2302.938,2382.922,
000000000000000000fe_0,1793.86,2252.7568,2069.6055,1983.5403,2154.0264,1932.6105,1794.8564,1900.9377,1526.0046,1498.4366,1802.9545,1402.3782,1737.3868,1534.2725,1752.6394,1601.8029,1585.678,1563.4751,1803.4138,1790.5564,1529.6199,1688.4081,2086.608,1992.6885,2208.434,1793.5715,2077.2979,2051.3706,2167.5054,2267.446,1911.0598,1978.2533,2320.707,
000000000000000000ff_0,-127.83446,-395.1759,-229.2298,-519.7355,-303.2364,-273.6173,-630.6803,-351.4619,-465.3568,-631.253,-556.6494,-585.0924,-258.47577,-577.5948,-514.2001,-468.3506,-578.401,-605.2906,-644.8917,-718.7608,-271.3096,-322.8667,-343.51334,-380.11707,-228.8052,-255.05765,-276.3262,-456.37543,-157.0834,-316.65665,-105.2175,-119.9899,-168.4701,
00000000000000000100_0,-132.0883,-445.5746,-257.17175,-534.1083,-346.2516,-228.0711,-658.9048,-360.83972,-408.7718,-682.5018,-533.8579,-540.8444,-203.9933,-626.483,-531.015,-417.414,-663.8501,-616.9249,-663.9602,-695.411,-259.3625,-313.6385,-333.8186,-385.13007,-223.183,-293.28638,-298.60468,-403.2632,-170.75961,-303.758,-128.3687,-109.1742,-189.19391,
