"","system.index","Brightness","Brightness_1","Brightness_10","Brightness_11","Brightness_12","Brightness_13","Brightness_14","Brightness_15","Brightness_16","Brightness_17","Brightness_18","Brightness_19","Brightness_2","Brightness_20","Brightness_21","Brightness_22","Brightness_23","Brightness_24","Brightness_25","Brightness_26","Brightness_27","Brightness_28","Brightness_29","Brightness_3","Brightness_30","Brightness_31","Brightness_32","Brightness_4","Brightness_5","Brightness_6","Brightness_7","Brightness_8","Brightness_9",".geo","CID","class"
"265","00000000000000000008_0",842.3151,2081.3933,521.7309,1254.2126,1752.6134,1677.2869,1782.8824,1961.1206,1883.3042,1809.2852,1960.073,1725.1365,2009.874,1779.7573,1765.2218,2121.5598,1891.9678,1950.5481,1940.3936,1966.178,2091.8213,2297.4558,2340.0134,2152.8164,2212.266,2123.8467,2199.0225,1151.0022,2291.2495,1472.2722,1991.7075,2100.874,2001.9703,NA,265,"ltr"
"266","00000000000000000009_0",2795.7231,3029.8452,2596.1787,2987.8684,3112.8835,2745.2874,2993.2268,3165.8794,2995.059,3399.8672,2863.4136,2553.1433,2517.1633,2997.0679,2570.3633,3209.2942,3127.5806,2794.8352,2730.941,2702.251,2919.0728,2743.0598,3622.799,3147.9734,3387.1406,3210.0496,3573.4001,2906.3616,3377.9875,3501.2769,3399.6042,3755.248,3557.975,NA,266,"ltr"
"267","0000000000000000000a_0",458.9372,600.0193,347.7554,537.1363,517.5608,486.7261,664.2538,569.88196,374.8178,690.521,754.4508,565.2709,535.4141,532.0659,359.68927,715.2755,851.5569,515.5657,406.0172,448.1839,811.3743,305.2115,410.0121,882.46246,567.5713,263.2239,433.6333,320.54956,700.91595,478.16516,1211.2859,765.643,798.7743,NA,267,"ltr"
"268","0000000000000000000b_0",1241.8842,1827.1079,802.3263,1721.0986,1990.6846,1952.5443,1409.1954,1862.3124,1756.03,2059.5327,1704.5455,1520.4125,2396.8594,1469.4978,1700.4519,2376.2073,2152.5857,1758.9882,2000.72,2193.519,2202.751,1230.7887,2691.9116,2420.441,2536.2783,2146.0483,2167.9656,1290.6609,2048.8022,1997.7917,2753.4316,2232.2844,2052.1265,NA,268,"ltr"
"269","0000000000000000000c_0",1698.2334,2477.8262,1704.0577,2646.534,3144.4707,2901.253,2523.2036,2803.1533,2784.602,2867.8975,2659.522,3015.8909,2652.0034,2519.632,2297.923,3093.1848,2730.6094,2579.727,2537.8865,2765.9717,2667.7134,2914.0818,3580.0522,2827.785,3473.331,2843.3425,3603.1035,2062.3862,2849.633,2934.6082,3582.066,2564.954,3335.8677,NA,269,"ltr"
"270","0000000000000000000d_0",4022.1042,3772.2378,3951.493,3792.3398,3499.3928,3497.8357,3649.2593,3574.9507,3558.457,3378.442,3454.6477,3608.0068,3767.9675,3769.654,3647.0305,3552.1736,3576.886,3589.6313,3508.1362,3637.469,3342.1133,3689.2905,3366.0737,3602.5686,3536.6895,3672.3523,3733.2585,3713.1497,3442.621,4001.761,4156.088,3917.1802,3294.2593,NA,270,"ltr"
"271","0000000000000000000e_0",2767.641,2755.7405,3068.2744,2778.811,2773.5864,2893.8525,2896.0027,2968.7217,3026.099,3114.362,2888.2568,2740.3464,2892.099,2976.4565,2993.266,2929.9878,2925.9531,3047.2744,2828.9834,3150.455,3224.0142,3238.0278,3220.4631,3078.9026,3164.4702,3366.8406,3244.0315,2998.0022,2952.996,2988.3853,3169.6245,2893.3882,2857.397,NA,271,"ltr"
"272","0000000000000000000f_0",2521.522,2701.8462,724.3803,2310.5151,2733.0005,2543.6792,2842.983,2803.4927,2698.0444,2916.3652,2629.785,2520.7095,2672.8247,2723.5632,2509.074,2638.9146,2488.6758,2543.435,2458.7605,2417.3242,2472.4587,2631.436,2836.4155,2982.6738,2902.6965,2925.8127,2672.0098,2500.4666,2795.3293,2876.4087,2862.6074,2932.4878,2529.1355,NA,272,"ltr"
"273","00000000000000000010_0",2312.7856,2838.3716,1976.023,2737.115,2302.6807,2736.6333,2540.6719,2657.2732,2184.6838,3235.8174,3229.9302,2562.1487,2633.6262,2160.2131,2565.5527,2723.0984,2632.616,2483.407,2566.9148,2573.6567,2608.8667,2419.4553,3883.7852,3156.4355,3623.1174,3034.673,3295.0244,3198.2864,3200.2876,1795.3479,3227.937,2797.9858,2876.37,NA,273,"ltr"
"274","00000000000000000012_0",3005.4233,3283.385,2978.204,3156.8992,3422.609,3451.8784,3556.3047,3478.574,3406.8882,3595.138,3466.705,3406.662,2983.2651,3344.6353,3569.5012,3627.8904,3587.065,3531.4062,3673.3472,3286.02,3283.8762,3945.4575,3563.6804,2967.6953,3599.9307,3429.3552,3572.1619,2833.6633,3289.6753,3379.354,3700.306,3455.5835,3366.4302,NA,274,"ltr"
