system:index,NDVI,NDVI_1,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_2,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_3,NDVI_30,NDVI_31,NDVI_32,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,.geo
000000000000000000dd_0,0.8027079,0.7457627,0.75996494,0.7946889,0.8010406,0.6577742,0.7472585,0.77027375,0.75610983,0.74456793,0.8421845,0.8013114,0.7094247,0.7081317,0.7495567,0.7671084,0.7762625,0.7211495,0.7931973,0.82421637,0.7417133,0.7724379,0.760709,0.7629792,0.83316463,0.7995801,0.7648065,0.7492317,0.80484116,0.7109015,0.65,0.78450155,0.75543743,
000000000000000000de_0,0.834866,0.74833935,0.8373517,0.83047825,0.75,0.8069734,0.76985615,0.860967,0.8244291,0.8436132,0.9087694,0.8779343,0.75756484,0.7052882,0.81279767,0.81118315,0.79974216,0.7806262,0.83541805,0.8886066,0.8008316,0.8767755,0.80173916,0.83607167,0.87193346,0.8483878,0.84724474,0.8040073,0.84077114,0.7655058,0.73020184,0.80347246,0.79305017,
000000000000000000df_0,0.7906322,0.8349247,0.79056555,0.7118431,0.7122514,0.8633265,0.8894222,0.8446459,0.7782539,0.7810651,0.77530223,0.78029233,0.8081544,0.7822932,0.7837446,0.7963875,0.77064955,0.8273888,0.7825993,0.78358996,0.8070857,0.8561861,0.84541726,0.80605257,0.87604105,0.8125,0.8622978,0.7720571,0.7576542,0.88401645,0.7480966,0.7419981,0.7772418,
000000000000000000e0_0,0.634932,0.6295411,0.5944131,0.57574064,0.67128617,0.6775764,0.6468619,0.71600217,0.8047016,0.6484264,0.68312633,0.669627,0.63554984,0.6740067,0.7083226,0.6838936,0.66422564,0.6667493,0.67512965,0.6622391,0.70573443,0.56866634,0.6614767,0.6186544,0.7366342,0.69271106,0.6945362,0.6280543,0.6487026,0.5937427,0.5595971,0.64901507,0.64934325,
000000000000000000e1_0,0.69301087,0.7177673,0.60450506,0.6375914,0.7306317,0.7342276,0.7232387,0.73692626,0.722247,0.7239105,0.7199211,0.7385918,0.6872762,0.7887059,0.7043673,0.70652175,0.69787604,0.697479,0.7802921,0.70071477,0.7534948,0.7591758,0.7223101,0.7333043,0.7909828,0.7629128,0.74393684,0.7395306,0.7305158,0.73860466,0.6661669,0.7514491,0.71890485,
000000000000000000e2_0,0.7624793,0.6965298,0.66741574,0.6753507,0.722083,0.7067283,0.6757351,0.76328814,0.7769014,0.72054976,0.7350828,0.5326172,0.6625153,0.58583987,1.1428572,0.60392797,0.5617738,0.6487829,0.6253833,0.60515606,0.67583543,0.60331213,0.6494538,0.7474049,0.70823187,0.66924703,0.68705285,0.73958033,0.7057802,0.6934533,0.6309656,0.71112907,0.7290785,
000000000000000000e3_0,0.75944006,0.67331725,0.6694417,0.74802494,0.68945223,0.7098171,0.73766714,0.76344585,0.7041389,0.5214425,0.5815072,0.63160133,0.73193675,0.6311536,0.54904896,0.5689177,0.6459251,0.62194836,0.71729404,0.6886792,0.6387565,0.6664101,0.6348865,0.6042048,0.79647434,0.7726964,0.7450628,0.71900487,0.6301183,0.64439577,0.5698419,0.6582086,0.69599265,
000000000000000000e4_0,0.7863231,0.7311547,0.6884397,0.6456727,0.53985506,0.6433008,0.64788735,0.669897,0.57965934,0.56102,0.6384389,0.6340076,0.6921573,0.63490593,0.5075075,0.53472596,0.54213035,0.60436815,0.6607809,0.6550031,0.6087344,0.6363253,0.5141446,0.6738328,0.7293666,0.72023654,0.6536585,0.7107479,0.5215503,0.55801374,0.5269548,0.5894692,0.7064722,
000000000000000000e5_0,0.6495883,0.65946805,0.5617879,0.512,0.4695946,0.57663476,0.57693404,0.61042523,0.62384874,0.5379242,0.5328467,0.49590835,0.6617813,0.48871794,0.48374942,0.5074585,0.6247624,0.5960429,0.62266225,0.6518394,0.57875705,0.4848914,0.5258757,0.68323135,0.53586495,0.5412492,0.57146645,0.53871655,0.5969168,0.6074458,0.4879227,0.62183625,0.5366492,
000000000000000000e6_0,0.72092044,0.8043524,0.8010999,0.81044567,0.87059253,0.8361504,0.8538056,0.83949614,0.83905417,0.8620829,0.8662559,0.8153991,0.81972665,0.8151119,0.8267465,0.7781175,0.78045577,0.7648623,0.8318584,0.8221843,0.8417522,0.8762482,0.87525153,0.7958254,0.8784275,0.909166,0.9111188,0.82891077,0.86891246,0.7896979,0.6625808,0.7092558,0.8164557,
000000000000000000e7_0,0.772284,0.8272199,0.6575944,0.7286245,0.73484164,0.6834396,0.6843507,0.7594735,0.84,0.80776894,0.7414482,0.7518685,0.773399,0.8126618,0.80673873,0.82198113,0.78676146,0.78438365,0.8270772,0.8180549,0.7894737,0.8133533,0.8424969,0.8102737,0.83440256,0.8534576,0.8510427,0.7653725,0.7069044,0.6493882,0.56405646,0.64055556,0.74007374,
000000000000000000e8_0,0.7125955,0.7968853,0.79371667,0.7969587,0.79167706,0.77455246,0.85170627,0.7541854,0.79170054,0.8057432,0.77147555,0.7634462,0.7868242,0.76052696,0.78756475,0.7881533,0.7130545,0.7693929,0.7598836,0.7182809,0.8055382,0.800118,0.8888517,0.7885702,0.82601625,0.8810755,0.8899676,0.7659668,0.8107129,0.75920177,0.6914458,0.6590129,0.75377214,
000000000000000000e9_0,0.7541468,0.73166704,0.7603032,0.75376886,0.7749013,0.6774466,0.71322566,0.7421371,0.7100606,0.7268519,0.68085104,0.75041914,0.7650924,0.7377553,0.7288585,0.77656126,0.80173284,0.7686283,0.7789347,1.1492333,0.76949805,0.6565097,0.7551556,0.7266253,0.79388237,0.8038891,0.7950432,0.72610617,0.7473684,0.7561181,0.5483725,0.6277681,0.72235185,
000000000000000000ea_0,0.78087026,0.7852148,0.70007265,0.74299234,0.6399166,0.47600093,0.6221498,0.6395671,0.63627994,0.6203164,0.7653773,0.68157727,0.7891401,0.6902717,0.6634799,0.64166355,0.63345194,0.6362664,0.7943623,0.65648496,0.56946236,0.56210333,0.7111111,0.69947755,0.6547619,0.68043745,0.625567,0.7276995,0.6785162,0.6668128,0.5377336,0.4634378,0.6197597,
000000000000000000eb_0,0.76266724,0.8037463,0.80201685,0.855681,0.84973234,0.8525595,0.9240945,0.8257406,0.8432325,0.8280471,0.85093457,0.8464663,0.79055613,0.8606272,0.8521774,0.85189927,0.78194284,0.8146274,0.8015155,0.8184639,0.8440905,0.8684423,0.8460928,0.8509249,0.8243243,0.85234326,0.8673869,0.75378406,0.80806977,0.77443314,0.7451638,0.7640549,0.82372737,
000000000000000000ec_0,0.7700272,0.722807,0.8334783,0.75818884,0.7240318,0.78126305,0.7856292,0.8585613,0.7970106,0.8794067,0.8290666,0.7851027,0.8193134,0.75445914,0.79949874,0.7755102,0.82869285,0.7951719,0.8036332,0.8101788,0.82081914,0.886473,0.8657056,0.7535869,0.84930277,0.87687933,0.8657103,0.718894,0.744903,0.6817816,0.764313,0.72618455,0.7795317,
000000000000000000ed_0,0.7683173,0.82262516,0.777834,0.84822327,0.7615277,0.771488,0.84429824,0.8293426,0.7983156,0.84096164,0.85012656,0.91255784,0.8479465,0.8422335,0.86630905,0.7873652,0.80795264,0.7875354,0.78944945,0.74985754,0.79117113,0.71225476,0.81900454,0.8054363,0.8583318,0.8381815,0.8852493,0.78558415,0.7842182,0.80351365,0.7422546,0.8107806,0.77824074,
000000000000000000ee_0,0.8123469,0.7894976,0.74633354,0.7145734,0.76216483,0.6670801,0.72729814,0.7886851,0.78878224,0.8859666,0.8521779,0.8068182,0.7781947,0.7525145,0.73460245,0.80993855,0.7758279,0.7833207,0.78967774,0.7868676,0.80085754,0.75817114,0.7878278,0.7526087,0.8302158,0.8226116,0.84080297,0.7187249,0.8040274,0.74567074,0.66518956,0.71165967,0.7505481,
000000000000000000ef_0,0.7441527,0.77068967,0.74023336,0.7602641,0.7186714,0.6880923,0.80212486,0.8110679,0.80375975,0.83575785,0.84076,0.7498781,0.771983,0.74775267,0.77085704,0.8042495,0.7618488,0.8424323,0.81493574,0.81977296,0.7583001,0.8918186,0.8323011,0.7940986,0.8712465,0.8329103,0.87396353,0.6993823,0.76634735,0.7255614,0.7979137,0.75052756,0.71270454,
000000000000000000f0_0,0.852438,0.8564824,0.84728885,0.8352359,0.88213474,0.77879655,0.813287,0.83919805,0.78816926,0.8412774,0.8325006,0.82874274,0.7982515,0.8411729,0.81563294,0.8444688,0.7328974,0.7529334,0.84664,0.8462169,0.80124706,0.8071967,0.83709323,0.8251418,0.8714172,0.83908963,0.8120317,0.82726854,0.79679143,0.83164984,0.7581503,0.804662,0.832276,
