"","system.index","Greenness","Greenness_1","Greenness_10","Greenness_11","Greenness_12","Greenness_13","Greenness_14","Greenness_15","Greenness_16","Greenness_17","Greenness_18","Greenness_19","Greenness_2","Greenness_20","Greenness_21","Greenness_22","Greenness_23","Greenness_24","Greenness_25","Greenness_26","Greenness_27","Greenness_28","Greenness_29","Greenness_3","Greenness_30","Greenness_31","Greenness_32","Greenness_4","Greenness_5","Greenness_6","Greenness_7","Greenness_8","Greenness_9",".geo","CID","class"
"94","0000000000000000005d_0",1868.1337,1865.0201,1890.3948,1974.8497,1830.8481,1850.4111,1681.0571,1498.9641,1612.4052,1498.9695,1564.9138,1577.4524,1878.3328,1655.1487,1642.3934,1590.7914,1492.0352,1768.5632,1825.4072,1809.8318,1564.1772,1991.5349,1983.9554,1768.3075,1947.2778,1973.4526,1968.5509,1732.1963,1779.0403,1736.8708,1749.5795,1604.5149,1677.38,NA,94,"for"
"95","0000000000000000005e_0",1043.1344,1667.5334,1113.152,1095.2856,1204.0785,1095.1067,1002.7352,1200.1602,1114.4464,1135.8752,1089.6667,1233.2164,1068.9886,1020.8359,951.153,1197.7565,1223.6067,1227.3534,1189.4258,1121.4304,1161.5161,1129.7573,1416.9236,1753.7654,1591.006,1187.0177,1384.282,1240.3438,1571.4314,1019.3117,1352.3522,1625.204,1452.5292,NA,95,"for"
"96","0000000000000000005f_0",2398.5579,2320.737,2501.6143,2433.2544,2550.256,2202.8237,2097.595,1766.0812,2020.345,1851.7852,1879.9822,1949.1012,2548.2456,1753.4847,1857.2817,1776.0916,1737.2368,1982.5596,2121.5186,2101.251,1824.4937,2294.0972,2346.8403,2200.7732,2270.2065,2273.479,2163.0715,2400.2954,2314.7559,2263.5066,2054.572,2094.577,2340.3804,NA,96,"for"
"97","00000000000000000060_0",790.3209,1443.2959,551.3678,844.90204,1499.4922,1158.3696,778.70105,1001.2964,1093.2891,1182.7913,983.14795,956.9795,1059.6925,937.4148,1193.4153,1262.6238,1418.9609,1170.897,1324.5593,967.7436,1109.452,699.2054,1430.2151,1678.6788,1428.5884,1219.3003,1242.8984,959.181,1944.3127,955.90686,1703.2008,1554.1481,1457.0562,NA,97,"for"
"98","00000000000000000061_0",1602.0525,2202.6262,1619.7004,1845.0062,2414.1296,1997.5571,1717.3124,1848.7361,1856.6301,1614.181,1799.8458,1237.0422,1801.1868,859.6696,1200.8092,1821.8164,1766.5815,1822.5831,1806.7863,1851.751,1485.7122,1804.4441,1945.7067,2257.5547,2060.645,1675.1309,1897.8959,1657.3175,2362.3079,1520.1577,2037.8694,2152.6367,1834.8958,NA,98,"for"
"99","00000000000000000062_0",1805.8685,1910.9956,1674.0256,1717.0146,1784.3208,1623.0862,1518.3142,1520.9922,1616.9109,1442.196,1560.1738,1599.7399,1769.7273,1624.0298,1637.2814,1577.2002,1645.5178,1709.9016,1773.7794,1735.0548,1449.3093,1773.1289,1796.7214,1856.7449,1783.6677,1718.5056,1806.3003,1751.7383,2092.6755,1735.8967,1694.1415,1620.2733,1702.377,NA,99,"for"
"100","00000000000000000063_0",2001.4678,2171.9204,2024.815,2104.4275,1943.3711,1986.7828,1924.7253,1653.7552,1809.3407,1736.8284,1717.4484,1870.4008,1911.9814,1878.8488,1863.5828,1793.0029,1721.2185,1877.0406,1901.2216,1963.8429,1621.918,1956.7769,2108.137,2115.2993,2096.2922,2104.8184,2091.7793,1989.22,2301.0298,2018.9952,1930.623,1948.0034,2014.901,NA,100,"for"
"101","00000000000000000064_0",819.12585,1171.5254,671.0222,800.1239,1168.7854,929.3129,758.115,959.6255,954.6672,953.8235,921.9054,917.5393,1026.6829,597.704,726.6374,915.65466,950.7276,1016.2275,942.2074,1094.8643,818.2049,1173.2253,1373.4082,1317.0707,1432.3105,1054.0573,1211.4463,946.4071,1519.4723,926.1539,1121.2212,1193.8884,1095.0016,NA,101,"for"
"102","00000000000000000065_0",612.5897,1209.4923,437.8825,988.2261,1098.2806,899.0388,641.99854,793.9577,931.8063,974.1028,1007.8556,821.7786,830.3527,789.8376,744.1054,1005.5014,1011.3706,1147.7058,1036.8662,1136.5647,630.89197,931.8454,1098.7606,1234.337,1144.4438,882.38727,1041.843,674.3879,1450.2344,835.96265,987.3152,1251.1589,1089.297,NA,102,"for"
"103","00000000000000000066_0",2214.7637,2367.3157,1883.1692,1990.521,1933.7872,1875.8792,1807.7097,1813.5168,1685.9326,1630.6068,1795.4939,1833.347,2430.099,1848.569,1741.1497,1774.543,1661.79,1828.9542,1887.0267,1815.3956,1628.812,2046.3364,2215.1226,2333.0483,2110.37,2072.8208,2113.5908,2111.746,2145.8418,2087.2273,1906.8542,1958.5648,1948.8452,NA,103,"for"
"104","00000000000000000067_0",460.072,906.5314,307.9014,353.2851,276.79163,625.23535,436.5488,548.2766,718.718,873.9532,743.5582,499.9442,608.3653,720.0717,448.2432,923.9608,1005.6267,660.3353,846.7324,674.91064,611.0849,701.10046,1275.51,1105.967,1261.0186,828.7667,1274.3275,347.4902,1243.4117,513.07556,996.0962,1082.6869,909.1108,NA,104,"for"
"105","00000000000000000068_0",2137.2896,2013.0223,1938.2473,2082.8743,2073.4673,1809.102,1702.8185,1627.6663,1734.9253,1650.588,1675.2632,1698.5732,2104.7754,1738.4128,1820.4011,1673.9669,1666.1562,1803.6216,2021.9275,2013.982,1646.4393,2059.431,2117.9744,2147.4575,2136.0825,2112.217,2145.1704,2165.7947,2136.7842,2060.179,1876.7489,1882.1239,1878.9232,NA,105,"for"
"106","00000000000000000069_0",1927.6395,2218.8826,2283.1987,2322.059,2470.2888,2225.92,1821.013,1955.1732,1892.6133,1840.6147,1797.1353,1869.7661,2276.192,1897.9897,1965.9099,1735.7134,1758.0391,1875.724,1986.4265,2090.9646,1603.2416,2119.84,2292.44,2284.9973,2372.7495,2246.373,2289.3433,2416.3042,2389.045,2158.977,2138.87,2055.9724,2138.6123,NA,106,"for"
"107","0000000000000000006a_0",1626.8291,1430.6686,1540.0222,1576.1136,1547.355,1486.819,1338.1233,1274.1572,1376.9624,1361.4927,1386.1808,1357.7742,1542.6985,1357.0205,1379.555,1358.1212,1265.1605,1456.8601,1635.4297,1447.9753,1313.6887,1716.8531,1638.0785,1548.6763,1826.6375,1760.9714,1849.1227,1484.9335,1528.9247,1343.8732,1363.7451,1238.698,1395.7407,NA,107,"for"
"108","0000000000000000006b_0",207.07275,766.6336,224.20845,247.5512,734.4655,443.8255,463.2435,565.07214,654.431,651.8021,651.6586,589.1199,407.65375,541.8896,380.5158,602.7258,553.59717,647.218,771.6013,771.631,531.894,458.64563,1151.5399,874.11707,1081.2102,695.927,1015.1378,344.0674,736.9032,388.18384,810.6028,936.5651,775.5265,NA,108,"for"
"109","0000000000000000006c_0",372.1625,1115.6573,326.1439,438.2883,1064.2593,679.63965,412.7664,745.4444,751.3385,800.8197,676.9166,762.51483,675.4082,588.2646,448.74484,730.4473,611.022,635.1296,833.2258,944.874,778.0309,442.2998,1167.2018,1072.0703,1137.9043,585.5325,752.8388,489.4704,1266.8289,553.9427,992.81177,1187.6792,1191.8679,NA,109,"for"
"110","0000000000000000006d_0",2648.1677,3146.7422,2914.9836,2713.796,2624.158,2457.3008,2149.5464,2209.9658,2127.388,1941.8102,2147.7231,2327.793,3108.5469,2056.6047,2067.0374,2152.4434,2027.475,2112.9956,2318.8354,2183.003,1924.7969,2321.5461,2407.6777,3117.1133,2413.9429,2510.4888,2308.5774,2888.804,3017.0574,2725.344,2702.539,2539.3745,2724.3562,NA,110,"for"
"111","0000000000000000006e_0",2896.8923,2974.9016,3023.5293,2868.5107,2786.0984,2347.862,2541.9126,2373.423,2303.7446,2294.8271,2451.2832,2567.9229,3066.2864,2332.2473,2250.4897,2266.6929,2176.1074,2493.6538,2579.9043,2397.6638,2219.3958,2763.8452,2846.6958,2897.4724,2623.467,2830.996,2815.6729,2951.7798,2990.6526,2692.675,2717.9158,2876.217,2883.009,NA,111,"for"
"112","0000000000000000006f_0",2320.5576,2494.5337,2049.3623,2225.8245,1925.3961,1883.2534,2159.8018,2010.002,1840.0566,1610.4602,1902.6719,1907.2762,2518.6338,1786.9135,1800.3387,1868.0331,1887.8279,2105.5442,2059.7837,1914.8872,1613.7424,2104.5728,2244.9104,2492.8035,2137.3389,2122.4146,1994.93,2204.843,2562.0776,2253.71,2160.3838,2028.6517,2076.4668,NA,112,"for"
"113","00000000000000000070_0",2453.8796,2319.7737,2615.8489,2438.0132,2502.015,2218.9763,2138.8481,2042.3713,1958.5022,1898.2788,2068.3872,2121.0312,2729.4639,2080.2568,2176.455,1933.9963,1885.508,2177.5173,2112.7988,2046.3767,1829.492,2266.8232,2478.023,2441.2444,2464.202,2450.8455,2453.2864,2562.458,2716.1323,2558.6038,2269.5483,2274.505,2543.8616,NA,113,"for"
"114","00000000000000000071_0",2295.2207,2521.1987,2384.936,2290.5488,2208.998,1800.9343,1887.313,2002.5172,1959.9092,1728.7657,1853.1768,1806.0768,2760.1023,1883.3672,1869.9144,1974.0356,1715.827,1969.6078,2155.3367,1990.4764,1594.3691,2060.228,2486.8867,2732.4626,2434.6272,2213.729,2341.7253,2224.5793,2741.7139,2515.0747,2304.0066,2326.28,2293.1565,NA,114,"for"
"115","00000000000000000072_0",2660.3367,3129.9507,3315.5178,2886.2942,3108.6829,2890.2288,2544.835,2407.1108,2372.0073,2259.7488,2569.8984,2671.6875,3042.4648,2594.5242,2357.6077,2342.253,2326.122,2631.8406,2542.2576,2458.0332,2146.7659,2916.3655,2744.7883,2717.9595,2730.5266,2863.5464,2763.5034,3125.2666,3056.0288,2936.817,2743.597,2741.4175,2849.005,NA,115,"for"
"116","00000000000000000073_0",1722.2485,2173.5,1765.1406,1802.309,1790.943,1664.8206,1465.2994,1578.3901,1547.2802,1388.8896,1651.5824,1543.287,1997.9409,1449.0634,1280.8728,1641.4185,1549.614,1610.929,1820.1538,1529.59,1200.1554,1368.055,1974.0833,2305.3096,1722.5117,1624.6758,1907.5175,1815.2651,2218.1272,1885.7168,2126.0251,1966.1841,1804.0164,NA,116,"for"
"117","00000000000000000074_0",2860.9673,2885.771,3187.465,2687.7227,3151.4321,2590.9727,2494.9832,2370.5144,2452.4724,2214.301,2451.6543,2617.317,2968.5386,2497.8857,2434.6328,2297.7322,2070.3545,2497.6836,2526.2876,2284.5496,2009.5652,2554.345,2803.3066,2885.478,2794.4133,2741.421,2797.0645,2816.4539,2888.7554,2740.3926,2508.3904,2331.3022,2706.1055,NA,117,"for"
"118","00000000000000000075_0",263.1535,906.0633,254.44736,416.7936,453.0431,403.3061,321.4934,757.03186,568.5332,601.4144,577.2574,335.9696,923.339,516.62897,233.6833,430.5419,667.2831,519.7536,532.6123,775.7381,834.571,394.6109,993.349,941.5088,1057.7163,379.06012,704.6588,423.4311,1029.3105,863.6437,739.1404,883.7108,1017.5864,NA,118,"for"
"119","00000000000000000076_0",649.4067,1600.6166,551.6206,1221.2017,459.5175,1043.7742,575.74426,981.9112,1073.7686,1177.7664,927.1306,756.6654,1901.688,949.0434,718.3132,1144.8494,1077.5569,851.0144,920.1155,834.2771,997.0514,858.4785,1461.9645,1187.6172,1402.2213,852.0316,722.718,927.5702,1763.1406,752.0158,1629.7979,1360.2621,1246.7521,NA,119,"for"
"120","00000000000000000077_0",1749.3292,2123.471,1508.5994,1810.709,1436.2432,1545.0999,1512.3483,1472.4758,1531.5554,1169.2551,1430.0161,1446.3416,1778.3407,1535.3276,1372.5227,1543.915,1402.3828,1752.2399,1639.0707,1525.5424,1351.6354,1436.8947,2040.4935,2000.4191,1883.912,1777.8564,1669.4434,1167.5928,2502.4712,2087.166,2068.4666,1555.8008,1712.7615,NA,120,"for"
"121","00000000000000000078_0",1494.1791,2061.0159,1414.602,1639.2207,1480.172,1422.1868,1292.8638,1568.0414,1431.1531,1252.4781,1502.1936,1383.3066,2251.7012,1430.959,1139.8193,1528.3201,1395.604,1435.3997,1393.5171,1439.7804,1347.3002,1313.2542,1945.3811,2010.0815,1790.1531,1498.8546,1990.3657,1283.4352,2172.8413,2537.923,1699.5544,1472.3916,1873.769,NA,121,"for"
"122","00000000000000000079_0",1750.3802,2193.463,1908.1177,2235.7896,1813.4288,1802.5334,1834.8798,1861.2017,1833.2786,1738.4209,2034.5383,1950.125,1886.4169,1900.2959,1950.3113,1828.6985,1848.2988,2115.9785,1977.2622,1809.5298,1571.9524,1975.539,2271.489,2513.51,2269.2544,2272.3242,2182.7935,2139.0146,2691.4753,2218.075,1839.2288,1920.6903,2063.9878,NA,122,"for"
