"","system.index","NDMI","NDMI_1","NDMI_10","NDMI_11","NDMI_12","NDMI_13","NDMI_14","NDMI_15","NDMI_16","NDMI_17","NDMI_18","NDMI_19","NDMI_2","NDMI_20","NDMI_21","NDMI_22","NDMI_23","NDMI_24","NDMI_25","NDMI_26","NDMI_27","NDMI_28","NDMI_29","NDMI_3","NDMI_30","NDMI_31","NDMI_32","NDMI_4","NDMI_5","NDMI_6","NDMI_7","NDMI_8","NDMI_9",".geo","CID","class"
"396","00000000000000000092_0",0.3615396,0.33369824,0.1611185,0.22819287,0.22287145,0.1565737,0.2508881,0.20670392,0.2893401,0.2984538,0.2745133,0.25644222,0.36955065,0.27937448,0.24548662,0.055145163,0.19501182,0.15775673,0.15213904,0.14817952,0.05520963,0.10627013,0.1789584,0.3024381,0.14618108,0.305729,0.2304179,0.107727796,0.2091866,0.24145266,0.19632387,0.21787709,0.19701493,NA,396,"ltr"
"397","00000000000000000093_0",0.3895349,0.49156117,0.45660377,0.40237054,0.45043105,0.35197783,0.4967742,0.4908722,0.4602076,0.4127199,0.47403684,0.510652,0.40591335,0.5925433,0.56148493,0.45668593,0.4223245,0.4663514,0.39353213,0.38783875,0.30793485,0.27554178,0.37390065,0.65837836,0.35624868,0.41650164,0.3611233,0.6233062,0.41633803,0.48549885,0.3892473,0.35437515,0.47121212,NA,397,"ltr"
"398","00000000000000000094_0",0.42228213,0.44613296,0.23508415,0.38427502,0.36287424,0.39098373,0.26438075,0.22930431,0.24456298,0.25842312,0.24426045,0.19344263,0.45628026,0.24270353,0.17873383,0.2807157,0.2301863,0.32704404,0.2538662,0.3899004,0.22863661,0.18699187,0.32009754,0.457713,0.3207444,0.3689267,0.23061742,0.29745212,0.30698174,0.2442281,0.15013817,0.3137124,0.3240469,NA,398,"ltr"
"399","00000000000000000095_0",0.414966,0.37828404,0.41180784,0.3927617,0.4544776,0.2255417,0.23480375,0.29042205,0.3654321,0.3947924,0.3559456,0.32239658,0.3998601,0.41222954,0.30092594,0.22908251,0.30726257,0.39431545,0.47094274,0.4627843,0.3957219,0.29945192,0.31018746,0.42847037,0.23951286,0.42852154,0.4401144,0.41320217,0.17768301,0.4746846,0.17449886,0.17568365,0.32557365,NA,399,"ltr"
"400","00000000000000000096_0",0.39050424,0.4289385,0.20757098,0.2684553,0.26399267,0.19339103,0.29526627,0.30153492,0.1201849,0.3774984,0.28241795,0.3626861,0.4071066,0.30131143,0.19822127,0.32693416,0.29819041,0.28684577,0.32819194,0.41154504,0.2718276,0.17391305,0.30826846,0.40941402,0.29076293,0.3884462,0.19760641,0.4473739,0.17171386,0.18772735,0.078186885,0.2813788,0.2177061,NA,400,"ltr"
"401","00000000000000000097_0",0.37966037,0.40886185,0.2412614,0.32837918,0.30530092,0.20600858,0.25759944,0.31343284,0.20288782,0.3601004,0.32227015,0.3311185,0.4240071,0.31392404,0.26555803,0.3445423,0.33995584,0.33869916,0.29526228,0.31264916,0.30429947,0.1298185,0.3650377,0.37658465,0.28504142,0.4011976,0.28717408,0.38370314,0.23003663,0.2112069,0.12009373,0.2600821,0.22812971,NA,401,"ltr"
"402","00000000000000000098_0",0.4597701,0.46381968,0.36476257,0.39507678,0.3294356,0.2413793,0.37603214,0.30743384,0.2313413,0.22584753,0.2936563,0.26021618,0.46628407,0.2815534,0.3533101,0.28212896,0.31060252,0.33333334,0.34372178,0.34195527,0.30993548,0.25097126,0.34261376,0.4524736,0.25166017,0.29690206,0.2945192,0.46578112,0.41351548,0.470547,0.38523152,0.3978113,0.31916204,NA,402,"ltr"
"403","00000000000000000099_0",0.39354473,0.46413752,0.30222815,0.3203081,0.2705249,0.18786693,0.25352666,0.35170358,0.3401305,0.4064969,0.3077077,0.3490683,0.4536193,0.415692,0.3582144,0.411722,0.3891182,0.40906802,0.33564013,0.29718965,0.2560434,0.41880342,0.25952902,0.43819228,0.19383445,0.23944248,0.23595995,0.35217258,0.34653035,0.10489511,0.1411235,0.08243728,0.22090517,NA,403,"ltr"
"404","0000000000000000009a_0",0.46092504,0.46205306,0.48764238,0.46441674,0.48816827,0.44554973,0.4545921,0.47314578,0.42654335,0.24008575,-0.035409667,0.16070446,0.44882533,0.3340206,0.24728589,0.35780135,0.443016,0.40266106,0.2585407,0.29735988,0.36548463,0.538206,0.39955547,0.42233482,0.31536782,0.4246452,0.37638375,0.44902283,0.4368687,0.4519191,0.3295816,0.45036194,0.4265769,NA,404,"ltr"
"405","0000000000000000009b_0",0.2404885,0.25624734,0.2515535,0.37633234,0.2674028,0.17302378,0.30444145,0.39299124,0.11207207,0.3821712,0.20032376,0.2296757,0.20667818,0.31631902,0.30028698,0.22293775,0.1262767,0.16615541,0.26705402,0.3142243,0.38834286,0.20264027,0.24812406,0.17870894,0.30370057,0.4440645,0.32861477,0.2564644,0.14724325,0.28624862,0.13048044,0.18669418,0.20339668,NA,405,"ltr"
