"","system.index","SAVI","SAVI_1","SAVI_10","SAVI_11","SAVI_12","SAVI_13","SAVI_14","SAVI_15","SAVI_16","SAVI_17","SAVI_18","SAVI_19","SAVI_2","SAVI_20","SAVI_21","SAVI_22","SAVI_23","SAVI_24","SAVI_25","SAVI_26","SAVI_27","SAVI_28","SAVI_29","SAVI_3","SAVI_30","SAVI_31","SAVI_32","SAVI_4","SAVI_5","SAVI_6","SAVI_7","SAVI_8","SAVI_9",".geo","CID","class"
"138","00000000000000000089_0",1.07442738850419,1.04149475421431,1.06958762886598,1.04516788818817,1.0774960461201,1.06044403115192,1.06440797600141,1.07055935098207,1.08595852461612,1.08325882878856,1.07154797726513,1.07661905030772,1.05061968045393,1.09158336020639,1.07214551623392,1.06664609688368,1.07729236677868,1.10801938408629,1.09362515198888,1.07334918602524,1.09094397544129,1.09079371794194,1.11762499330154,1.06614434232334,1.11491688050876,1.11765346103613,1.12669895328855,1.04493541469253,1.04250991559036,1.03733967728589,0.916772959183674,0.999018532417297,1.03937562349627,NA,138,"for"
"139","0000000000000000008a_0",0.994968278276088,0.998762793836464,1.13156408808583,0.9762660872472,1.00744047619048,0.96087961118636,1.03744446795007,1.03093900209871,1.05027753197651,1.05259182324615,1.10106192578451,1.29537467608534,1.04046242774566,1.035350509287,1.08404294705665,1.05282005371531,1.01009081735621,1.0913190529876,1.06552429169506,1.10572366022603,1.05879692446857,1.11667684789249,1.21852731591449,0.993998153277932,1.10494752623688,1.1306990881459,1.18006430868167,0.997816934352097,0.989973756813135,0.976883088153965,0.839496092383063,0.937155273274277,1.00786988457503,NA,139,"for"
"140","0000000000000000008b_0",1.04724972704341,1.04332158872518,1.06816659970537,1.04417926762616,1.05448383733055,1.01955169791061,1.07866478791118,1.08373682711478,1.043125175021,1.05726163336462,1.05670893130835,1.07303345286188,1.05444404025706,1.06241369787352,1.07268790596969,1.06337682723438,1.06910060175276,1.08096640110842,1.08962572436931,1.08965581918785,1.07347328244275,1.05679627249357,1.09194005670312,1.03377086784758,1.10310460398659,1.10538758243126,1.10203544481488,1.05511334140855,1.03397620377132,1.04537384913918,0.943402030144571,0.995144916875092,1.04771232685043,NA,140,"for"
"141","0000000000000000008c_0",1.04557746850472,1.00850077279753,1.03813559322034,1.03007219600932,1.05299707602339,1.03086067909779,1.02867196663626,1.06516921837228,1.07137325761487,1.09125085440875,1.054422159646,1.08672272193977,1.01382660687593,1.06176451879651,1.08747201724567,1.07132417421807,1.05556785477087,1.07151089402338,1.11764705882353,1.06971775553806,1.07889584964761,1.07725269343781,1.09481105178581,1.03985013623978,1.0950287103616,1.09582120696282,1.0910222498833,1.02078298695022,1.00181662748451,1.01718512073091,0.906166512185813,0.929289303661163,1.01850193971949,NA,141,"for"
"142","0000000000000000008d_0",1.05961468556888,1.03800445654865,1.06683611576454,1.02609644770788,1.0347830438917,1.02680246582686,1.0421569630615,1.06006659836066,1.04539997817309,1.43804204027635,1.40542201059826,1.06741504484168,1.02842349387843,1.08080288214102,1.06973327305606,1.08028193226749,1.06467973201428,1.07963030651141,1.07055050774987,1.07444982050882,1.12587249883667,1.07832312602433,1.10016401787229,1.01538000599221,1.09855453350854,1.10307718177232,1.09812529663028,1.00638977635783,1.0184868384747,1.01440811832847,0.893123709703033,0.958907887479316,1.03052761602259,NA,142,"for"
"143","0000000000000000008e_0",1.02024418240634,1.03069869430878,1.03038020738585,1.01880787037037,1.03573538098051,1.00496597388266,1.05344345924936,1.07668867445404,1.04274501484938,1.04399510518035,1.06380716058135,1.0585649061496,1.02087154826236,1.25109277339761,1.06514216939973,1.07480805146296,1.06992269852424,1.06792091836735,1.07087186947937,1.06869241958946,1.05556129298771,1.09922924821436,1.08891328210757,1.02514125758126,1.07612095933264,1.08293143216607,1.08791546983997,1.02295398476885,1.03735508802061,1.00065494011976,0.891396707381838,0.969956597711516,1.02628218769951,NA,143,"for"
"144","0000000000000000008f_0",1.01523163128403,0.997195512820513,1.03188800311102,0.969834537960695,1.02602629460692,0.988174106866448,0.993814205235833,1.02235303476255,1.09786354238456,1.0448343079922,1.03893913843324,1.01701347163367,0.996357842021398,1.02659387108137,1.03616003732649,1.02908993861756,1.0299046384594,1.05754710995495,1.06029659888109,1.05810165896523,1.06025963960473,1.08394859174186,1.08524255634913,0.973621389353068,1.07499546032323,1.07577754348972,1.08995724631359,0.986846825301925,0.975570556091289,0.982452142206016,0.860191998440622,0.932400932400932,0.98590256376631,NA,144,"for"
"145","00000000000000000090_0",0.998493975903614,1.04604079184163,1.03458676855017,1.00388486667844,1.03457688808007,0.9912096311867,1.0270718648669,1.06980906921241,1.10728346456693,1.06514476614699,1.07840507255213,1.05769230769231,1.04280207364083,1.08104284559418,1.10130111524164,1.03336921420883,1.04473524041388,1.07553475935829,1.07973972952284,1.04084609773888,1.04905773257553,1.06977434679335,1.08372160745486,1.00926801588803,1.08446757405925,1.08756454388984,1.10237963475374,1.04444961601117,0.999594226421657,0.967832919212947,0.854935351624093,0.908418533826408,0.989167361066598,NA,145,"for"
"146","00000000000000000091_0",1.03197737654992,1.03247674601923,1.04022005798825,1.03890263098718,1.05595362692215,1.04201680672269,1.05729166666667,1.09866220735786,1.05701501154734,1.07035495025051,1.05435292540714,1.07673533845381,1.03674328261573,1.04699039278479,1.07183865744148,1.09438531642343,1.10742563663599,1.07963246554364,1.07860799688938,1.05374973443807,1.0464620630861,1.05784145402877,1.09358216970999,1.01439342015079,1.08567774936061,1.09421466949894,1.09301601146346,1.04130369480324,0.990452036401611,0.984485815602837,0.832168223253733,0.94466800804829,1.008972381887,NA,146,"for"
"147","00000000000000000092_0",1.04160530191458,1.05379676776622,1.08374034277595,1.04678860059549,1.04152794813387,1.03089742644348,1.05003038282358,1.07712891547301,1.04811507936508,1.06110868616325,1.06781034715656,1.06304787592717,1.04385527758397,1.08965634569582,1.08451690975097,1.07874242861263,1.02449431099874,1.0985627682038,1.08518414394152,1.0793891029169,1.06865719303848,1.08536396088779,1.11156399973703,1.03927439239169,1.11166064295225,1.11167097916383,1.11823548704493,1.04445536043227,1.04586878807714,1.04283172343671,0.887656427758817,0.991422916208489,1.00988155225443,NA,147,"for"
"148","00000000000000000093_0",1.05684922596592,1.06439680203651,1.07441354668324,1.0320619586942,1.05171588882606,1.01167594754805,1.03342711363311,1.06835672249887,1.05982413146893,1.06295797816659,1.07794377356689,1.06908147578786,1.05878241963038,1.06519248395967,1.08107147616721,1.06591285162714,1.0667885790283,1.06779054510755,1.0819715690182,1.0780602127276,1.0626729091296,1.08471690080885,1.0994208032167,1.04642812925591,1.09146877748461,1.09894271737415,1.09391144802279,1.04461833014235,1.02439643144053,1.01829852462157,0.925687044307347,0.983750700400845,1.0205853396581,NA,148,"for"
"149","00000000000000000094_0",1.01824672748909,1.03435388817019,1.05296124377831,1.05147464928753,1.06502423263328,1.02095442031202,1.07759631868628,1.07277289836888,1.08123045596684,1.08716978901956,1.07893323787364,1.07866175445584,1.03439478408769,1.11914257228315,1.05855114221033,1.10523965465912,1.3921009771987,1.08060295195227,1.10972736452373,1.06039206136613,1.07587395018304,1.09453176887315,1.08410121398274,1.03210140352581,1.09152143697209,1.09007691818702,1.09922253868063,1.0386538862263,1.05480089318943,1.02894474185646,0.909191863106355,0.964472260128935,1.02673625905411,NA,149,"for"
"150","00000000000000000095_0",1.0352495859948,1.01926382549938,1.07468179727036,1.01522952685491,1.04624560031287,0.971616261774913,1.04718262050238,1.0445071825957,1.04586541680616,1.08183010823221,1.05504455303248,1.0806843204788,1.0292348726531,1.04223411583912,1.04787520172136,1.07528900886098,1.02020771274455,1.06329113924051,1.05675470657196,1.08973113054746,1.05085307271824,1.09251101321586,1.08902976846748,1.01787384391562,1.06252533441427,1.06927969743854,1.0661094224924,1.03325859491779,1.00501353654868,0.978661736045175,0.912618245951579,0.901357166501158,1.01642119519214,NA,150,"for"
"151","00000000000000000096_0",1.0600817320233,1.03478315762894,1.04337677494651,1.02243912255987,1.05158361139981,1.00464945552429,1.05909968181107,1.08004385964912,1.05628453038674,1.06920807805764,1.10059980259661,1.05880047040376,1.05224936338772,1.04776434690764,1.08250117284364,1.07018763029882,1.02799105253612,1.18123481403028,1.08332005735224,1.07390520623476,1.06850815283524,1.07340438270866,1.08408547080307,1.04432855280313,1.10588645071404,1.08764241893076,1.10395909805978,1.04540784877748,1.05078656049718,1.01454333915067,0.893515575333757,0.964210722784751,1.02555622369212,NA,151,"for"
"152","00000000000000000097_0",1.04531184105712,1.03926723075659,1.06708380963841,1.04298356510746,1.06226941419959,1.01759071652238,1.04325353645267,1.08887456253454,1.09160835425458,1.08276128782752,1.07997828643807,1.09051009460646,1.04633552690886,1.07308104795465,1.08832096213474,1.09691191119966,1.06658105304752,1.08128684833573,1.06889406889407,1.08582737980305,1.06039243859728,1.06654372214538,1.09848897074212,1.04351308061933,1.1026160921814,1.10271035757838,1.10004961137754,1.0475902573847,1.04934646713393,1.03331433604476,0.935475846972787,0.985255379562793,1.03603649009627,NA,152,"for"
